index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.3128,181405.391835888,211.134204079752,211.134204079752,NA,102.691840092223,segment1,79.7013542202511,146090.6326588,NA,49201.0642856898,segment1,37707.6622483977,85289.2561983471,NA,42514.9777515454,segment1,31097.8214784155,4710.07462456457,NA,4992.71991511501,segment1,5996.47216394376,3.68026385328056,NA,-0.247091577178955,segment1,-1.10498612040679
2,2,1,3.3128,172909.820482472,192.255156627716,192.255156627716,NA,100.35504799966,segment1,79.7013542202511,64501.3357063559,NA,47102.0768333293,segment1,37707.6622483978,67438.0165289256,NA,40669.0140324455,segment1,31097.8214784153,5558.89053084684,NA,5001.54995724149,segment1,5996.47216394378,3.08859031132943,NA,-0.296994452059644,segment1,-1.10498612040679
3,3,1,3.3257,130648.449510417,98.3409989120384,98.3409989120384,NA,98.0182559070977,segment1,79.7013542202511,23893.3504334237,NA,45003.0893809688,segment1,37707.6622483978,61487.6033057851,NA,38823.0503133456,segment1,31097.8214784153,4667.11809969362,NA,5010.37999936797,segment1,5996.47216394378,-0.0701217253269988,NA,-0.346897326940333,segment1,-1.10498612040679
4,4,1,3.33885,126653.342811605,89.4629840257899,89.4629840257899,NA,95.8974852815147,segment1,79.7013542202511,60438.8485089819,NA,43224.9350415517,segment1,37707.6622483978,59504.1322314049,NA,37330.0744425272,segment1,31097.8214784153,4929.82297638909,NA,5032.8977619698,segment1,5996.47216394378,-0.392074074332697,NA,-0.396816640948001,segment1,-1.10498612040679
5,5,1,3.35198,124213.053536062,84.0401189690256,84.0401189690256,NA,93.7767146559317,segment1,79.7013542202511,13864.4681079097,NA,41446.7807021345,segment1,37707.6622483978,11900.826446281,NA,35837.0985717088,segment1,31097.8214784153,4403.9309371726,NA,5055.41552457164,segment1,5996.47216394378,-0.594161480353137,NA,-0.446735954955669,segment1,-1.10498612040679
6,6,1,3.36492,114109.987092953,61.5888602065617,61.5888602065617,NA,91.7268222055898,segment1,79.7013542202511,2396.77445104006,NA,39919.5591218531,segment1,37707.6622483978,5950.4132231405,NA,34615.1031441645,segment1,31097.8214784153,6549.42767100835,NA,5084.60352450767,segment1,5996.47216394378,-1.46451524009709,NA,-0.5014712345379,segment1,-1.10498612040679
7,7,1,3.37771,112023.551665131,56.9523370336252,56.9523370336252,87.1266249032646,89.6769297552479,segment1,79.7013542202511,8696.89640979082,37026.853507041,38392.3375415716,segment1,37707.6622483978,6148.76033057851,31851.2396694215,33393.1077166201,segment1,31097.8214784153,4634.57150703371,5042.87987695377,5113.79152444371,segment1,5996.47216394378,-1.65412728520008,-0.609176573961624,-0.556206514120131,segment1,-1.10498612040679
8,8,1,3.3904,100000.128622493,30.233619161096,30.233619161096,89.0675342898463,87.9460113151804,segment1,79.7013542202511,-567.656009442148,38616.1041684748,37133.5257499051,segment1,37707.6622483978,6148.76033057851,32677.6859504132,32284.099063917,segment1,31097.8214784153,5307.00670261749,5065.00899409997,5144.39633460811,segment1,5996.47216394378,-2.78425429650426,-0.550536639091138,-0.603184384898863,segment1,-1.10498612040679
9,9,1,3.40352,106965.02472874,45.711166063866,45.711166063866,87.9122170053935,86.215092875113,segment1,79.7013542202511,18214.8329359425,37423.8204895979,35874.7139582386,segment1,37707.6622483978,5950.4132231405,32760.3305785124,31175.0904112139,segment1,31097.8214784153,5299.52360655546,5183.38268908933,5175.00114477251,segment1,5996.47216394378,-2.12194629346715,-0.595511540861474,-0.650162255677595,segment1,-1.10498612040679
10,10,1,3.41706,109171.488366783,50.6144185928505,50.6144185928505,84.9012254888091,85.8251177427686,segment1,79.7013542202511,17175.2144256485,34464.3095589751,35750.5234011996,segment1,37707.6622483978,9917.35537190083,30528.9256198347,30890.1791792354,segment1,31097.8214784153,5051.39541570463,5290.33012160346,5240.23083731728,segment1,5996.47216394378,-1.91788972840257,-0.711882436627654,-0.667992949289297,segment1,-1.10498612040679
11,11,1,3.42986,109987.025910425,52.4267242453888,52.4267242453888,83.2043130018423,85.4351426104241,segment1,79.7013542202511,11455.5946560438,33851.5438347103,35626.3328441607,segment1,37707.6622483978,5950.4132231405,29289.2561983471,30605.267947257,segment1,31097.8214784153,4689.64388926104,5325.89825549827,5305.46052986204,segment1,5996.47216394378,-1.84246777856058,-0.778575986950107,-0.685823642900998,segment1,-1.10498612040679
12,12,1,3.44263,109773.314773341,51.9518106074236,51.9518106074236,83.3471409041217,84.797334349186,segment1,79.7013542202511,52081.0203515145,35613.5033357023,36007.2124663702,segment1,37707.6622483978,47603.305785124,30280.9917355372,30908.6877238844,segment1,31097.8214784153,4691.42570347495,5268.23904413943,5327.03589858596,segment1,5996.47216394378,-1.86223205647457,-0.773039067926521,-0.725940707133569,segment1,-1.10498612040679
13,1,1,3.45542,200131.782118527,252.748404707837,252.748404707837,83.0306055961411,84.1595260879478,segment1,79.7013542202511,198252.491555765,35373.0419519427,36388.0920885797,segment1,37707.6622483978,103140.495867769,30280.9917355372,31212.1075005118,segment1,31097.8214784153,4753.52834281028,5234.49110499686,5348.61126730988,segment1,5996.47216394378,4.92989766641983,-0.786756715633585,-0.76605777136614,segment1,-1.10498612040679
14,2,1,3.46876,175145.251574915,197.222781277589,197.222781277589,84.4488157469772,86.153977707276,segment1,79.7013542202511,50481.4926838039,36198.2870466425,37664.7564962492,segment1,37707.6622483978,69421.4876033058,30272.7272727273,31771.1325726196,segment1,31097.8214784153,6046.53562411001,5287.36520603908,5330.7860653135,segment1,5996.47216394378,3.24631493508181,-0.728882489017142,-0.695662499954245,segment1,-1.10498612040679
15,3,1,3.48189,115935.591745885,65.6457594353,65.6457594353,87.6525558352464,88.1484293266042,segment1,79.7013542202511,9298.38516292985,36982.8278819552,38941.4209039188,segment1,37707.6622483978,61487.6033057851,30264.4628099173,32330.1576447274,segment1,31097.8214784153,7020.44168617499,5276.68203231679,5312.96086331712,segment1,5996.47216394378,-1.30724399156745,-0.598596756645326,-0.62526722854235,segment1,-1.10498612040679
16,4,1,3.49451,108847.492197026,49.8944271045018,49.8944271045018,93.3716031517061,92.3506854434842,segment1,79.7013542202511,4005.55144452814,40246.551298109,40314.8587681418,segment1,37707.6622483978,5950.4132231405,32413.2231404959,33463.7169251848,segment1,31097.8214784153,5143.23777024682,5259.75686520631,5281.0310187933,segment1,5996.47216394378,-1.94785330648057,-0.385838327592185,-0.452447573152348,segment1,-1.10498612040679
17,5,1,3.50743,123692.2492914,82.8827762031113,82.8827762031113,102.073288656563,96.5529415603643,segment1,79.7013542202511,55591.3877900077,45967.265266278,41688.2966323649,segment1,37707.6622483978,35702.479338843,36793.3884297521,34597.2762056422,segment1,31097.8214784153,5044.15135679047,5258.11835934041,5249.10117426948,segment1,5996.47216394378,-0.639027455944131,-0.0694910425382471,-0.279627917762347,segment1,-1.10498612040679
18,6,1,3.52022,116173.332682232,66.1740726271819,66.1740726271819,107.267113964486,98.5162461883704,segment1,79.7013542202511,2956.8827927504,47198.5265448649,41360.7976646273,segment1,37707.6622483978,5950.4132231405,39603.305785124,34904.7000450384,segment1,31097.8214784153,4525.38617877814,5257.99937117586,5211.85852398008,segment1,5996.47216394378,-1.28676320794003,0.122568920597993,-0.179789248213852,segment1,-1.10498612040679
19,7,1,3.53327,106541.624749662,44.7702772214702,44.7702772214702,99.7352511635234,100.479550816377,segment1,79.7013542202511,2365.7148578505,38173.8193528667,41033.2986968898,segment1,37707.6622483978,6148.76033057851,36297.520661157,35212.1238844345,segment1,31097.8214784153,5848.66245984224,5265.63695214281,5174.61587369068,segment1,5996.47216394378,-2.16110286232669,-0.127355506373066,-0.0799505786653569,segment1,-1.10498612040679
20,8,1,3.54579,120798.725166992,76.4527225933163,76.4527225933163,92.4982148736802,103.893461823953,segment1,79.7013542202511,25569.4078152935,34982.4355500299,42778.6520263643,segment1,37707.6622483978,5950.4132231405,32991.7355371901,36241.6853195137,segment1,31097.8214784153,5361.89417482224,5247.36634326943,5158.2628076631,segment1,5996.47216394378,-0.888297280583004,-0.376599796526482,0.0442945626580804,segment1,-1.10498612040679
21,9,1,3.5588,120766.821137548,76.3818247501074,76.3818247501074,101.742161472361,107.307372831528,segment1,79.7013542202511,10906.7491587124,44866.6502377159,44524.0053558388,segment1,37707.6622483978,5950.4132231405,35553.7190082645,37271.2467545928,segment1,31097.8214784153,4988.23996501593,5153.15526004522,5141.90974163551,segment1,5996.47216394378,-0.891045732464818,-0.0724364636858479,0.168539703981518,segment1,-1.10498612040679
22,10,1,3.5722,157135.402975739,157.200895501642,157.200895501642,117.341214071419,114.016825403698,segment1,79.7013542202511,102812.660190568,53422.8869578622,48553.9388293392,segment1,37707.6622483978,61487.6033057851,41256.1983471074,40830.9972112424,segment1,31097.8214784153,4956.4750465925,5147.11494117882,5176.81631179074,segment1,5996.47216394378,1.95741200787049,0.454753329576342,0.382708329824947,segment1,-1.10498612040679
23,11,1,3.58477,156001.314753924,154.680699453163,154.680699453163,124.670847984371,120.726277975867,segment1,79.7013542202511,63115.284127181,54953.6400647027,52583.8723028396,segment1,37707.6622483978,59504.1322314049,46462.8099173554,44390.7476678921,segment1,31097.8214784153,4745.24011759172,5192.49488651906,5211.72288194596,segment1,5996.47216394378,1.87456532646087,0.705814623363246,0.596876955668377,segment1,-1.10498612040679
24,12,1,3.59773,119852.339255406,74.349642789791,74.349642789791,124.879554147932,123.740185622285,segment1,79.7013542202511,29971.6015664623,54010.3079903889,54594.1801511518,segment1,37707.6622483978,61487.6033057851,48694.214876033,47498.9393674477,segment1,31097.8214784153,4632.973759195,5222.17534075357,5259.30733341028,segment1,5996.47216394378,-0.969826046226245,0.713905403308312,0.676246926952519,segment1,-1.10498612040679
25,1,1,3.61097,108708.639386069,49.5858653023765,49.5858653023765,126.664401365535,126.754093268703,segment1,79.7013542202511,3768.93773286139,56252.8927489007,56604.4879994639,segment1,37707.6622483978,9917.35537190083,50173.5537190083,50607.1310670034,segment1,31097.8214784153,4995.28223029707,5276.15778197093,5306.8917848746,segment1,5996.47216394378,-1.96069459113392,0.784955457601579,0.755616898236661,segment1,-1.10498612040679
26,2,1,3.62416,188408.402377065,226.696449726811,226.696449726811,126.609891612181,124.195231015951,segment1,79.7013542202511,168371.835238625,56175.2020842875,55702.4440763022,segment1,37707.6622483978,83305.785123967,50917.3553719008,50901.5122692501,segment1,31097.8214784153,5366.28712366218,5282.37610139614,5309.11620206815,segment1,5996.47216394378,4.15504422895359,0.782679829941645,0.64492987914477,segment1,-1.10498612040679
27,3,1,3.63652,202507.064209486,258.026809354414,258.026809354414,122.969475463466,121.636368763198,segment1,79.7013542202511,128629.195112572,54557.5331375413,54800.4001531405,segment1,37707.6622483978,109090.909090909,50925.6198347107,51195.8934714968,segment1,31097.8214784153,5439.62418924161,5270.10056975276,5311.3406192617,segment1,5996.47216394378,5.083946702736,0.633214880171607,0.534242860052879,segment1,-1.10498612040679
28,4,1,3.64924,190745.787803251,231.89063956278,231.89063956278,114.875154922663,116.472732686892,segment1,79.7013542202511,90024.4227783993,50145.0219466595,52474.5456816051,segment1,37707.6622483978,95206.611570248,48517.3553719008,49207.6465379907,segment1,31097.8214784153,6579.08761438668,5270.11081811992,5303.02365330129,segment1,5996.47216394378,4.31351103750853,0.317485913072936,0.347325965240436,segment1,-1.10498612040679
