,Time_Step,FI,Smooth_FI
0,24,3.259129812006752,3.259384115207915
1,36,2.983167882620598,3.259384115207915
2,48,3.837049353881805,3.259384115207915
3,60,3.120380138581828,3.259384115207915
4,72,4.228763833671739,3.259384115207915
5,84,4.042173587962753,3.259384115207915
6,96,2.9954765166732513,3.259384115207915
7,108,1.1256055900110444,3.4351523458523263
8,120,2.6666666666666634,3.5824774016114715
9,132,2.764871053338792,3.6586456680988495
10,144,2.2835168453983665,3.7396445188280043
11,156,5.80580810168139,3.618252880812514
12,168,5.368348579739685,3.6195388952644563
13,180,4.751068551730339,3.7491250403097545
14,192,4.751068551730339,3.881032689298069
15,204,4.092366347331681,3.9995868335322666
16,216,2.7720641774858503,4.079812710859407
17,228,4.0576057613860534,4.175234961569551
18,240,4.5505102572168274,3.959270257255676
19,252,2.708497377870821,3.667677185460333
20,264,4.0893163974770355,3.503831843184347
21,276,3.727581581264474,3.3380307607635324
22,288,3.4285838539200895,3.2362324629364987
23,300,3.214231649914893,3.499555260296886
24,312,1.8692317181955784,3.3588098186639805
25,324,2.784924444418514,3.3485506892547625
26,336,2.7614555626805615,3.412511817830648
27,348,2.8707867734072785,3.2060613492301435
28,360,5.9319377458105045,2.994629497812774
29,372,2.3686604617911957,2.992723113462502
30,384,4.427400704306209,3.0513646078797243
31,396,3.476030920781454,3.206227096468799
32,408,1.6119107742709873,3.3630577211546466
33,420,1.1903993642560418,3.4136946999028175
34,432,3.405707241716828,3.4136946999028175
35,444,3.917929582921559,3.1303048674669633
36,456,3.727581581264474,3.255630544008968
37,468,4.666891940648683,3.1674387609550023
38,480,3.3690993076586033,3.104609778595767
39,492,2.8707867734072785,3.190302787043592
40,504,2.5312597565802566,3.376961184090695
41,516,3.8725685802952516,3.575561981150102
42,528,3.3690993076586033,3.669757948318125
43,540,2.72208313247063,3.5458852482509458
44,552,2.6402268756448914,3.5458852482509458
45,564,3.430300128821277,3.5458852482509458
46,576,5.788916806429723,3.5458852482509458
47,588,5.048281188937832,3.5458852482509458
48,600,2.241109180458322,3.5458852482509458
