index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
11,11,1,3.42929,109473.368904279,51.2852642317318,51.2852642317318,65.3571701128209,68.9515499178055,segment1,66.3518236947603,36194.7835768105,47137.4370643594,48930.9487885275,segment1,36024.1040131046,31735.5371900827,46305.7851239669,48408.4468853034,segment1,30154.3272370375,4891.95380870782,5037.69345883728,5012.32874530351,segment1,6085.70862594098,-1.88997143213913,-1.34278796604574,-1.19557327703944,segment1,-1.70538395905003
12,12,1,3.44256,137264.044083692,113.042320185982,113.042320185982,59.6653184091473,60.920271597479,segment1,66.3518236947603,93856.862567234,44516.0784367411,44393.5246313229,segment1,36024.1040131046,61487.6033057851,41851.2396694215,43218.2161066984,segment1,30154.3272370375,4578.58408203675,5226.17203397281,5124.67725659089,segment1,6085.70862594098,0.463007017784804,-1.58170620891469,-1.535063151809,segment1,-1.70538395905003
13,1,1,3.45563,115805.426076613,65.3565023924741,65.3565023924741,54.4713548950632,52.8889932771524,segment1,66.3518236947603,44931.8127616182,44701.5570735655,39856.1004741183,segment1,36024.1040131046,61487.6033057851,41851.2396694215,38027.9853280934,segment1,30154.3272370375,4902.82746291163,5187.60098548195,5237.02576787827,segment1,6085.70862594098,-1.31845743654262,-1.81037542683826,-1.87455302657856,segment1,-1.70538395905003
14,2,1,3.46873,114283.357179912,61.9741270664719,61.9741270664719,48.3196013233449,45.9147601603876,segment1,66.3518236947603,58315.1387482833,37631.7474594165,35489.3694222105,segment1,36024.1040131046,55537.1900826446,35165.2892561983,33409.7413091318,segment1,30154.3272370375,4300.0175623399,5234.74731049144,5285.7468797337,segment1,6085.70862594098,-1.44957984321911,-2.08420697134739,-2.18868702832074,segment1,-1.70538395905003
15,3,1,3.48183,108707.437223216,49.5831938293696,49.5831938293696,40.2366010064919,38.9405270436227,segment1,66.3518236947603,37276.9628184945,28661.1909307214,31122.6383703026,segment1,36024.1040131046,37685.9504132231,26991.7355371901,28791.4972901701,segment1,30154.3272370375,5166.93236196739,5306.8055361152,5334.46799158912,segment1,6085.70862594098,-1.96080576868431,-2.44037576120712,-2.50282103006291,segment1,-1.70538395905003
16,4,1,3.49426,108015.793333601,48.046207408002,48.046207408002,35.1075333221139,34.7934628156037,segment1,66.3518236947603,22397.6002855365,28282.7766958194,29532.6590149457,segment1,36024.1040131046,17851.2396694215,25244.6280991736,26377.6173592658,segment1,30154.3272370375,5238.00450573038,5346.22905461603,5360.28789371471,segment1,6085.70862594098,-2.02476987574212,-2.66480156999383,-2.68312409244498,segment1,-1.70538395905003
17,5,1,3.50741,96653.91612951,22.797591398911,22.797591398911,34.1678237344555,30.6463985875846,segment1,66.3518236947603,4498.88534010252,30359.1622205602,27942.6796595888,segment1,36024.1040131046,6148.76033057851,25398.347107438,23963.7374283615,segment1,30154.3272370375,9712.00221361495,5383.6844275686,5386.1077958403,segment1,6085.70862594098,-3.11569372726726,-2.70462995462041,-2.86342715482705,segment1,-1.70538395905003
18,6,1,3.52021,87929.790883822,3.41064640849324,3.41064640849324,31.4118204561918,29.6350573635449,segment1,66.3518236947603,1784.36468620298,29340.7152938447,27410.3468066647,segment1,36024.1040131046,5950.4132231405,25150.4132231405,22818.9072728164,segment1,30154.3272370375,4558.07670875048,5430.50354592289,5418.6929721152,segment1,6085.70862594098,-4.01980321541043,-2.8102779254459,-2.89705164690139,segment1,-1.70538395905003
19,7,1,3.53296,83836.7222157384,-5.68506174280347,-5.68506174280347,28.0405191907084,28.6237161395052,segment1,66.3518236947603,6937.20017721324,25964.8217570702,26878.0139537407,segment1,36024.1040131046,6148.76033057851,22009.9173553719,21674.0771172713,segment1,30154.3272370375,4881.50851471825,5471.98997116593,5451.2781483901,segment1,6085.70862594098,-4.45972891060418,-2.94094571009126,-2.93067613897574,segment1,-1.70538395905003
20,8,1,3.54572,80336.5565672019,-13.4632076284402,-13.4632076284402,26.9831660672956,29.1577838052603,segment1,66.3518236947603,8478.68004392012,24459.4335302212,26724.7081370441,segment1,36024.1040131046,6148.76033057851,19447.9338842975,21163.4846877801,segment1,30154.3272370375,5830.08536187812,5487.30855145942,5456.34338462694,segment1,6085.70862594098,-4.86671608431928,-2.98417724994401,-2.8992035953197,segment1,-1.70538395905003
