,Time_Step,FI,Smooth_FI
0,96,3.6772229905757814,3.6877931698781166
1,108,4.050826041673459,3.6877931698781166
2,120,3.33533047738511,4.365799434046012
3,132,5.711241783079469,4.10377129127515
4,144,3.2647416133608727,4.308541179992766
5,156,3.9496401435379584,4.425963361265041
6,168,6.063508326896295,5.42472452047148
7,180,6.261025090980186,6.019408927920952
8,192,5.7336933658863725,5.815523660543264
9,204,5.451852524763229,5.5132648598616685
10,216,5.354248688935403,5.48924470577943
11,228,5.661632903639657,5.236230817914773
12,240,4.692810861169266,5.327871690473984
13,252,5.6291713066130304,5.0049310096505195
14,264,4.692810861169266,4.67003999643444
15,276,3.688137821521025,4.547868021693603
16,288,5.262655382390521,4.058668028995314
17,300,3.225210883074401,4.580978785814319
18,312,5.25507009197804,4.552256194678729
19,324,5.1764876089837495,5.175606730435409
20,336,5.095262490344442,4.833748817042893
21,348,4.229496351800491,4.577697708876049
22,360,4.408334284483216,4.783024139787727
23,372,5.711241783079469,5.2252543392645
24,384,5.556186950230809,5.041762781817961
25,396,3.857859612143595,4.1338253585066935
26,408,2.987429513145665,3.3464100649939845
27,420,3.1939410696926767,3.650515091960225
28,432,4.770174693042307,4.7182558535669585
29,444,6.1906517979658675,5.6187354713502105
30,456,5.895379923042432,6.063075489244615
31,468,6.103194746725531,4.875350786866259
32,480,2.6274776908307995,4.934477088597191
33,492,6.072758828235236,4.414754905658356
34,504,4.544028197909017,5.879959537659071
35,516,7.023091586832937,5.188397373916861
36,528,3.9980723370086184,5.573315394925866
37,540,5.698782260936053,5.2666831148900615
38,552,6.103194746725531,5.1281980321084575
39,564,3.5826170886638073,5.263002194038289
40,576,6.103194746725531,5.1656162586570815
41,588,5.811036940581905,5.333241172886905
42,600,4.085491831353277,5.333241172886905
