index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor,inflow,deficit
42,7,27222.94528607562,99954.949018114,6148.760330578512,5390.8017948519455,248.71127070306198,384757.0,1.0,0.0,0.0
43,8,290687.91918578424,133949.79722196,249917.35537190078,6775.715610037389,251.6959228964429,386106.0,1.0,0.0,0.0
44,9,-3.8965206611652032,123077.5541247626,5950.413223140496,4917.933353395757,250.8080181017197,387394.0,1.0,0.0,0.0
45,10,1491.1315955383304,109565.09806896703,9917.355371900827,5086.232279433041,249.6185117977404,388682.0,1.0,0.0,0.0
46,11,67007.38514465396,111603.92738219383,59504.132231404925,5464.423600022399,249.80706532712418,390003.0,1.0,0.0,0.0
47,12,9236.620173714658,107844.67388257515,7933.884297520661,5061.9893758126755,249.45940477967036,391269.0,1.0,0.0,0.0
48,1,15869.782617724355,108740.55492261137,9917.355371900827,5056.546205787289,249.54225699829942,392575.0,1.0,0.0,0.0
49,2,60688.44525898099,109054.9883290334,55537.19008264461,4836.821769914486,249.57133619985512,393891.0,1.0,0.0,0.0
50,3,28732.734204106873,108608.3429453944,23801.652892561993,5377.726695183876,249.53002986640104,395186.0,1.0,0.0,0.0
51,4,8036.552453389122,109818.6167887364,1983.4710743801647,4842.807535666939,249.641957531558,396478.0,1.0,0.0,0.0
52,5,13905.876048498212,112453.28508377398,6148.760330578512,5122.447422882134,249.88561500820992,397805.0,1.0,0.0,0.0
53,6,48.931306253396606,101126.84832863619,5950.413223140496,5424.954838250691,248.8273463083039,399096.0,1.0,0.0,0.0
54,7,8688.503506625446,94985.75493756504,6148.760330578512,8680.8365671181,248.21907636069386,400396.0,1.0,0.0,0.0
55,8,257415.92360279144,122156.48942781705,224132.2314049587,6112.957707580727,250.72867069502212,401710.0,1.0,0.0,0.0
56,9,62713.09167164081,125368.94857884596,53553.71900826446,5946.913512347473,251.00442087024302,403011.0,1.0,0.0,0.0
57,10,39072.489610528864,109261.29747438687,49586.77685950412,5593.363855483924,249.5904159321545,404333.0,1.0,0.0,0.0
58,11,41314.21099843511,107419.06983531325,37685.950413223145,5470.488224285623,249.4200443757804,405632.0,1.0,0.0,0.0
59,12,6704.587914373979,104863.06717201213,3689.256198347107,5571.334379327976,249.1836619968568,406911.0,1.0,0.0,0.0
60,1,133856.6624844059,163680.41976693965,69421.48760330575,5617.8222861728245,253.9355343536372,408212.0,1.0,0.0,0.0
61,2,60457.93500541336,163397.26909452598,55537.19008264461,5203.895595182666,253.9148498133192,409567.0,1.0,0.0,0.0
62,3,23959.403256093625,120060.55823330615,61487.603305785095,5808.510811528626,250.5481114949437,410865.0,1.0,0.0,0.0
63,4,90551.13668342005,145284.10121163385,59504.132231404925,5823.461473687677,252.57495213971944,412146.0,1.0,0.0,0.0
64,5,3455.9903832856817,122567.30287080155,17851.239669421488,8321.549054696488,250.76406123973132,413455.0,1.0,0.0,0.0
