index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.31461,189.921410248407,128258.621524253,NA,28171.0848577043,segment1,33900.6597331264,189.921410248407,NA,51.8681043955393,segment1,52.4782648447287,77355.3719008264,NA,28864.5106073039,segment1,30563.7772569008,4357.70501164316,NA,4471.51938613459,segment1,5900.95556936111,3.01449266999103,NA,-2.17391677828806,segment1,-2.02683766256479
2,2,1,3.31461,98.6079718983541,18925.6292689649,NA,27903.1651932557,segment1,33900.6597331265,98.6079718983541,NA,49.1876638544735,segment1,52.4782648447283,55537.1900826446,NA,27963.5287623239,segment1,30563.7772569008,4479.48644384448,NA,4496.89695628182,segment1,5900.95556936111,-0.0604402164348983,NA,-2.26596259803336,segment1,-2.02683766256477
3,3,1,3.3278,51.3857855269098,33266.3853191745,NA,27635.2455288072,segment1,33900.6597331265,51.3857855269098,NA,46.5072233134076,segment1,52.4782648447283,49586.7768595041,NA,27062.5469173438,segment1,30563.7772569008,4929.5923268205,NA,4522.27452642906,segment1,5900.95556936111,-1.88578808035609,NA,-2.35800841777866,segment1,-2.02683766256477
4,4,1,3.34041,35.9281999449993,1703.95927751675,NA,27247.7932329415,segment1,33900.6597331265,35.9281999449993,NA,43.8250757167571,segment1,52.4782648447283,3570.2479338843,NA,26190.7410755044,segment1,30563.7772569008,5089.62485549216,NA,4557.7856451123,segment1,5900.95556936111,-2.53043482812504,NA,-2.44935690844311,segment1,-2.02683766256477
5,5,1,3.35322,28.4984880533456,7218.46818999155,NA,26860.3409370758,segment1,33900.6597331265,28.4984880533456,NA,41.1429281201065,segment1,52.4782648447283,6148.76033057851,NA,25318.9352336649,segment1,30563.7772569008,4413.07821065717,NA,4593.29676379555,segment1,5900.95556936111,-2.8615927472261,NA,-2.54070539910755,segment1,-2.02683766256477
6,6,1,3.36577,9.01282865613052,1773.43744292077,NA,26301.7012231103,segment1,33900.6597331265,9.01282865613052,NA,38.2521830059747,segment1,52.4782648447283,5950.4132231405,NA,24325.9331622499,segment1,30563.7772569008,4591.57094852708,NA,4627.62911830449,segment1,5900.95556936111,-3.74884642140384,NA,-2.63985126225035,segment1,-2.02683766256477
7,7,1,3.37833,3.88380905366147,8740.97598709375,25541.9088666956,25743.0615091448,segment1,33900.6597331265,3.88380905366147,36.9009809880389,35.3614378918429,segment1,52.4782648447283,6148.76033057851,24208.2644628099,23332.9310908349,segment1,30563.7772569008,4900.27447762631,4684.5603096401,4661.96147281343,segment1,5900.95556936111,-3.99691809177259,-2.67362502496101,-2.73899712539314,segment1,-2.02683766256477
8,8,1,3.39164,0.178156503415893,8969.71820797869,22647.0035001629,25397.6310342383,segment1,33900.6597331265,0.178156503415893,28.9751144676566,32.8262891353613,segment1,52.4782648447283,6148.76033057851,21480.9917355372,22381.4653045492,segment1,30563.7772569008,4488.50152501068,4732.65169879775,4687.94435035886,segment1,5900.95556936111,-4.17614677272815,-2.96159847372017,-2.82624124372274,segment1,-2.02683766256477
9,9,1,3.40441,-22.2795747975427,276.406749188911,24340.8511914356,25052.2005593318,segment1,33900.6597331265,-22.2795747975427,26.9912569250191,30.2911403788797,segment1,52.4782648447283,5950.4132231405,20489.2561983471,21429.9995182635,segment1,30563.7772569008,4431.97261147977,4744.33088727544,4713.92722790429,segment1,5900.95556936111,-5.33341002927827,-3.03833158835809,-2.91348536205233,segment1,-2.02683766256477
10,10,1,3.41784,-40.5803165352764,48.514800770608,24975.2309186419,25552.2113404101,segment1,33900.6597331265,-40.5803165352764,27.7428092229005,30.3583577153075,segment1,52.4782648447283,3689.25619834711,19927.2727272727,21253.9250729375,segment1,30563.7772569008,4594.59238440366,4709.75965732257,4753.3124830585,segment1,5900.95556936111,-6.36169449019513,-3.0069980986201,-2.90346561024946,segment1,-2.02683766256477
11,11,1,3.43067,109.75899420253,131956.998929563,25424.5043910468,26052.2221214883,segment1,33900.6597331265,109.75899420253,28.5643822514819,30.4255750517354,segment1,52.4782648447283,59504.1322314049,20357.0247933884,21077.8506276116,segment1,30563.7772569008,4800.17686614543,4697.77173479676,4792.69773821271,segment1,5900.95556936111,0.343940477970705,-2.97240092430838,-2.89344585844658,segment1,-2.02683766256477
12,12,1,3.44417,49.2206865099613,21247.4735007122,26619.1301667472,26956.5716829915,segment1,33900.6597331265,49.2206865099613,31.9870628828825,33.3307376948444,segment1,52.4782648447283,43636.3636363636,20357.0247933884,21168.444614921,segment1,30563.7772569008,4853.34832600466,4721.89908922857,4840.15857361003,segment1,5900.95556936111,-1.97589208087649,-2.82899259345437,-2.76599752857207,segment1,-2.02683766256477
13,1,1,3.45714,48.4720754315468,16491.25592869,28486.1049195601,27860.9212444946,segment1,33900.6597331265,48.4720754315468,38.3178249456526,36.2359003379534,segment1,52.4782648447283,11900.826446281,20844.6280991736,21259.0386022304,segment1,30563.7772569008,4927.30446769547,4792.63389213999,4887.61940900735,segment1,5900.95556936111,-2.00704670820343,-2.56122755296167,-2.63854919869757,segment1,-2.02683766256477
14,2,1,3.46976,49.8365102260401,61215.2660677423,30310.5627202976,28589.3497975548,segment1,33900.6597331265,49.8365102260401,44.4667293773247,41.4861466235532,segment1,52.4782648447283,55537.1900826446,22563.6363636364,21569.8186362095,segment1,30563.7772569008,5064.08032757581,4979.91936240879,4945.91795672319,segment1,5900.95556936111,-1.95026360846038,-2.29675897773385,-2.40450117588682,segment1,-2.02683766256477
15,3,1,3.48279,52.5446661759238,31629.0931109433,31755.6448437489,29317.7783506149,segment1,33900.6597331265,52.5446661759238,50.79754823065,46.7363929091531,segment1,52.4782648447283,25785.1239669422,23795.041322314,21880.5986701886,segment1,30563.7772569008,4625.29896655354,5111.7350374385,5004.21650443904,segment1,5900.95556936111,-1.83755943964061,-2.01248831493766,-2.17045315307608,segment1,-2.02683766256477
16,4,1,3.49574,52.8065744451401,18566.364938699,31793.5915402841,28509.0145144299,segment1,33900.6597331265,52.8065744451401,57.2083105087611,51.2952700589251,segment1,52.4782648447283,13884.2975206612,23795.041322314,21325.3400738735,segment1,30563.7772569008,4564.20869689044,5113.70719282006,5041.77836684893,segment1,5900.95556936111,-1.8266597151287,-1.70276954957865,-1.95710351266154,segment1,-2.02683766256477
17,5,1,3.50892,31.337866239157,1138.62586652558,27105.2171596634,27700.250678245,segment1,33900.6597331265,31.337866239157,57.9708181727055,55.854147208697,segment1,52.4782648447283,6148.76033057851,21646.2809917355,20770.0814775584,segment1,30563.7772569008,4650.78422863946,5115.80771915293,5079.34022925882,segment1,5900.95556936111,-2.73503567674118,-1.6357100247089,-1.74375387224699,segment1,-2.02683766256477
18,6,1,3.52249,88.3177856239345,36524.2983831985,22051.7302558414,27196.3977712503,segment1,33900.6597331265,88.3177856239345,55.5164388701516,59.6733086636403,segment1,52.4782648447283,5950.4132231405,18009.9173553719,20196.4894534969,segment1,30563.7772569008,4932.92143690811,5146.28358661877,5114.91713630447,segment1,5900.95556936111,-0.433603551392508,-1.72953769920851,-1.58314123465961,segment1,-2.02683766256477
19,7,1,3.53552,76.5171415923403,18797.5091143234,22502.0838050068,26692.5448642557,segment1,33900.6597331265,76.5171415923403,55.621021009162,63.4924701185836,segment1,52.4782648447283,17851.2396694215,17266.1157024793,19622.8974294354,segment1,30563.7772569008,6256.55925911934,5188.90613997272,5150.49404335012,segment1,5900.95556936111,-0.885799989959196,-1.72518534902311,-1.42252859707222,segment1,-2.02683766256477
20,8,1,3.54852,75.1185303248671,42700.172298449,27978.7437018743,28606.8856245921,segment1,33900.6597331265,75.1185303248671,63.4847399631394,69.3866295162729,segment1,52.4782648447283,35702.479338843,19249.5867768595,21108.5064667969,segment1,30563.7772569008,7627.06802996896,5190.48339572496,5232.49162123346,segment1,5900.95556936111,-0.940019069073912,-1.45438743375884,-1.21140918265013,segment1,-2.02683766256477
21,9,1,3.56152,54.7197038608121,1227.92362155029,33463.8837931207,30521.2263849285,segment1,33900.6597331265,54.7197038608121,76.463174551752,75.2807889139622,segment1,52.4782648447283,5950.4132231405,22390.0826446281,22594.1155041585,segment1,30563.7772569008,4456.98230723459,5233.50558361695,5314.48919911681,segment1,5900.95556936111,-1.74704182582397,-1.00194091619295,-1.00028976822804,segment1,-2.02683766256477
