index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.31243,49.6651476965309,36026.0259689839,NA,9549.91222418244,segment1,30304.5598710074,49.6651476965309,NA,12.7192109019136,segment1,45.4745053012122,47603.305785124,NA,7917.20110753866,segment1,23987.2297801717,4992.49372042115,NA,4826.81521493297,segment1,5880.57261086267,-1.95739512961813,NA,-3.55755975864837,segment1,-2.55824630843563
2,2,0.999666666666667,3.31243,51.4809764106844,50737.320437069,NA,12551.8177099241,segment1,30304.5598710073,51.4809764106844,NA,22.294761861209,segment1,45.4745053012127,45619.8347107438,NA,10104.5456194781,segment1,23987.2297801716,4300.36280495626,NA,4821.17560286574,segment1,5880.57261086263,-1.88182656202645,NA,-3.16173385209779,segment1,-2.55824630843564
3,3,0.999333333333333,3.32487,49.0886635231425,9690.20359229036,NA,15553.7231956658,segment1,30304.5598710073,49.0886635231425,NA,31.8703128205043,segment1,45.4745053012127,5950.4132231405,NA,12291.8901314176,segment1,23987.2297801716,4816.33116854368,NA,4815.53599079851,segment1,5880.57261086263,-1.98138642509807,NA,-2.7659079455472,segment1,-2.55824630843564
4,4,0.999,3.33757,52.2842288421851,8044.53912912004,NA,18464.143234657,segment1,30304.5598710073,52.2842288421851,NA,40.5887997440602,segment1,45.4745053012127,1983.47107438016,NA,14507.1029161985,segment1,23987.2297801716,4623.06366117073,NA,4819.13513196803,segment1,5880.57261086263,-1.8483979488594,NA,-2.41147931969248,segment1,-2.55824630843564
5,5,0.998666666666667,3.35054,73.2313889043261,21222.7978989809,NA,21374.5632736481,segment1,30304.5598710073,73.2313889043261,NA,49.3072866676161,segment1,45.4745053012127,6148.76033057851,NA,16722.3157009795,segment1,23987.2297801716,5647.81554043896,NA,4822.73427313755,segment1,5880.57261086263,-1.01317668789227,NA,-2.05705069383776,segment1,-2.55824630843564
6,6,0.998333333333333,3.3634,86.0927555400008,52934.9300141105,NA,24379.8197523495,segment1,30304.5598710073,86.0927555400008,NA,57.5080652671133,segment1,45.4745053012127,41652.8925619835,NA,19014.258829045,segment1,23987.2297801716,5494.42246607341,NA,4828.99727385493,segment1,5880.57261086263,-0.514588215627128,NA,-1.73184273240501,segment1,-2.55824630843564
7,7,0.998,3.37662,82.242869962536,8798.49055981266,26104.5481484233,27385.0762310508,segment1,30304.5598710073,82.242869962536,66.8797957214995,65.7088438666104,segment1,45.4745053012127,5950.4132231405,20000,21306.2019571106,segment1,23987.2297801716,4580.52584653135,4823.7094022913,4835.26027457231,segment1,5880.57261086263,-0.663834296765913,-1.29899316374595,-1.40663477097226,segment1,-2.55824630843564
8,8,0.997666666666667,3.3895,62.4079178448988,1873.7940210239,31102.906046935,30536.3815241725,segment1,30304.5598710073,62.4079178448988,75.536743594,73.8934966847136,segment1,45.4745053012127,6148.76033057851,22396.694214876,23912.7322575539,segment1,23987.2297801716,4650.7621433821,4810.58528943379,4842.37000690621,segment1,5880.57261086263,-1.43276335025803,-1.00602936236868,-1.08643900372457,segment1,-2.55824630843564
9,9,0.997333333333333,3.40246,45.7568103903888,3151.96292321182,36904.2599077151,33687.6868172941,segment1,30304.5598710073,45.7568103903888,87.3085567292305,82.0781495028167,segment1,45.4745053012127,5950.4132231405,26776.8595041322,26519.2625579973,segment1,23987.2297801716,4694.54805460084,4830.08449272923,4849.47973924012,segment1,5880.57261086263,-2.1200467330367,-0.596469434291465,-0.766243236476871,segment1,-2.55824630843564
10,10,0.997,3.41499,52.8928195270937,11808.3730852221,37809.8978868338,35487.7804592017,segment1,30304.5598710073,52.8928195270937,90.4740577977465,86.1813757757849,segment1,45.4745053012127,3966.94214876033,31487.6033057851,29224.195040029,segment1,23987.2297801716,4630.22682494451,4897.81910021658,4884.37690234803,segment1,5880.57261086263,-1.82307049041043,-0.477766018901647,-0.617343389687367,segment1,-2.55824630843564
