index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
11,11,0.991666666666667,3.42505,89285.109739182,6.42246608707119,6.42246608707119,77.9051595263262,76.2864510141128,segment1,64.0388224489247,9462.17733826563,37701.838447133,37267.3777812953,segment1,36693.8819231974,3570.2479338843,33869.4214876033,32974.4327959257,segment1,30602.2170305977,4492.85718865676,4983.3799751054,5057.25198792692,segment1,5789.80143560131,-3.87413265915924,-1.01117302550165,-1.04172760303487,segment1,-1.59296808561405
12,12,0.990833333333333,3.43764,130024.494067398,96.9544312608835,96.9544312608835,73.637609873886,73.0822284754774,segment1,64.0388224489247,106937.662101407,35709.6452946988,37122.9966358432,segment1,36693.8819231974,61487.6033057851,32638.0165289256,33299.905849314,segment1,30602.2170305977,4710.67446740693,4992.0261093713,5065.68511264936,segment1,5789.80143560131,-0.120404217310181,-1.18553458102249,-1.21601500249551,segment1,-1.59296808561405
13,1,0.99,3.45075,119511.369251555,73.5919316701232,73.5919316701232,68.0939675087373,69.878005936842,segment1,64.0388224489247,56187.9491782637,33904.4707006244,36978.6154903911,segment1,36693.8819231974,61487.6033057851,31398.347107438,33625.3789027022,segment1,30602.2170305977,5213.47068832095,5000.76265750344,5074.1182373718,segment1,5789.80143560131,-0.99919975434571,-1.42196600904215,-1.39030240195615,segment1,-1.59296808561405
14,2,0.989166666666667,3.46333,199935.568110487,252.312373578861,252.312373578861,62.0587793614078,65.1714650845009,segment1,64.0388224489247,176362.194253784,33721.585741739,36637.1213013586,segment1,36693.8819231974,91239.6694214877,31398.347107438,33563.143725287,segment1,30602.2170305977,4698.32597336514,5039.07330059935,5050.14876713271,segment1,5789.80143560131,4.91717219732067,-1.6974665678852,-1.63501003478097,segment1,-1.59296808561405
15,3,0.988333333333333,3.47606,159140.81049965,161.657356665889,161.657356665889,56.5346845147998,60.4649242321598,segment1,64.0388224489247,30269.5663379645,33948.0578164357,36295.6271123261,segment1,36693.8819231974,65454.5454545454,31398.347107438,33500.9085478718,segment1,30602.2170305977,5609.77849425663,5035.55338997134,5026.17929689363,segment1,5789.80143560131,2.10390974502516,-1.97122898181208,-1.87971766760578,segment1,-1.59296808561405
16,4,0.9875,3.48923,114366.791699149,62.1595371092209,62.1595371092209,51.1282028096957,55.2387189729856,segment1,64.0388224489247,19588.5847267201,33993.1772439765,35019.1926882953,segment1,36693.8819231974,59504.1322314049,31398.347107438,32312.1525646497,segment1,30602.2170305977,4858.471295816,5027.7469038354,5025.4111603928,segment1,5789.80143560131,-1.4423921692669,-2.26281413888826,-2.12316840841199,segment1,-1.59296808561405
17,5,0.986666666666667,3.50211,103929.977826847,38.9666173929926,38.9666173929926,47.7702602600175,50.0125137138113,segment1,64.0388224489247,790.263314678297,34989.0384946468,33742.7582642644,segment1,36693.8819231974,6148.76033057851,31398.347107438,31123.3965814275,segment1,30602.2170305977,5078.3168564025,5101.76553456411,5024.64302389197,segment1,5789.80143560131,-2.40263129317981,-2.44811612378406,-2.36661914921819,segment1,-1.59296808561405
18,6,0.985833333333333,3.51503,96214.9041520906,21.8220092268681,21.8220092268681,45.1689097542688,46.0255390671424,segment1,64.0388224489247,3002.40757026616,33572.0685904675,32000.7728202786,segment1,36693.8819231974,5950.4132231405,29580.1652892562,28920.9021041157,segment1,30602.2170305977,4767.06802188174,5162.51102879831,5047.85740614646,segment1,5789.80143560131,-3.1591774809736,-2.55548829950322,-2.51659701985228,segment1,-1.59296808561405
19,7,0.985,3.52755,84947.8916266892,-3.21579638513504,-3.21579638513504,47.2712071253191,42.0385644204735,segment1,64.0388224489247,-60.2911648772943,34106.3822827639,30258.7873762927,segment1,36693.8819231974,6148.76033057851,28009.9173553719,26718.4076268039,segment1,30602.2170305977,5057.96102994557,5150.43111041944,5071.07178840094,segment1,5789.80143560131,-4.34029969618561,-2.48952727618435,-2.66657489048637,segment1,-1.59296808561405
20,8,0.984166666666667,3.54058,74340.6724557879,-26.7873945426935,-26.7873945426935,48.1113159706926,40.8501943532203,segment1,64.0388224489247,862.052542753257,32251.8430486653,29714.1702857508,segment1,36693.8819231974,6148.76033057851,26770.2479338843,25410.6761456296,segment1,30602.2170305977,5320.51138307606,5103.54613436301,5102.40553927904,segment1,5789.80143560131,-5.57747633323251,-2.44634186663147,-2.69275632847016,segment1,-1.59296808561405
