<<<<<<< HEAD
index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor,inflow,deficit
0,1,127891.02307484351,171219.6995908849,77355.37190082643,4630.0415831323435,254.4693409716281,331074.0,1.0,0.0,0.0
1,2,54295.21233234234,163330.41755840564,57520.66115702478,4663.8332077970645,253.90996621801492,331074.0,0.9998333333333334,0.0,0.0
2,3,7781.830129891361,108957.82311509752,57520.66115702478,4633.7634161748765,249.56235023722348,332357.0,0.9996666666666668,0.0,0.0
3,4,6578.798462817021,108891.3577893886,1983.4710743801647,4661.792714145789,249.55620343932202,333696.0,0.9995,0.0,0.0
4,5,338.85945008287564,97787.60242157476,6148.760330578512,5293.854487318208,248.49659691180412,334966.0,0.9993333333333332,0.0,0.0
5,6,1805.7542706805523,89129.67059867266,5950.413223140496,4513.2728704421415,247.60916064044204,336257.0,0.9991666666666666,0.0,0.0
6,7,903.7725676003945,76935.44696364902,6148.760330578512,6949.235872045511,246.23320044273015,337513.0,0.9990000000000001,0.0,0.0
7,8,5979.3106595882045,72111.37554075799,6148.760330578512,4654.621751900716,245.6372649444348,338788.0,0.9988333333333334,0.0,0.0
8,9,-248.11425875694567,61167.79123003241,5950.413223140496,4745.056828828135,244.175625610034,340092.0,0.9986666666666668,0.0,0.0
9,10,35970.209348695935,86773.03966639379,3689.256198347107,6675.70471398747,247.35586840782392,341346.0,0.9985,0.0,0.0
10,11,39161.838876753136,109430.6234650867,11900.826446280991,4603.428631779193,249.6060754152489,342650.0,0.9983333333333332,0.0,0.0
11,12,66957.73053855146,110144.9079771361,61487.603305785095,4755.8427207171035,249.6721333558805,343947.0,0.9981666666666666,0.0,0.0
12,1,18295.48307886441,109646.8701497232,13884.297520661159,4909.223385616113,249.62607418382717,345262.0,0.998,0.0,0.0
13,2,68538.78186703078,117589.15313533574,55537.19008264461,5059.308798773813,250.33520616258926,346542.0,0.9978333333333332,0.0,0.0
14,3,50217.50979407079,109385.35400372563,53553.719008264445,4867.589917416593,249.60188883785491,347854.0,0.9976666666666668,0.0,0.0
15,4,7994.3439380265845,108698.25890791732,3966.9421487603295,4714.496885074532,249.53834540903702,349108.0,0.9975,0.0,0.0
16,5,-1774.1374626523516,95746.80705074412,6148.760330578512,5028.554063942327,248.29445790914662,350422.0,0.9973333333333332,0.0,0.0
17,6,-39.97016635816678,83232.68319524276,5950.413223140496,6523.7404660027305,246.9739646153679,351739.0,0.9971666666666666,0.0,0.0
18,7,63549.7222622955,123759.95783758894,17851.239669421488,5171.207950527816,250.86680546498872,353020.0,0.997,0.0,0.0
19,8,8028.677667650716,120381.62329119252,5950.413223140496,5456.598990906649,250.5757704420393,354336.0,0.9968333333333332,0.0,0.0
20,9,3039.170910759429,112465.83426443057,5950.413223140496,5004.546714380886,249.88677557240638,355669.0,0.9966666666666668,0.0,0.0
21,10,3667.2843587069237,109123.1009130382,1983.4710743801647,5026.546635719126,249.5776353383,356920.0,0.9965,0.0,0.0
22,11,14615.20228696103,108812.5616582328,9917.355371900827,5008.386169865593,249.5489162728413,358188.0,0.9963333333333332,0.0,0.0
23,12,51876.74061427188,107930.00217982348,47603.305785123965,5155.994307557353,249.4672960491837,359494.0,0.9961666666666666,0.0,0.0
24,1,76378.07091153726,118157.97920605585,61487.603305785095,4662.490579520023,250.38420909769604,360848.0,0.996,0.0,0.0
25,2,96457.1035024602,153906.34007246245,55537.19008264461,5171.552553409237,253.22152458707447,362117.0,0.9958333333333332,0.0,0.0
26,3,29957.268099402438,116825.44540207664,61487.603305785095,5550.5594640033505,250.2694146624808,363418.0,0.9956666666666668,0.0,0.0
27,4,18089.593517657628,108361.18193243339,21818.181818181823,4735.675169119032,249.50717210139962,364745.0,0.9955,0.0,0.0
28,5,3744.501384215069,100670.21961625337,6148.760330578512,5286.703369816585,248.78211763235473,366002.0,0.9953333333333332,0.0,0.0
29,6,30491.78631290935,120565.7273086132,5950.413223140496,4645.865397409007,250.59163054002525,367308.0,0.9951666666666666,0.0,0.0
30,7,8797.093746670445,117821.7080949126,6148.760330578512,5392.352629792533,250.35524018736325,368624.0,0.995,0.0,0.0
31,8,-970.0286902067427,105761.89974108676,6148.760330578512,4941.019333040594,249.26678717664726,369912.0,0.9948333333333332,0.0,0.0
32,9,45617.30275191703,121886.96815023015,23801.652892561982,5690.581450211635,250.70545211494056,371184.0,0.9946666666666668,0.0,0.0
33,10,4623.945976609683,109418.03954062448,11900.826446280991,5192.048139934347,249.60491163790107,372465.0,0.9945,0.0,0.0
34,11,64846.319342341776,109312.84162061311,59504.132231404925,5447.3850309484005,249.59518280038964,373769.0,0.9943333333333332,0.0,0.0
35,12,51575.67399595412,108346.5477648332,47603.305785123965,4938.66206661017,249.50581871495731,375052.0,0.9941666666666666,0.0,0.0
36,1,132206.89267897373,166261.0112789925,69421.48760330575,4870.941561508885,254.119472326183,376423.0,0.9940000000000001,0.0,0.0
37,2,138557.55882829954,203194.5017422402,97190.08264462813,4433.98572042391,256.6285304975835,377689.0,0.9938333333333332,0.0,0.0
38,3,12964.426720448742,149045.89252789386,61487.603305785095,5625.432629010281,252.86128120930843,378933.0,0.9936666666666668,0.0,0.0
39,4,80350.09180190632,160503.98594493465,63471.074380165264,5420.924004700439,253.70349155854592,380256.0,0.9935,0.0,0.0
40,5,12913.43135944184,120698.08565223035,47603.305785123965,5116.025867022202,250.6030328783796,381502.0,0.9933333333333332,0.0,0.0
41,6,39820.62170287043,125170.7281923442,29752.06611570248,5595.913047054118,250.98833978224883,382784.0,0.9931666666666666,0.0,0.0
42,7,16622.259794253245,124022.24882707295,11900.826446280991,5869.912713243516,250.88940117393804,384108.0,0.993,0.0,0.0
43,8,5677.224822892285,118502.5196239796,6148.760330578512,5048.193695407105,250.4138903880065,385421.0,0.9928333333333332,0.0,0.0
44,9,2973.418167886406,110506.04800803047,5950.413223140496,5019.47656069504,249.7055320455036,386653.0,0.9926666666666668,0.0,0.0
45,10,2462.5530555478517,104126.06970556984,3689.256198347107,5153.275159661386,249.1155035332997,387950.0,0.9925,0.0,0.0
46,11,120755.29726376543,159166.83305833506,59504.132231404925,6210.401679595539,253.60581072820042,389229.0,0.9923333333333332,0.0,0.0
47,12,115015.42389683117,181751.89717719165,87272.72727272731,5157.6325052475,255.20375574082652,390506.0,0.9921666666666666,0.0,0.0
48,1,83276.71615482493,176643.66484140954,83305.78512396695,5079.163366640184,254.85203801886752,391811.0,0.992,0.0,0.0
49,2,50154.85662196096,164550.16128068115,57520.66115702478,4727.6990256648605,253.99876040927688,393085.0,0.9918333333333332,0.0,0.0
50,3,25258.041622702374,122750.26063041807,61487.603305785095,5570.338967180595,250.77982259049088,394378.0,0.9916666666666668,0.0,0.0
51,4,12893.37438078499,107892.99428990524,21818.181818181823,5932.458903115976,249.46387351243,395649.0,0.9915,0.0,0.0
52,5,2603.463678357012,97949.76400138033,6148.760330578512,6397.933636303432,248.51265887493858,396977.0,0.9913333333333332,0.0,0.0
53,6,998.5375774150535,87589.42055226873,5950.413223140496,5408.467803386152,247.44361355892826,398268.0,0.9911666666666666,0.0,0.0
54,7,2446.193136570293,77572.30986289955,6148.760330578512,6314.543495360951,246.30811667602632,399582.0,0.991,0.0,0.0
55,8,876.684199875325,66875.137398682,6148.760330578512,5425.096333514362,244.97508578213782,400844.0,0.9908333333333332,0.0,0.0
56,9,2183.966554710528,57433.76507126263,5950.413223140496,5674.925658989406,243.6178963289574,402139.0,0.9906666666666668,0.0,0.0
57,10,143290.0316848438,134013.19325731788,61487.603305785095,5223.000193003712,251.70103177188477,403394.0,0.9905,0.0,0.0
58,11,13826.662139351209,108806.10693050963,33719.00826446282,5314.740201696721,249.54831933140755,404683.0,0.9903333333333332,0.0,0.0
59,12,46330.78128582773,108409.96563883631,41652.89256198347,5074.030015517688,249.51168368064705,405989.0,0.9901666666666666,0.0,0.0
60,1,86445.1712895402,127493.73868421926,61487.603305785095,5873.794938372458,251.1756506313336,407291.0,0.99,0.0,0.0
61,2,184735.76843575577,207935.0445523038,99173.55371900828,5120.908848663208,256.93597863365346,408567.0,0.9898333333333332,0.0,0.0
62,3,54640.607303372286,176008.8722814163,81322.31404958677,5244.4655246731345,254.8072491555364,409817.0,0.9896666666666668,0.0,0.0
63,4,60709.605340666574,165499.74170924973,65454.54545454541,5764.1904582878915,254.06575966339162,411164.0,0.9895,0.0,0.0
64,5,56598.66307758945,121478.31417536241,95206.61157024793,5413.479041228895,250.67024760297744,412449.0,0.9893333333333332,0.0,0.0
65,6,1200.0120893899484,109774.26755641786,5950.413223140496,6953.645485193977,249.63785605811688,413740.0,0.9891666666666666,0.0,0.0
66,7,2454.7453168241595,100751.40258504094,6148.760330578512,5328.84995762258,248.79015873465144,415027.0,0.9890000000000001,0.0,0.0
67,8,6752.645732849305,94940.36155097195,6148.760330578512,6414.926436339785,248.2145801853181,416316.0,0.9888333333333332,0.0,0.0
68,9,9300.383755259092,92441.24585009225,5950.413223140496,5849.086232998303,247.96509091252068,417625.0,0.9886666666666668,0.0,0.0
69,10,8781.113926453812,92267.96313922804,3689.256198347107,5265.140438970921,247.94646637351974,418930.0,0.9885,0.0,0.0
70,11,9134.433614401489,92499.775957613,3570.2479338842977,5332.372862132207,247.9713817667254,420222.0,0.9883333333333332,0.0,0.0
71,12,113023.2834527457,138535.0698914902,61487.603305785095,5500.386213083727,252.0612490403022,421543.0,0.9881666666666666,0.0,0.0
72,1,49403.889688607305,121216.30797093033,61487.603305785095,5235.048303382312,250.64767642754398,422861.0,0.988,0.0,0.0
73,2,65279.87494500668,125955.79968171373,55537.19008264461,5003.193151578915,251.0517132469751,424165.0,0.9878333333333332,0.0,0.0
74,3,106532.87752876538,160424.59449998618,65454.54545454543,6609.53725594776,253.69769190590884,425511.0,0.9876666666666668,0.0,0.0
75,4,13385.7457439545,108648.13140607244,59504.132231404925,5658.076606463478,249.53370955387703,426820.0,0.9875,0.0,0.0
76,5,2465.7439384804024,94583.89122523145,6148.760330578512,10381.223788742891,248.17927211026458,428079.0,0.9873333333333332,0.0,0.0
77,6,2141.930513831426,85423.84931742099,5950.413223140496,5351.559198501368,247.21085654744428,429362.0,0.9871666666666666,0.0,0.0
78,7,38798.773577594206,110316.2807188759,6148.760330578512,7757.581845560772,249.6879821251157,430678.0,0.987,0.0,0.0
79,8,4385.6138200719315,102969.59688573037,6148.760330578512,5583.537322638929,249.0085514552604,432010.0,0.9868333333333332,0.0,0.0
