index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
0,1,36129.65707570516,109178.06889885699,47603.305785123965,4662.372391724288,249.58271884757764,330457.0,1.0
1,2,123624.65206351133,168666.92691841163,59504.132231404925,4631.66181255195,254.2892257756588,330457.0,0.9990000000000001
2,3,1740.633707256755,108168.81988518649,57520.66115702478,4718.079583457246,249.4893822144813,331751.0,0.998
3,4,22201.059817454054,109292.00065193867,15867.768595041323,5210.1104556605,249.5932554010856,333061.0,0.997
4,5,20889.44472279121,118881.8721365337,6148.760330578512,5150.812907617681,250.4465706526993,334332.0,0.996
5,6,13019.550678574355,121037.89634352124,5950.413223140496,4913.113248446342,250.6323067146383,335619.0,0.995
6,7,-2046.4104862931847,108234.286012204,6148.760330578512,4608.43951444551,249.49543660521638,336889.0,0.9940000000000001
7,8,-3557.777858958517,93932.18505535596,6148.760330578512,4595.562767311018,248.11472118218663,338148.0,0.993
8,9,9149.162924459188,92649.8358260082,5950.413223140496,4481.098930666475,247.987510299442,339433.0,0.992
9,10,13012.755649424322,97328.93283016668,3689.256198347107,4644.402446918711,248.4511660885664,340748.0,0.991
10,11,40655.35672585417,109240.34590053557,23801.652892561993,4942.290762923291,249.588478303943,342028.0,0.99
11,12,20667.5211343142,108750.95574359712,15867.768595041323,5289.142696211293,249.5432188794596,343351.0,0.9890000000000001
12,1,123128.6505932368,161461.524348709,65454.54545454543,4963.536533579737,253.77344103650444,344605.0,0.988
13,2,7808.066633400174,109628.82525580203,55537.19008264461,4103.5756436626725,249.62440536907445,345904.0,0.987
14,3,57950.901299918485,108817.69731038473,53553.719008264445,5208.310237071477,249.5493912244876,347207.0,0.986
15,4,8902.810962333007,108880.04896373693,3966.9421487603295,4873.5171602204655,249.55515758473481,348482.0,0.985
16,5,47057.43879356019,121197.85544549553,29752.06611570248,4987.566196099127,250.6460867888952,349761.0,0.9840000000000001
17,6,10643.774071374748,121452.8339196834,5950.413223140496,4438.382374046334,250.66805254304646,351062.0,0.983
18,7,8533.071578681085,118587.89412415028,6148.760330578512,5249.251043635716,250.42124518643607,352340.0,0.982
19,8,-2168.131974663811,104229.51442171859,6148.760330578512,6041.487397189359,249.1250702322869,353681.0,0.981
20,9,1280.4525431766174,94615.47953033516,5950.413223140496,4944.0742114195455,248.18240090435174,355013.0,0.98
21,10,8732.161841430523,94581.81330847072,3689.256198347107,5076.571864947886,248.17906629442064,356305.0,0.9790000000000001
22,11,38744.20995722512,108623.00552567278,19834.710743801654,4868.306996221376,249.5313858804839,357582.0,0.978
23,12,48635.26953853033,106942.07058113578,43636.36363636363,6679.840846703774,249.3759308777523,358906.0,0.977
24,1,33211.437041262165,109718.63899054367,25785.12396694216,4649.744664912113,249.63271145755516,360211.0,0.976
25,2,52406.659474896085,110066.94829774417,47603.305785123965,4455.044382571754,249.6649235455233,361526.0,0.975
26,3,27095.85243551424,107155.16163905601,23801.652892561993,6205.986201640373,249.39563780995616,362862.0,0.9740000000000001
27,4,9853.175653564445,108158.89152189609,3966.9421487603295,4882.503621964035,249.48846402681,364196.0,0.973
28,5,6998.018428091837,104242.46381460008,6148.760330578512,4765.685804809358,249.12626780861922,365491.0,0.972
29,6,78.05629562050274,93835.03080731301,5950.413223140496,4535.07607976706,248.10509813860077,366845.0,0.971
30,7,15511.498553978481,98036.28811598373,6148.760330578512,5161.480914729237,248.52122901307288,368080.0,0.97
31,8,30028.832705806362,116093.61658203477,6148.760330578512,5822.743909176786,250.20636945055438,369418.0,0.9690000000000001
32,9,6277.264079252946,111506.94706319168,5950.413223140496,4913.520374955533,249.7980964638113,370751.0,0.968
33,10,121995.51724959859,160856.2610339999,67438.01652892558,5208.186749865037,253.729225731171,372099.0,0.9670000000000001
34,11,40919.078483236466,137384.48465268314,59504.132231404925,4886.722633148614,251.9727129222889,373417.0,0.966
35,12,102625.8955237648,165730.76676431522,69421.48760330575,4858.125808827183,254.082060027116,374711.0,0.965
36,1,44408.288770940446,143509.08383381562,61487.603305785095,5142.368395655255,252.43984653933742,375984.0,0.9640000000000001
37,2,157505.89798230908,200133.40340974188,95206.61157024797,5674.9668361350505,256.43000281534097,377244.0,0.963
38,3,143590.08426040626,210628.82736451266,126942.14876033054,6152.511545305232,257.10588163933943,378503.0,0.9620000000000001
39,4,1285.9532950625885,147145.40851179964,59504.132231404925,5265.239916370927,252.7166257049627,379826.0,0.961
40,5,4917.851542079797,122265.02382616856,23801.652892561982,5996.583335148907,250.73802066042114,381142.0,0.96
41,6,3553.912513038849,114887.88503798108,5950.413223140496,4980.638078085824,250.1024987110597,382406.0,0.9590000000000001
42,7,-1833.9810966047494,101030.15274380539,6148.760330578512,5874.990866992431,248.8177686949094,383681.0,0.958
43,8,21250.761654275437,111176.44602268908,6148.760330578512,4955.708044813217,249.76753130700908,384983.0,0.9570000000000001
44,9,4207.20237324216,103938.37908699842,5950.413223140496,5494.856085792328,249.09814566605,386340.0,0.956
45,10,3591.621497112529,98072.68000213447,3689.256198347107,5768.0643836293775,248.5248335976757,387615.0,0.955
46,11,14650.221728415618,104405.13140105784,3570.2479338842977,4747.5223956079435,249.14131151401625,388893.0,0.9540000000000001
47,12,46992.81701435791,107097.14839559457,37685.950413223145,6614.849606598122,249.39027267137647,390169.0,0.953
48,1,131955.4259269993,164727.35973553648,69421.48760330575,4903.726983751903,254.01126294613255,391491.0,0.9520000000000001
49,2,153168.66844756212,208525.27134164254,103140.4958677686,6230.2609736876575,256.9742578209769,392786.0,0.951
50,3,80523.5209902941,187838.12290777493,95206.61157024803,6004.057853913947,255.61638121408646,394057.0,0.95
51,4,92906.00717505117,185543.01278739114,89256.1983471075,5944.918948327682,255.46078052795872,395365.0,0.9490000000000001
52,5,6380.074612116144,115390.02028469455,65454.54545454545,11078.521660267288,250.1457563994396,396675.0,0.948
53,6,34317.90569709365,120101.66914011928,23801.652892561982,5804.603949106953,250.5516530961509,397957.0,0.9470000000000001
54,7,15413.406391025792,123652.8684012178,5950.413223140496,5911.793906786754,250.85757997942954,399296.0,0.946
55,8,6980.423734294585,118741.1983623916,6148.760330578512,5743.333442542298,250.43445196092281,400585.0,0.945
56,9,1457.738616342915,108878.31041929149,5950.413223140496,5370.213336302531,249.5549968019321,401838.0,0.9440000000000001
57,10,38705.57295640639,108049.31808440527,33719.00826446282,5815.557026829802,249.478330535874,403115.0,0.943
58,11,35855.28614132338,109034.93614460963,29752.06611570249,5117.601965416558,249.56948174832237,404447.0,0.9420000000000001
59,12,91179.26123911428,133467.37267500686,61487.603305785095,5259.2214029322695,251.65704590821235,405736.0,0.941
60,1,141596.15054325823,181751.05773120094,87272.72727272731,6039.738214337021,255.203698829234,407025.0,0.94
61,2,156636.86994762346,213843.5789276136,119008.26446280988,5536.084288401181,257.3060779005862,408309.0,0.9390000000000001
62,3,8367.347887664999,155607.87835557607,61487.603305785095,5115.445153917694,253.34582426441492,409554.0,0.938
63,4,21445.793636578746,111249.36164431117,59504.132231404925,6300.178116438897,249.7742746364849,410847.0,0.937
64,5,5530.844869275637,101947.07968392957,6148.760330578512,8684.366499078707,248.90858950910558,412165.0,0.936
65,6,18553.38170187639,109035.82958685164,5950.413223140496,5514.218575813855,249.56956437499784,413447.0,0.935
66,7,26837.22987129747,124638.58001619665,5950.413223140496,5284.066218811947,250.94249655549592,414729.0,0.934
67,8,-3445.5111194511505,108036.5623585926,6148.760330578512,7007.746207574382,249.4771508701186,416034.0,0.9329999999999999
68,9,46390.423693032375,124828.06731906047,23801.652892561982,5797.265840002545,250.9588204099811,417300.0,0.932
69,10,37310.61408992168,109366.3182772942,47603.305785123965,5169.057346564084,249.6001283896508,418598.0,0.9309999999999999
70,11,20444.456935132323,108332.68438261017,15867.768595041323,5610.322234774988,249.5045366117276,419873.0,0.93
71,12,22195.057165150763,109221.15556974053,15867.768595041323,5438.817382979083,249.58670355773057,421138.0,0.929
72,1,11463.681375739763,108293.15988025804,5950.413223140496,6441.263842081726,249.50088133545344,422421.0,0.9279999999999999
73,2,50361.992835293095,108330.87061419984,45619.8347107438,4704.447390607593,249.50436887211688,423693.0,0.927
74,3,58141.040998330696,103777.0541500234,53553.719008264445,9141.138454242786,249.0832261305857,424945.0,0.9259999999999999
