index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
11,11,0.995,3.43394,33.5699103917948,14175.5019261796,37148.8241169468,34992.6718579131,segment1,32270.1117835054,33.5699103917948,77.6252972997371,75.259530126521,segment1,56.1909532248913,3570.2479338843,31563.6363636364,29192.8095811474,segment1,26368.4565118964,5058.90797774939,4957.5603837972,5010.84760046598,segment1,5814.33056911932,-2.6355487642326,-1.00584470523748,-1.06915614069926,segment1,-1.84658374150602
12,12,0.9945,3.44684,48.8342988043366,41345.9334264185,33759.7874746443,34479.5113025725,segment1,32270.1117835054,48.8342988043366,76.6140456803212,75.6189970506521,segment1,56.1909532248913,29752.0661157025,29332.2314049587,29082.7404558484,segment1,26368.4565118964,4724.89252507218,4882.61929842286,5027.01341287608,segment1,5814.33056911932,-1.99197221289637,-1.04617507663538,-1.08583615481659,segment1,-1.84658374150602
13,1,0.994,3.45961,48.8477666586014,36755.3209611734,31201.9133187283,33966.350747232,segment1,32270.1117835054,48.8477666586014,74.6308606088043,75.9784639747833,segment1,56.1909532248913,31735.5371900827,27100.826446281,28972.6713305493,segment1,26368.4565118964,5013.72323667163,4993.52015462993,5043.17922528618,segment1,5814.33056911932,-1.99141172696102,-1.12503918297905,-1.10251616893392,segment1,-1.84658374150602
14,2,0.9935,3.47237,234.090591317501,173553.355752678,32019.2635988497,34043.8681982727,segment1,32270.1117835054,234.090591317501,74.2778058055395,76.3186827104629,segment1,56.1909532248913,85289.2561983472,27100.826446281,28859.3315032436,segment1,26368.4565118964,4904.82845782656,5077.31181403794,5059.24058551434,segment1,5814.33056911932,4.38062820968642,-1.13812866291751,-1.10253510041138,segment1,-1.84658374150602
15,3,0.993,3.48531,200.945059795659,71120.0956292184,32795.5325159805,34121.3856493134,segment1,32270.1117835054,200.945059795659,75.6531151615474,76.6589014461426,segment1,56.1909532248913,81322.3140495868,27100.826446281,28745.9916759378,segment1,26368.4565118964,4713.27076446048,5075.81685949597,5075.3019457425,segment1,5814.33056911932,3.36449918211011,-1.07867501105232,-1.10255403188884,segment1,-1.84658374150602
16,4,0.9925,3.49782,72.8937932744724,7332.27575297063,32902.7699388339,33517.333007639,segment1,32270.1117835054,72.8937932744724,77.2728131662462,77.4417539677119,segment1,56.1909532248913,59504.1322314049,27100.826446281,28233.8731631676,segment1,26368.4565118964,5451.2134560998,5073.0793904385,5060.83674984059,segment1,5814.33056911932,-1.02626404432183,-1.00754505896638,-1.05453348664427,segment1,-1.84658374150602
17,5,0.992,3.5104,63.0372893420907,6385.16870891382,32285.4493844728,32913.2803659646,segment1,32270.1117835054,63.0372893420907,77.5075255515269,78.2246064892812,segment1,56.1909532248913,6148.76033057851,27100.826446281,27721.7546503975,segment1,26368.4565118964,4671.8351479071,5079.00236481554,5046.37155393868,segment1,5814.33056911932,-1.40836490317531,-0.997083433235755,-1.0065129413997,segment1,-1.84658374150602
18,6,0.9915,3.52305,45.0488106422883,3553.48652421117,30551.3592819796,30578.5704323046,segment1,32270.1117835054,45.0488106422883,76.2911808465466,75.4124242964332,segment1,56.1909532248913,5950.4132231405,26014.8760330579,26361.9737376859,segment1,26368.4565118964,5697.88871598176,5083.83836616297,5056.77097754124,segment1,5814.33056911932,-2.14951125598546,-1.04976558825769,-1.07537054982203,segment1,-1.84658374150602
19,7,0.991,3.53633,59.082665725947,18759.8788412669,30707.0811256295,28243.8604986446,segment1,32270.1117835054,59.082665725947,75.3776486860445,72.6002421035851,segment1,56.1909532248913,6148.76033057851,26003.305785124,25002.1928249743,segment1,26368.4565118964,6295.88372304197,5114.86481273156,5067.1704011438,segment1,5814.33056911932,-1.56547030642039,-1.0890337414538,-1.14422815824437,segment1,-1.84658374150602
20,8,0.9905,3.5495,48.5436664826368,6428.41438302131,27537.7978596893,25265.4879806512,segment1,32270.1117835054,48.5436664826368,67.7343349352569,65.4513036558411,segment1,56.1909532248913,6148.76033057851,25838.0165289256,22815.575013478,segment1,26368.4565118964,5022.20371193239,5139.27251861811,5107.60051083597,segment1,5814.33056911932,-2.00406733402508,-1.35140844954811,-1.38483091027592,segment1,-1.84658374150602
