index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.31801,146739.836174418,134.099635943152,134.099635943152,NA,87.1492956944271,segment1,37.9463648731283,87674.1131510127,NA,49796.5115429995,segment1,27128.5297109291,61487.6033057851,NA,45898.8259849768,segment1,19853.5345777395,4760.7636708095,NA,4586.71649440645,segment1,6250.62672240822,1.18575553161961,NA,-1.15016626486348,segment1,-2.63232804176564
2,2,0.9985,3.31801,108963.238924825,50.1516420551659,50.1516420551659,NA,83.6092740314359,segment1,37.9463648731284,13880.7821973826,NA,46312.3862128327,segment1,27128.5297109285,47603.305785124,NA,42511.7447134907,segment1,19853.5345777391,4054.07366185237,NA,4651.89461410133,segment1,6250.62672240823,-1.93714890180112,NA,-1.18888373821396,segment1,-2.63232804176564
3,3,0.997,3.33099,171990.140369261,190.211423042803,190.211423042803,NA,80.0692523684447,segment1,37.9463648731284,145055.923973262,NA,42828.2608826659,segment1,27128.5297109285,77355.3719008264,NA,39124.6634420045,segment1,19853.5345777391,4673.65062799935,NA,4717.07273379622,segment1,6250.62672240823,3.02370072456512,NA,-1.22760121156445,segment1,-2.63232804176564
4,4,0.9955,3.34399,127420.762371744,91.1683608260978,91.1683608260978,NA,76.2720022754429,segment1,37.9463648731284,20032.8944963705,NA,39573.1453080312,segment1,27128.5297109285,59504.1322314049,NA,35969.8502230835,segment1,19853.5345777391,5098.14026248328,NA,4792.76538823081,segment1,6250.62672240823,-0.330230286748019,NA,-1.29244010146387,segment1,-2.63232804176564
5,5,0.994,3.35685,125572.114124832,87.0602536107368,87.0602536107368,NA,72.4747521824411,segment1,37.9463648731284,20915.9066798575,NA,36318.0297333966,segment1,27128.5297109285,17851.2396694215,NA,32815.0370041624,segment1,19853.5345777391,4913.31525734851,NA,4868.45804266539,segment1,6250.62672240823,-0.479206694751241,NA,-1.35727899136329,segment1,-2.63232804176564
6,6,0.9925,3.37008,114606.896585086,62.6931035224122,62.6931035224122,NA,68.4721544412043,segment1,37.9463648731284,408.626228136394,NA,33186.9637252925,segment1,27128.5297109285,5950.4132231405,NA,29798.7640931253,segment1,19853.5345777391,5423.43054474194,NA,4942.2552060367,segment1,6250.62672240823,-1.421707737329,NA,-1.44736763668986,segment1,-2.63232804176564
7,7,0.991,3.38279,105654.988013809,42.7999733640206,42.7999733640206,65.8755426839396,64.4695566999674,segment1,37.9463648731284,2218.63379690479,29704.150378131,30055.8977171884,segment1,27128.5297109285,6148.76033057851,26952.0661157025,26782.4911820882,segment1,19853.5345777391,5021.7820376025,4989.67674026357,5016.05236940801,segment1,6250.62672240823,-2.24310015594114,-1.39900870143125,-1.53745628201643,segment1,-2.63232804176564
8,8,0.9895,3.39547,105175.526858804,41.7345041306761,41.7345041306761,62.3997289263855,60.3547819161253,segment1,37.9463648731284,11260.5205608873,27907.65540124,26825.2414976013,segment1,27128.5297109285,6148.76033057851,24390.0826446281,23660.1865005339,segment1,19853.5345777391,5591.22138531379,5081.68894751123,5088.12796715088,segment1,6250.62672240823,-2.28744133369057,-1.52821335081381,-1.63746593771139,segment1,-2.63232804176564
9,9,0.988,3.4082,97780.7438587979,25.3016530195508,25.3016530195508,56.5579958862114,56.2400071322833,segment1,37.9463648731284,3706.97464830468,23542.420046221,23594.5852780142,segment1,27128.5297109285,5950.4132231405,21001.652892562,20537.8818189796,segment1,19853.5345777391,5151.34442517053,5169.5470217374,5160.20356489376,segment1,6250.62672240823,-3.00408242286071,-1.73516132393005,-1.73747559340635,segment1,-2.63232804176564
10,10,0.9865,3.42123,88818.9287194692,5.38650826548721,5.38650826548721,49.1161158656906,51.388021624777,segment1,37.9463648731284,158.744270961057,18341.014817367,20976.4598927351,segment1,27128.5297109285,3689.25619834711,16538.8429752066,17889.0413422174,segment1,19853.5345777391,5431.30321194259,5151.01785139477,5284.4702666207,segment1,6250.62672240823,-3.92423809979911,-2.0045329033743,-1.90245104884237,segment1,-2.63232804176564
11,11,0.985,3.43457,109603.090025102,51.5735333891155,51.5735333891155,45.8598781229983,46.5360361172708,segment1,37.9463648731284,55664.8080338588,17629.0085040336,18358.334507456,segment1,27128.5297109285,29752.0661157025,13737.1900826446,15240.2008654552,segment1,19853.5345777391,5128.58061252355,5357.12540560055,5408.73696834764,segment1,6250.62672240823,-1.87797465780986,-2.13262451009595,-2.06742650427838,segment1,-2.63232804176564
12,12,0.9835,3.44756,108671.458402292,49.5032408939815,49.5032408939815,42.9268040001001,42.2423052429795,segment1,37.9463648731284,21510.284623022,17468.0567487983,17729.3888147225,segment1,27128.5297109285,17851.2396694215,13249.5867768595,14350.1015953208,segment1,19853.5345777391,4590.67657641078,5538.35332724296,5475.9245595601,segment1,6250.62672240823,-1.96413313582801,-2.25183144400894,-2.28372069010605,segment1,-2.63232804176564
13,1,0.982,3.46012,109680.248304086,51.7449962313033,51.7449962313033,39.8157926738856,37.9485743686882,segment1,37.9463648731284,35597.296906235,17353.8887607835,17100.443121989,segment1,27128.5297109285,29752.0661157025,13249.5867768595,13460.0023251865,segment1,19853.5345777391,4836.44088873779,5504.25708072051,5543.11215077256,segment1,6250.62672240823,-1.8708389619822,-2.38842549572687,-2.50001487593371,segment1,-2.63232804176564
14,2,0.9805,3.4731,108484.038213572,49.0867515857167,49.0867515857167,35.3581328978583,33.4527473966667,segment1,37.9463648731284,22841.7189967755,16715.9415445893,16550.6221876754,segment1,27128.5297109285,17851.2396694215,13249.5867768595,13086.1368763412,segment1,19853.5345777391,6186.68941786794,5472.30166694208,5509.44291383431,segment1,6250.62672240823,-1.98146599338088,-2.59658907680809,-2.73511070871133,segment1,-2.63232804176564
15,3,0.979,3.48622,109378.624246633,51.0747205480724,51.0747205480724,29.9594978280984,28.9569204246451,segment1,37.9463648731284,31329.3386534139,16240.136157323,16000.8012533618,segment1,27128.5297109285,25785.1239669422,13249.5867768595,12712.2714274959,segment1,19853.5345777391,4649.62865341174,5419.93516185545,5475.77367689605,segment1,6250.62672240823,-1.8987335386449,-2.86261257790493,-2.97020654148896,segment1,-2.63232804176564
16,4,0.9775,3.49886,109659.974272749,51.6999428283302,51.6999428283302,24.5270536520138,24.7366535129498,segment1,37.9463648731284,8925.75432372426,16202.0975213522,15459.0344621846,segment1,27128.5297109285,3966.94214876033,13249.5867768595,12015.3268689813,segment1,19853.5345777391,4677.46214884788,5397.11062373075,5421.5657746448,segment1,6250.62672240823,-1.87271393019989,-3.15243406443726,-3.17088652984987,segment1,-2.63232804176564
17,5,0.976,3.51145,108165.53460275,48.3789657838884,48.3789657838884,19.6898071854017,20.5163866012544,segment1,37.9463648731284,14934.8953325024,15362.4346313854,14917.2676710074,segment1,27128.5297109285,6148.76033057851,12158.6776859504,11318.3823104666,segment1,19853.5345777391,10280.5746719227,5380.51785541043,5367.35787239356,segment1,6250.62672240823,-2.01092161261909,-3.39865214935704,-3.37156651821077,segment1,-2.63232804176564
