index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.30763,108582.718546214,49.3060412138092,49.3060412138092,NA,117.979356233939,segment1,75.463292114921,27571.4924792962,NA,63198.523273014,segment1,41785.8429660509,39669.4214876033,NA,56873.4753329042,segment1,36024.8466218584,4633.44244547882,NA,4403.46760092317,segment1,5731.37815803539,-1.97233991064329,NA,-0.142519706630791,segment1,-1.37496963853166
2,2,0.998833333333333,3.30763,184218.66519964,217.385922665867,217.385922665867,NA,113.949816674018,segment1,75.4632921149214,155157.144351883,NA,59552.9160486673,segment1,41785.8429660511,75371.9008264463,NA,53642.2985417471,segment1,36024.8466218585,4149.29687201145,NA,4501.72859192345,segment1,5731.37815803538,3.87099425082303,NA,-0.185002701950705,segment1,-1.37496963853165
3,3,0.997666666666667,3.32017,188412.404027155,226.705342282567,226.705342282567,NA,109.920277114097,segment1,75.4632921149214,99837.032836367,NA,55907.3088243206,segment1,41785.8429660511,91239.6694214877,NA,50411.1217505901,segment1,36024.8466218585,4403.62458736447,NA,4599.98958292372,segment1,5731.37815803538,4.15531552726475,NA,-0.22748569727062,segment1,-1.37496963853165
4,4,0.9965,3.33341,168436.737436309,182.314972080686,182.314972080686,NA,106.162975414874,segment1,75.4632921149214,53943.2211416217,NA,52663.136823226,segment1,41785.8429660511,69421.4876033058,NA,47407.5533636261,segment1,36024.8466218585,4497.40012916236,NA,4696.7565236923,segment1,5731.37815803538,2.77298436719883,NA,-0.27614867076505,segment1,-1.37496963853165
5,5,0.995333333333333,3.34611,125776.311942195,87.5140265382109,87.5140265382109,NA,102.405673715651,segment1,75.4632921149214,3697.77583764519,NA,49418.9648221313,segment1,41785.8429660511,41652.8925619835,NA,44403.9849766621,segment1,36024.8466218585,4705.30876977559,NA,4793.52346446088,segment1,5731.37815803538,-0.462751072431729,NA,-0.324811644259481,segment1,-1.37496963853165
6,6,0.994166666666667,3.35882,121517.930504116,78.0509566758127,78.0509566758127,NA,98.9861049659121,segment1,75.4632921149214,54055.6397696722,NA,46595.551065488,segment1,41785.8429660511,53553.7190082645,NA,41802.2143770232,segment1,36024.8466218585,4760.30219948692,NA,4881.75515568248,segment1,5731.37815803538,-0.826339549955605,NA,-0.378840921314521,segment1,-1.37496963853165
7,7,0.993,3.3716,122140.752250269,79.4350050005987,79.4350050005987,94.0835105159069,95.5665362161733,segment1,75.4632921149214,34984.2323814793,41750.2430136175,43772.1373088448,segment1,41785.8429660511,29752.0661157025,37421.4876033058,39200.4437773843,segment1,36024.8466218585,4609.34451962313,4995.96225116045,4969.98684690407,segment1,5731.37815803538,-0.772685023236619,-0.394838846568394,-0.43287019836956,segment1,-1.37496963853165
8,8,0.991833333333333,3.38466,105517.660614545,42.4948013656551,42.4948013656551,91.8569213400728,91.8089740549288,segment1,75.4632921149214,-1715.4865076176,39545.1517446953,40949.1244693281,segment1,41785.8429660511,6148.76033057851,35520.6611570248,36723.1779187272,segment1,36024.8466218585,8758.84479752848,5026.45571679586,5061.73095382355,segment1,5731.37815803538,-2.25580036857997,-0.465183383947163,-0.50521646108204,segment1,-1.37496963853165
9,9,0.990666666666667,3.39732,95138.95379578,19.4310084350667,19.4310084350667,88.685202836725,88.0514118936842,segment1,75.4632921149214,-7.52896565632439,38111.7758934172,38126.1116298115,segment1,41785.8429660511,5950.4132231405,34446.2809917355,34245.91206007,segment1,36024.8466218585,4420.764629968,5092.76822818823,5153.47506074303,segment1,5731.37815803538,-3.26574942593308,-0.564573286508401,-0.57756272379452,segment1,-1.37496963853165
10,10,0.9895,3.41038,109238.578306488,50.7635073477508,50.7635073477508,84.40429144111,83.8268584035211,segment1,75.4632921149214,20897.4402663622,37011.4699072948,35803.5213670582,segment1,41785.8429660511,1983.47107438016,33785.1239669421,31757.3426377627,segment1,36024.8466218585,4814.34468127421,5152.75606837951,5297.68847077522,segment1,5731.37815803538,-1.91168516540387,-0.706075690454507,-0.704469834837143,segment1,-1.37496963853165
11,11,0.988333333333333,3.42321,106599.756674204,44.899459276008,44.899459276008,80.4428318702905,79.602304913358,segment1,75.4632921149214,5402.05249693612,35512.3757540616,33480.9311043049,segment1,41785.8429660511,3570.2479338843,31884.2975206612,29268.7732154553,segment1,36024.8466218585,4470.62619533609,5410.7350402693,5441.90188080741,segment1,5731.37815803538,-2.15572674796971,-0.842699965075406,-0.831376945879767,segment1,-1.37496963853165
12,12,0.987166666666667,3.43651,109119.849158335,50.4996647963007,50.4996647963007,78.5436048538557,77.7408601934606,segment1,75.4632921149214,51732.7157143672,33251.679639221,32639.3590748342,segment1,41785.8429660511,43636.3636363636,28413.2231404959,28117.5415106111,segment1,36024.8466218585,5576.25959387188,5693.10865612085,5541.96311966834,segment1,5731.37815803537,-1.92266538811288,-0.917773612545063,-0.942880474609425,segment1,-1.37496963853165
13,1,0.986,3.44927,108763.995207509,49.7088782389092,49.7088782389092,75.6631313964995,75.8794154735632,segment1,75.4632921149214,18465.861201402,29927.8239312735,31797.7870453635,segment1,41785.8429660511,13884.2975206612,25446.2809917355,26966.3098057669,segment1,36024.8466218585,4937.41763156694,5777.75599534832,5642.02435852926,segment1,5731.37815803537,-1.95557521432448,-1.03329596941155,-1.05438400333908,segment1,-1.37496963853165
14,2,0.984833333333333,3.46212,159990.225439337,163.544945420749,163.544945420749,72.8819560131934,74.0575503413204,segment1,75.4632921149214,111340.585175645,28873.8772615949,31351.5118026633,segment1,41785.8429660511,55537.1900826446,24462.8099173554,26526.3739855459,segment1,36024.8466218585,4577.16486117309,5662.59626672733,5631.152794662,segment1,5731.37815803537,2.16596065741376,-1.14955469479305,-1.15761700996803,segment1,-1.37496963853165
15,3,0.983666666666667,3.4752,178386.283951303,204.425075447339,204.425075447339,71.1115485311476,72.2356852090777,segment1,75.4632921149214,109252.571581932,29173.7678591657,30905.2365599631,segment1,41785.8429660511,85289.2561983471,24462.8099173554,26086.438165325,segment1,36024.8466218585,5567.25687161966,5507.64130873105,5620.28123079475,segment1,5731.37815803537,3.47499145920432,-1.22905171716524,-1.26085001659698,segment1,-1.37496963853165
16,4,0.9825,3.48871,132229.014439519,101.853365421152,101.853365421152,69.4861874565866,72.123486281749,segment1,75.4632921149214,18120.3387291185,29314.7683081012,31632.8955688265,segment1,41785.8429660511,59504.1322314049,24533.8842975207,26341.3855665273,segment1,36024.8466218585,4773.4760094979,5512.296494133,5585.73379836682,segment1,5731.37815803537,0.0572507405527176,-1.3010589362425,-1.2600331456679,segment1,-1.37496963853165
17,5,0.981333333333333,3.50247,119200.271574135,72.9006034980774,72.9006034980774,68.7201573962267,72.0112873544203,segment1,75.4632921149214,3542.39857255177,30711.4512302408,32360.55457769,segment1,41785.8429660511,5950.4132231405,25530.5785123967,26596.3329677296,segment1,36024.8466218585,10620.728214795,5525.58624500614,5551.18636593889,segment1,5731.37815803537,-1.02600003668721,-1.33425947274207,-1.25921627473882,segment1,-1.37496963853165
18,6,0.980166666666667,3.51536,107582.319094679,47.0829313215096,47.0829313215096,73.4255010014657,72.7478614545917,segment1,75.4632921149214,-45.6897214101446,34913.1890823737,33049.9992639023,segment1,41785.8429660511,5950.4132231405,27282.6446280992,27331.9667215112,segment1,36024.8466218585,5621.84953490487,5513.13983191708,5533.03615919843,segment1,5731.37815803537,-2.06485812497189,-1.16161253876544,-1.19422049969126,segment1,-1.37496963853165
