index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.31248,216.487450615651,150559.897750957,NA,38181.0305613308,segment1,35603.681747666,216.487450615651,NA,69.0921837152474,segment1,55.4313890671627,87272.7272727273,NA,35013.4984435229,segment1,31620.2296249521,4786.90770118707,NA,4722.60714219625,segment1,6157.69431800704,3.84358323912159,NA,-6.80443461996458,segment1,-3.54328429916887
2,2,0.998833333333333,3.31248,151.831741279623,30858.6168144105,NA,42084.3363436943,segment1,35603.6817476658,151.831741279623,NA,73.6767562189922,segment1,55.4313890671623,55537.1900826446,NA,38182.6371170188,segment1,31620.2296249522,4416.49593297867,NA,4754.33139099968,segment1,6157.69431800704,1.78091121161739,NA,-5.71167273336459,segment1,-3.54328429916891
3,3,0.997666666666667,3.32526,66.4137791388529,27582.3262881092,NA,45987.6421260579,segment1,35603.6817476658,66.4137791388529,NA,78.2613287227369,segment1,55.4313890671623,61487.6033057851,NA,41351.7757905146,segment1,31620.2296249522,4532.80594567078,NA,4786.05563980311,segment1,6157.69431800704,-1.27747065709133,NA,-4.6189108467646,segment1,-3.54328429916891
4,4,0.9965,3.33835,50.7236790418668,13293.7675239949,NA,49923.9184908327,segment1,35603.6817476658,50.7236790418668,NA,83.4727428975343,segment1,55.4313890671623,15867.7685950413,NA,44628.6579914989,segment1,31620.2296249522,4486.54397259734,NA,4825.00039233871,segment1,6157.69431800704,-1.913342682989,NA,-3.6327904487064,segment1,-3.54328429916891
5,5,0.995333333333333,3.35098,85.5783539298617,33262.7932112887,NA,53860.1948556074,segment1,35603.6817476658,85.5783539298617,NA,88.6841570723318,segment1,55.4313890671623,11900.826446281,NA,47905.5401924832,segment1,31620.2296249522,5677.36306541002,NA,4863.94514487431,segment1,6157.69431800704,-0.534529697756909,NA,-2.6466700506482,segment1,-3.54328429916891
6,6,0.994166666666667,3.36327,66.9992696682905,1993.57529044076,NA,57767.4255507138,segment1,35603.6817476658,66.9992696682905,NA,94.3719765549658,segment1,55.4313890671623,5950.4132231405,NA,51166.3618877697,segment1,31620.2296249522,4403.74998500729,NA,4902.12492166655,segment1,6157.69431800704,-1.25477331575374,NA,-1.82124919997012,segment1,-3.54328429916891
7,7,0.993,3.37621,47.638780766999,2235.35917569116,55899.9377308605,61674.6562458202,segment1,35603.6817476658,47.638780766999,90.7467291847588,100.0597960376,segment1,55.4313890671623,6148.76033057851,49768.5950413223,54427.1835830563,segment1,31620.2296249522,4798.81885069384,4964.22667138982,4940.30469845879,segment1,6157.69431800704,-2.04172557614447,-0.441518340888927,-0.995828349292046,segment1,-3.54328429916891
8,8,0.991833333333333,3.38906,80.0724429226243,260652.478303222,62932.1593723696,66293.0143181976,segment1,35603.6817476658,80.0724429226243,98.671318786421,106.759837816187,segment1,55.4313890671623,240000,54396.694214876,58188.0328557525,segment1,31620.2296249522,6057.33033319078,4969.39983674569,4975.54272387914,segment1,6157.69431800704,-0.747973870160138,-0.204548428341964,-0.270645633839279,segment1,-3.54328429916891
9,9,0.990666666666667,3.40139,79.4240374432772,10381.3636721904,74929.5404538382,70911.372390575,segment1,35603.6817476658,79.4240374432772,115.09478441938,113.459879594774,segment1,55.4313890671623,5950.4132231405,62578.5123966942,61948.8821284487,segment1,31620.2296249522,4722.73291475611,4960.46852231273,5010.78074929949,segment1,6157.69431800704,-0.773110195600026,0.311109543728418,0.454537081613488,segment1,-3.54328429916891
10,10,0.9895,3.41467,49.0599810667858,4510.46977683603,80478.2379648002,75975.2359555564,segment1,35603.6817476658,49.0599810667858,130.078511930729,122.857043987842,segment1,55.4313890671623,11900.826446281,68776.8595041322,66881.2982382285,segment1,31620.2296249522,6273.46869997612,4958.70108056064,5107.65070664406,segment1,6157.69431800704,-1.98258009062667,0.816133601799533,0.992709348639489,segment1,-3.54328429916891
