index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
71,12,114804.313059864,159328.51383637532,63471.074380165264,5385.3253474448875,253.61762172813027,421870.0,0.9881666666666666
72,1,28390.19130415176,120444.31606106006,61487.603305785095,5786.785773682158,250.5811712664594,423181.0,0.988
73,2,198670.04639813985,211242.028260672,103140.4958677686,4731.838330759576,257.14406826881753,424451.0,0.9878333333333332
74,3,65990.99482461176,181629.54324555013,89256.1983471075,6347.281492626297,255.19546055902038,425789.0,0.9876666666666668
75,4,8035.1897563588245,123865.55075623492,59504.132231404925,6295.050014269338,250.87590202931042,427073.0,0.9875
76,5,3309.797907870785,115676.87990365605,6148.760330578512,5349.7084298711625,250.17046863401583,428415.0,0.9873333333333332
77,6,10677.640278538029,111236.34999785852,5950.413223140496,9167.756961195053,249.7730713028631,429740.0,0.9871666666666666
78,7,1573.0846786263776,101041.13542045266,6148.760330578512,5619.538925453709,248.81885651945842,431008.0,0.987
79,8,1016.8856399362973,89002.63378204065,6148.760330578512,6906.626947769799,247.5955066403741,432293.0,0.9868333333333332
80,9,77088.91785555267,124944.27707898026,35702.479338842975,5444.795219770088,250.96883158847174,433610.0,0.9866666666666668
81,10,9655.577703250416,108868.31621708568,19834.710743801654,5896.8278213433105,249.55407252539402,434942.0,0.9865
82,11,13056.396187737304,107893.09556851367,7933.884297520661,6097.732538788623,249.46388287880455,436209.0,0.9863333333333332
83,12,431.8981136114093,98266.84348655662,3689.256198347107,6368.893997221353,248.5440653215686,437502.0,0.9861666666666666
84,1,114656.78169320726,145887.6003131805,61487.603305785095,5548.421560798578,252.6208875257406,438774.0,0.986
85,2,46682.75102015541,130361.57202104277,55537.19008264461,6671.589229648786,251.4067597728296,440083.0,0.9858333333333332
86,3,34862.37244894616,106981.71611858573,51570.247933884275,6671.980417519043,249.3795973475063,441362.0,0.9856666666666668
87,4,1280.8638808587864,98549.28002596633,3570.2479338842977,6143.0520395938765,248.5720404146163,442710.0,0.9855
88,5,6748.560189407479,85793.86603566224,6148.760330578512,13355.21384913305,247.25062618612017,444032.0,0.9853333333333334
89,6,1037.2596404836802,74693.12684383655,5950.413223140496,6187.585609168873,245.9676233965242,445253.0,0.9851666666666666
90,7,1002.5395693835496,60113.217555144765,6148.760330578512,9433.688527496814,244.02790552670467,446561.0,0.985
91,8,874.9344097951342,45604.91223651575,6148.760330578512,9234.479397845627,241.63849529981687,447933.0,0.9848333333333332
92,9,-80.14755353625759,33746.39811282991,5950.413223140496,5827.953347009088,239.16154161514717,449198.0,0.9846666666666668
93,10,5234.575802145302,29075.75979468933,3689.256198347107,6215.957921938776,237.8952500148027,450527.0,0.9845
94,11,33303.83187963717,52842.94919433295,3570.2479338842977,5966.394546109254,242.9012679479716,451825.0,0.9843333333333332
95,12,38643.47042386158,82004.32426707701,3689.256198347107,5792.8391527704125,246.82946879979733,453120.0,0.9841666666666666
96,1,16822.21604005035,88840.12354307988,3689.256198347107,6297.160565700365,247.57803993369305,454407.0,0.9840000000000001
97,2,79945.9432747556,107868.54830413748,55537.19008264461,5380.328431053531,249.46161271655757,455707.0,0.9838333333333332
98,3,31663.159442713688,107780.03391884276,25785.12396694216,5966.549861066264,249.45342679356725,456994.0,0.9836666666666668
99,4,19428.61650830473,107603.01676327102,13884.297520661159,5721.33614321529,249.43705602175817,458298.0,0.9835
100,5,789.7099431160179,94679.72831046671,6148.760330578512,7564.238065341794,248.18876469002242,459591.0,0.9833333333333334
101,6,3470.905512122029,85869.3659436471,5950.413223140496,6330.854655801155,247.25874096556825,460886.0,0.9831666666666666
102,7,16020.853288720858,85580.51628194777,6148.760330578512,10160.942619841662,247.22769521517063,462213.0,0.983
103,8,13658.45710495054,87068.45625337465,6148.760330578512,6021.75680294515,247.38761997564214,463508.0,0.9828333333333332
104,9,2502.414005533948,77886.18458824747,5950.413223140496,5734.272447520633,246.34503877052668,464798.0,0.9826666666666668
105,10,129558.50467708295,140083.30770017704,61487.603305785095,5873.778259368593,252.1790932942744,466059.0,0.9825
106,11,21845.903231408407,108177.04431607127,47603.305785123965,6148.860830390313,249.49014282031553,467332.0,0.9823333333333332
107,12,9516.24561070854,107750.17167109136,3966.9421487603295,5976.176106928139,249.45066509489425,468680.0,0.9821666666666666
108,1,34835.91600212322,109110.32535996471,27768.595041322318,5707.167271927576,249.57645383889442,469943.0,0.982
109,2,18392.389843182915,107775.05899164443,13884.297520661159,5843.358690842001,249.45296670596917,471204.0,0.9818333333333332
110,3,35958.94569688748,106544.86546018072,29752.06611570249,7437.073112648733,249.33919684270612,472497.0,0.9816666666666668
111,4,8039.408805653237,104544.084000365,3570.2479338842977,6469.942331584665,249.1541620272233,473803.0,0.9815
112,5,37411.284552805,123805.58492592623,11900.826446280991,6248.9571809628005,250.8707361238737,475121.0,0.9813333333333334
113,6,10700.4958277773,122645.7083747558,5950.413223140496,5909.959155807218,250.77081567666747,476413.0,0.9811666666666666
114,7,741.9244210687947,110594.73077167064,6148.760330578512,6644.14169357545,249.7137335403376,477746.0,0.981
115,8,14602.532636511889,111579.3521237634,6148.760330578512,7469.150953840591,249.8047925759515,479026.0,0.9808333333333332
116,9,2929.1807417853893,102838.78502967986,5950.413223140496,5719.3346127284385,248.9964538083492,480285.0,0.9806666666666668
117,10,5294.584107325835,97759.58948115727,3689.256198347107,6684.523457501321,248.4938222544728,481585.0,0.9805
118,11,7409.085603008922,95833.92030888236,3570.2479338842977,5764.506841399511,248.30308640143448,482853.0,0.9803333333333334
