index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.31106,48.9355398399076,35867.2790018359,NA,7950.84319424784,segment1,33706.5385838295,48.9355398399076,NA,17.6337448435172,segment1,53.3555746275331,47603.305785124,NA,8594.41956557952,segment1,29158.8639801714,5162.0702887536,NA,4703.84074323327,segment1,5828.78885815382,-1.98775890798495,NA,-3.61531860404825,segment1,-2.00027253573032
2,2,0.999,3.31106,51.8122501703849,11280.5801864449,NA,10804.779557635,segment1,33706.538583829,51.8122501703849,NA,23.6022158432845,segment1,53.3555746275328,5950.4132231405,NA,10365.8257013211,segment1,29158.8639801716,4035.64731458959,NA,4806.29106462439,segment1,5828.78885815382,-1.86804008354079,NA,-3.32421221137544,segment1,-2.00027253573031
3,3,0.998,3.32421,51.0342486311214,10300.5180410261,NA,13658.7159210222,segment1,33706.538583829,51.0342486311214,NA,29.5706868430519,segment1,53.3555746275328,5950.4132231405,NA,12137.2318370627,segment1,29158.8639801716,4700.20551055419,NA,4908.74138601551,segment1,5828.78885815382,-1.90041784111676,NA,-3.03310581870263,segment1,-2.00027253573031
4,4,0.997,3.33697,49.3508782466564,33705.3590615633,NA,16595.9002564199,segment1,33706.538583829,49.3508782466564,NA,35.1487626502558,segment1,53.3555746275328,29752.0661157025,NA,14054.3455452119,segment1,29158.8639801716,4710.80961887011,NA,5006.93054469616,segment1,5828.78885815382,-1.97047394700871,NA,-2.76877381663393,segment1,-2.00027253573031
5,5,0.996,3.35013,77.4516612542549,53597.397754068,NA,19533.0845918177,segment1,33706.538583829,77.4516612542549,NA,40.7268384574598,segment1,53.3555746275328,35702.479338843,NA,15971.4592533611,segment1,29158.8639801716,5249.56606180579,NA,5105.11970337682,segment1,5828.78885815382,-0.849572056821586,NA,-2.50444181456524,segment1,-2.00027253573031
6,6,0.995,3.3628,69.5539981142147,7009.057225564,NA,22783.7459535683,segment1,33706.538583829,69.5539981142147,NA,46.2290051037577,segment1,53.3555746275328,5950.4132231405,NA,18162.4559108269,segment1,29158.8639801716,4612.59241544158,NA,5186.61401876163,segment1,5828.78885815382,-1.15573577262265,NA,-2.25674723136961,segment1,-2.00027253573031
7,7,0.994,3.3756,64.5676305882095,8662.03690022051,25028.7593745381,26034.4073153189,segment1,33706.538583829,64.5676305882095,54.0495444008383,51.7311717500557,segment1,53.3555746275328,6148.76033057851,18489.2561983471,20353.4525682927,segment1,29158.8639801716,4757.1419563444,5322.22692060123,5268.10833414645,segment1,5828.78885815382,-1.34903913122898,-1.84336088587326,-2.00905264817398,segment1,-2.00027253573031
8,8,0.993,3.38835,25.674052624149,-1631.3877578995,26370.3478306944,29475.4780954484,segment1,33706.538583829,25.674052624149,54.3264581960901,57.4634932240893,segment1,53.3555746275328,6148.76033057851,20885.9504132231,22859.5438813981,segment1,29158.8639801716,9721.9619953492,5359.78620960801,5345.35892246573,segment1,5828.78885815382,-2.9874837875528,-1.83183668279703,-1.7591812318693,segment1,-2.00027253573031
9,9,0.992,3.40129,0.949397850298297,-8.30052667696112,34756.9915096947,32916.5488755779,segment1,33706.538583829,0.949397850298297,61.1666868093913,63.1958146981229,segment1,53.3555746275328,5950.4132231405,26257.8512396694,25365.6351945035,segment1,29158.8639801716,5167.38089841534,5421.03739403986,5422.60951078501,segment1,5828.78885815382,-4.13884468694818,-1.59231275274479,-1.50930981556463,segment1,-2.00027253573031
10,10,0.991,3.41458,15.1528434913846,15292.3988245545,41133.0041260362,35444.4411582994,segment1,33706.538583829,15.1528434913846,71.9890361903837,67.5251584415649,segment1,53.3555746275328,3689.25619834711,30803.305785124,28077.2271830831,segment1,29158.8639801716,5211.59208771858,5459.6411194657,5503.84043487407,segment1,5828.78885815382,-3.45643625484121,-1.2073842291962,-1.34134842046787,segment1,-2.00027253573031
