,Time_Step,FI,Smooth_FI
0,36,3.062335039947109,3.912058606226912
1,42,5.0397783394024405,3.912058606226912
2,48,4.3003312186440725,3.912058606226912
3,54,4.765106141464021,3.912058606226912
4,60,3.0964700488422228,3.912058606226912
5,66,3.2083308490616043,3.912058606226912
6,72,4.6256173644295275,4.394815448046686
7,78,4.311122858004498,4.394815448046686
8,84,2.9979371066699425,4.394815448046686
9,90,4.649102463318078,4.394815448046686
10,96,5.42325549899933,4.394815448046686
11,102,4.361857396858741,4.394815448046686
12,108,3.7647433750819332,4.83927414700128
13,114,5.5950214851867175,4.83927414700128
14,120,5.6331942842361205,4.83927414700128
15,126,5.122552057129995,4.83927414700128
16,132,5.4951248831888115,4.83927414700128
17,138,3.4250087971841015,4.83927414700128
18,144,4.838332117569353,4.060859088049148
19,150,4.389080986452004,4.060859088049148
20,156,4.24326236709729,4.060859088049148
21,162,3.697093650980019,4.060859088049148
22,168,3.028552403516737,4.060859088049148
23,174,4.168833002679483,4.060859088049148
24,180,3.019819574212416,3.6024715849509192
25,186,3.768824465330604,3.6024715849509192
26,192,2.511540911107424,3.6024715849509192
27,198,5.313810043580151,3.6024715849509192
28,204,2.6034283628836166,3.6024715849509192
29,210,4.397406152591305,3.6024715849509192
30,216,3.0675482158694956,4.4761570965111614
31,222,5.4742427192499425,4.4761570965111614
32,228,3.2533292350528935,4.4761570965111614
33,234,4.687873153132083,4.4761570965111614
34,240,5.298168517153764,4.4761570965111614
35,246,5.075780738608794,4.4761570965111614
36,252,3.4860670366819138,3.7858720410440045
37,258,4.239096126495158,3.7858720410440045
38,264,2.7450402954489754,3.7858720410440045
39,270,4.572653239225997,3.7858720410440045
40,276,3.5521416078924686,3.7858720410440045
41,282,4.120233940519513,3.7858720410440045
42,288,2.8571898120784613,3.888814344093173
43,294,3.958963221800478,3.888814344093173
44,300,4.507281593612937,3.888814344093173
45,306,3.5966004234547277,3.888814344093173
46,312,4.099537819490091,3.888814344093173
47,318,4.313313194122341,3.888814344093173
48,324,3.5175229060202935,4.220955959811893
49,330,3.191698675206352,4.220955959811893
50,336,3.313617295129731,4.220955959811893
51,342,4.619448984508871,4.220955959811893
52,348,5.374178914169084,4.220955959811893
53,354,5.30926898383703,4.220955959811893
54,360,5.60782791249228,4.913281983058346
55,366,5.076307018272099,4.913281983058346
56,372,4.606641868136795,4.913281983058346
57,378,4.442118635613351,4.913281983058346
58,384,5.2641750923385295,4.913281983058346
59,390,4.48262137149702,4.913281983058346
60,396,2.8294020170032015,4.331492270408071
61,402,4.545840723016559,4.331492270408071
62,408,4.795761681463703,4.331492270408071
63,414,4.850667835591668,4.331492270408071
64,420,5.186061529343334,4.331492270408071
65,426,3.781219836029963,4.331492270408071
66,432,4.8488076379347005,4.226521393484039
67,438,3.5985827250280233,4.226521393484039
68,444,3.6562839103578875,4.226521393484039
69,450,4.525892984761231,4.226521393484039
70,456,5.285792498383654,4.226521393484039
71,462,3.443768604438737,4.226521393484039
72,468,4.118762095941344,3.8959870165920925
73,474,4.050412460686004,3.8959870165920925
74,480,4.145878567777571,3.8959870165920925
75,486,4.167028520321999,3.8959870165920925
76,492,3.9845271087495973,3.8959870165920925
77,498,2.9093133460760403,3.8959870165920925
78,504,2.5369727909776523,3.347276025729379
79,510,3.491652317564172,3.347276025729379
80,516,3.4430928107161334,3.347276025729379
81,522,3.4423894256277525,3.347276025729379
82,528,2.3866149733271786,3.347276025729379
83,534,4.7829338361633855,3.347276025729379
84,540,2.6898093103936946,3.1667858053744293
85,546,3.760316541319577,3.1667858053744293
86,552,2.9292330527158446,3.1667858053744293
87,558,3.887775260351431,3.1667858053744293
88,564,2.209829752579397,3.1667858053744293
89,570,3.523750914886632,3.1667858053744293
90,576,4.0743569595584095,4.022216858434836
91,582,3.8208345280303844,4.022216858434836
92,588,4.146547165035278,4.022216858434836
93,594,3.644609443314414,4.022216858434836
94,600,4.424736196235696,4.022216858434836
