index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
0,1,27571.492479296187,108582.71854621412,39669.42148760331,4633.44244547882,249.52766008935671,330763.0,1.0
1,2,155157.14435188338,184218.66519963992,75371.90082644628,4149.29687201145,255.37099425082303,330763.0,0.9988333333333334
2,3,99837.03283636703,188412.40402715505,91239.66942148766,4403.6245873644675,255.65531552726475,332017.0,0.9976666666666668
3,4,53943.22114162165,168436.73743630876,69421.48760330575,4497.400129162361,254.27298436719883,333341.0,0.9965
4,5,3697.775837645186,125776.31194219491,41652.89256198347,4705.308769775594,251.03724892756827,334611.0,0.9953333333333332
5,6,54055.6397696722,121517.93050411572,53553.71900826446,4760.302199486924,250.6736604500444,335882.0,0.9941666666666666
6,7,34984.23238147928,122140.75225026939,29752.06611570248,4609.344519623133,250.72731497676338,337160.0,0.993
7,8,-1715.4865076175968,105517.6606145448,6148.760330578512,8758.844797528482,249.24419963142003,338466.0,0.9918333333333332
8,9,-7.528965656324386,95138.95379578,5950.413223140496,4420.764629967996,248.23425057406692,339732.0,0.9906666666666668
9,10,20897.44026636225,109238.57830648788,1983.4710743801647,4814.344681274206,249.58831483459613,341038.0,0.9895
10,11,5402.052496936119,106599.7566742036,3570.2479338842977,4470.626195336092,249.3442732520303,342321.0,0.9883333333333332
11,12,51732.715714367165,109119.84915833533,43636.36363636363,5576.259593871878,249.57733461188712,343651.0,0.9871666666666666
12,1,18465.86120140196,108763.99520750916,13884.297520661159,4937.417631566944,249.54442478567552,344927.0,0.986
13,2,111340.58517564529,159990.225439337,55537.19008264461,4577.164861173093,253.66596065741376,346212.0,0.9848333333333332
14,3,109252.57158193226,178386.2839513026,85289.25619834714,5567.256871619663,254.97499145920432,347520.0,0.9836666666666668
15,4,18120.338729118484,132229.0144395185,59504.132231404925,4773.476009497903,251.55725074055272,348871.0,0.9825
16,5,3542.3985725517678,119200.27157413482,5950.413223140496,10620.728214794975,250.4739999633128,350247.0,0.9813333333333334
17,6,-45.68972141014461,107582.3190946793,5950.413223140496,5621.849534904874,249.4351418750281,351536.0,0.9801666666666666
18,7,9313.024881822255,104967.25032025872,6148.760330578512,5779.333325664326,249.19329698698402,352809.0,0.9790000000000001
19,8,-1338.999080246185,92654.46840485038,6148.760330578512,4825.022504583609,247.98800821204327,354161.0,0.9778333333333332
20,9,6813.357948671897,88881.7451993797,5950.413223140496,4635.667931002109,247.58251345651115,355495.0,0.9766666666666668
21,10,17460.564126484027,97941.88729762967,3689.256198347107,4711.165829886933,248.51187869429768,356801.0,0.9755
22,11,42359.31876816564,109623.32303117453,25785.12396694216,4892.759067678662,249.6238965163391,358104.0,0.9743333333333334
23,12,115617.1578943274,156913.993737945,63471.074380165264,4855.412807391891,253.4412377630174,359400.0,0.9731666666666666
24,1,34022.15609182926,124712.58089848679,61487.603305785095,4735.965625502665,250.9488715453555,360683.0,0.972
25,2,53806.81208421752,117329.15901870134,55537.19008264461,5653.043881358566,250.31280832345809,362011.0,0.9708333333333332
26,3,57152.87991937487,107722.1091927841,61487.603305785095,5272.326439507152,249.4480698411897,363321.0,0.9696666666666668
27,4,46163.554306415135,107044.1936652512,39669.42148760331,7172.048346344833,249.38537535052726,364600.0,0.9685
28,5,6197.7223702208785,101208.68818915784,6148.760330578512,5884.46751573571,248.8354524751543,365899.0,0.9673333333333334
29,6,2481.975270856686,92761.04604905665,5950.413223140496,4979.204187817393,247.9987208844153,367204.0,0.9661666666666666
30,7,1712.9588174004496,80343.99417452612,6148.760330578512,7981.250361352441,246.63415882537655,368500.0,0.965
31,8,-1361.28990344961,66758.34842026647,6148.760330578512,6075.595520231505,244.95872649114253,369773.0,0.9638333333333332
32,9,66474.71832699997,122069.5880611297,5950.413223140496,5213.065462996249,250.72118436088294,371057.0,0.9626666666666668
33,10,73709.32753623027,128763.46777495625,61487.603305785095,5527.8445166188985,251.2779738717831,372335.0,0.9615
34,11,42954.286228917445,109366.26883296107,57520.66115702478,4830.8240138880055,249.60012381697598,373641.0,0.9603333333333334
35,12,8355.940875858589,108821.69562010812,3966.9421487603295,4933.571939951188,249.54976099325887,374937.0,0.9591666666666668
36,1,30528.61671384496,108676.93095814993,25785.12396694216,4888.257408861042,249.5363729731018,376223.0,0.958
37,2,64413.566218791566,112619.25777898553,55537.19008264461,4934.049315311526,249.9009643742704,377515.0,0.9568333333333332
38,3,34128.17645193571,105950.71452677091,33719.00826446282,7077.711439687502,249.2842490083021,378772.0,0.9556666666666668
39,4,87031.0810337801,127451.0586713184,59504.132231404925,6026.6046578279675,251.17221119117724,380060.0,0.9545
40,5,40994.51369851178,121353.94390732789,41652.89256198347,5438.73590051882,250.65953341724048,381385.0,0.9533333333333334
41,6,1487.959933428373,111685.87036173708,5950.413223140496,5205.620255878714,249.81464351814824,382681.0,0.9521666666666668
42,7,-1462.5795100980372,98389.27995340119,6148.760330578512,5685.250567659332,248.55619254689,383962.0,0.951
43,8,6295.692265429376,93267.55850580613,6148.760330578512,5268.653382445914,248.04889050176368,385268.0,0.9498333333333332
44,9,45867.33428479108,122064.56648230234,11900.826446280991,5169.4998620138895,250.72075176449883,386620.0,0.9486666666666668
45,10,485.384615755758,109124.87416368703,7933.884297520661,5491.192636850396,249.57779933077657,387889.0,0.9475
46,11,3092.1921260277245,103389.80037338164,3570.2479338842977,5257.01798244881,249.04741240852508,389201.0,0.9463333333333334
47,12,66511.56455391155,109244.48541141878,55537.19008264461,5119.689433229972,249.58886113117717,390522.0,0.9451666666666668
48,1,65699.13479169982,108441.20384077122,61487.603305785095,5014.813056562435,249.51457262931388,391823.0,0.944
49,2,129234.75087105189,169331.10299916903,63471.07438016526,4873.777332489029,254.3360878430233,393109.0,0.9428333333333332
50,3,47506.76271917819,150321.30999337998,61487.603305785095,5028.952419182447,252.95835971939258,394397.0,0.9416666666666668
51,4,8161.7984779878325,109919.03728752637,43636.36363636363,4927.7075474779185,249.65124454707544,395715.0,0.9405
52,5,6307.7751198753085,104555.91622332377,6148.760330578512,5522.135853499405,249.1552562862595,396951.0,0.9393333333333334
53,6,10446.301697488829,103874.93537253722,5950.413223140496,5176.869325134872,249.09227831060176,398223.0,0.9381666666666668
54,7,14945.878535276233,106756.37229116145,6148.760330578512,5915.6812860735035,249.35875726358657,399497.0,0.937
55,8,245266.4353342311,120986.99160650803,224132.2314049587,6903.58461392588,250.6279213995958,400822.0,0.9358333333333332
56,9,3786.9644756945063,113894.63137202141,5950.413223140496,4928.911487040637,250.01693240627338,402139.0,0.9346666666666666
57,10,2275.654205951885,108096.1860949478,1983.4710743801647,6090.628408645312,249.48266494913048,403449.0,0.9335
58,11,37780.444029145336,109221.71461634953,31735.53719008265,4919.3783176609995,249.58675525907242,404760.0,0.9323333333333332
59,12,6675.733201196228,108628.08970639156,1983.4710743801647,5285.887036774027,249.53185607198662,406003.0,0.9311666666666668
60,1,89858.5664786433,131392.61807244466,61487.603305785095,5606.434806805436,251.48984834172333,407331.0,0.93
61,2,62545.779915338535,133128.04991348204,55537.19008264461,5273.157991656814,251.62970101647846,408682.0,0.9288333333333334
62,3,52827.94532075909,119323.77762969762,61487.603305785095,5144.614298758641,250.4846396993192,409982.0,0.9276666666666666
63,4,16761.838130504966,108826.58221996334,21818.181818181823,5440.851722057397,249.5502129122319,411301.0,0.9265
64,5,4388.241235247741,101811.60761178068,6148.760330578512,5254.4555128519,248.89517111844106,412604.0,0.9253333333333332
65,6,7700.520564733657,98513.87555479817,5950.413223140496,5047.839398575677,248.5685336326068,413886.0,0.9241666666666668
66,7,9476.133208339868,96063.44330886504,6148.760330578512,5777.805123694488,248.3258204545231,415116.0,0.9229999999999999
