index,dates,shiftFactor,population,storage_asis,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
1,1,1,3.30721,52.7128366469431,15123.0809118835,NA,46286.7562286238,segment1,32361.3008520734,52.7128366469431,NA,97.3480108983373,segment1,63.2475116592445,25785.1239669422,NA,41617.0545500921,segment1,26645.5345505864,4536.27045381699,NA,4515.82972383293,segment1,5933.12807064391,-1.83056076101693,NA,-0.918714888316246,segment1,-1.54762357878076
2,2,0.998666666666667,3.30721,229.939722295944,165734.529926362,NA,45367.960475214,segment1,32361.3008520732,229.939722295944,NA,96.7312714785312,segment1,63.2475116592442,81322.3140495868,NA,40610.375960501,segment1,26645.5345505865,4660.11733472481,NA,4523.72735434271,segment1,5933.12807064388,4.25399152767289,NA,-0.835930739352252,segment1,-1.54762357878075
3,3,0.997333333333333,3.32015,154.74162687873,32110.751876545,NA,44449.1647218043,segment1,32361.3008520732,154.74162687873,NA,96.1145320587251,segment1,63.2475116592442,61487.6033057851,NA,39603.6973709099,segment1,26645.5345505865,4462.29150850656,NA,4531.6249848525,segment1,5933.12807064388,1.87656820041119,NA,-0.753146590388259,segment1,-1.54762357878075
4,4,0.996,3.3334,189.863294491043,92060.4587582934,NA,44115.0681027438,segment1,32361.3008520732,189.863294491043,NA,96.2709484385105,segment1,63.2475116592442,71404.9586776859,NA,39102.9133611368,segment1,26645.5345505865,4850.74965506687,NA,4556.06716065944,segment1,5933.12807064388,3.01264746496639,NA,-0.658619117823451,segment1,-1.54762357878075
5,5,0.994666666666667,3.3466,77.6311478327337,7463.70909113926,NA,43780.9714836833,segment1,32361.3008520732,77.6311478327337,NA,96.427364818296,segment1,63.2475116592442,53553.7190082645,NA,38602.1293513637,segment1,26645.5345505865,4414.45607911384,NA,4580.50933646638,segment1,5933.12807064388,-0.842614014065276,NA,-0.564091645258642,segment1,-1.54762357878075
6,6,0.993333333333333,3.3596,62.3773292044822,3561.94028350844,NA,43740.1917305373,segment1,32361.3008520732,62.3773292044822,NA,97.0503681488916,segment1,63.2475116592442,5950.4132231405,NA,38553.5133580263,segment1,26645.5345505865,4475.7454430811,NA,4610.21022082097,segment1,5933.12807064388,-1.43394916074971,NA,-0.471747655717796,segment1,-1.54762357878075
7,7,0.992,3.37254,32.7956936802525,-2619.64374680956,47439.5380340498,43699.4119773913,segment1,32361.3008520732,32.7956936802525,99.7329984711386,97.6733714794871,segment1,63.2475116592442,6148.76033057851,38439.6694214876,38504.897364689,segment1,26645.5345505865,4543.33190851532,4602.86918627048,4639.91110517556,segment1,5933.12807064388,-2.67005723493324,-0.19939668559342,-0.37940366617695,segment1,-1.54762357878075
8,8,0.990666666666667,3.38515,42.1246912237342,14842.633718697,47318.0426682985,43127.1808427508,segment1,32361.3008520732,42.1246912237342,104.855661652335,97.5646389753907,segment1,63.2475116592442,6148.76033057851,40423.1404958678,38257.0962777097,segment1,26645.5345505865,4495.82449355175,4589.70374089228,4666.71291349462,segment1,5933.12807064388,-2.27120308418753,-0.0159245227962839,-0.321050129248277,segment1,-1.54762357878075
9,9,0.989333333333333,3.39845,25.9571787703939,3395.77765232815,43340.7421953632,42554.9497081103,segment1,32361.3008520732,25.9571787703939,102.594863840118,97.4559064712943,segment1,63.2475116592442,5950.4132231405,39679.3388429752,38009.2951907305,segment1,26645.5345505865,4720.7450331908,4678.76236788602,4693.51472181368,segment1,5933.12807064388,-2.97486425845111,-0.0868302989080772,-0.262696592319604,segment1,-1.54762357878075
10,10,0.988,3.41159,43.3661383330624,15986.8465995474,40865.1866852217,41810.2196669445,segment1,32361.3008520732,43.3661383330624,96.4198250765513,95.8091268323372,segment1,63.2475116592442,3689.25619834711,38852.8925619835,37474.913931351,segment1,26645.5345505865,4463.55859799947,4791.06156684331,4772.53935818637,segment1,5933.12807064388,-2.21953831037843,-0.304519281025905,-0.298202637778482,segment1,-1.54762357878075
