2.03	0.97
5.09	3.75
7.49	6.64
4.49	4.02
6.44	1.67
2.67	4.25
1.67	1.01
2.25	4.11
7.25	16.67
4.48	3.46
4.8	2.26
6.47	6.19
4.64	5.52
5.2	4.64
7.66	6.85
4.48	3.45
6.02	7.84
2.04	4.78
9.82	13.04
2.12	1.01
0.55	1.64
2.93	0.78
1.35	3.3
2.67	2.9
4.61	3.84
5.37	3.34
1.39	1.3
0.46	0.2
4.79	2.68
2.23	2.08
4.68	3.34
6.39	5.56
0.33	0.32
2.85	2.04
9.97	3.82
1.39	0.7
1.32	0.54
1.87	0.03
2.98	0
1.1	0.18
2.73	5.76
0.84	2.77
4.2	2.48
6.99	13.27
0.53	0.62
2	2.34
3.26	2.47
4.1	4.52
5.88	11.23
4.23	4.98
4.54	4.01
5.46	7.38
3.08	1.51
2.48	1.48
2.58	6.79
2.71	4.48
5.83	6.68
2.65	2.2
2.48	4.12
3.86	3.45
3.35	2.03
2.24	2.5
2.09	2.48
3.48	2.02
4.97	1.67
2.43	9.58
3.23	3.47
4.12	1.8
4.79	1.8
4.14	1.9
3.85	2.71
0.76	1.18
1.7	0.67
5.91	0.59
7.06	6.39
5.61	7.17
4.42	1.39
6.62	0.47
7.3	0
6.3	0.56
3.96	0
4.91	0.04
3.09	0.1
3.12	0
3.93	0
4.32	0.1
4.17	0
4.42	1.1
6.95	4.06
1.14	0
3.67	10.38
4.67	6.64
0.46	0.1
8.16	2.26
2.08	1.48
3.78	0.44
5.15	0
1.31	0
5.94	0
2.63	0.66
2.72	2.06
2.03	3.02
5.35	1
3.13	0.32
4.96	1.84
1.93	0.12
0.98	0.12
2.73	0
4.84	3.84
2.45	3.34
3.77	1.3
2.4	0.2
3.23	2.68
4.67	2.08
3.98	3.34
4.19	5.56
2.35	0.32
4.54	2.04
5.08	3.82
2.84	0.7
5.13	2.03
2.66	2.5
7.57	2.48
4.99	2.02
4.32	1.67
1.65	9.58
3.22	3.47
2.2	1.8
2.68	1.8
3.27	1.9
3.6	2.71
3.69	1.18
3.99	3.18
3.31	2.54
6.9	1.85
2.57	5.49
2.22	4.92
2.7	9.64
5.66	2.25
3.91	2.13
1.49	2.75
3.65	3.42
2.38	6.25
2.38	3.41
4.25	0
3.82	0.1
3.13	0
1.18	1.1
3.66	4.06
11	0
3.97	10.38
3.23	6.64
1.73	0.1
8.27	2.26
4.77	1.48
1.84	0.44
3.83	4.52
2.33	1.92
4.1	3
3.63	2.75
5.03	0
1.89	2.29
3.5	3.27
5.28	6.28
13.24	2.16
2.91	0
3.32	2.2
3.82	1.15
3.56	0
2.89	0
1.92	0
5.65	0.66
1.38	2.06
3.63	3.02
4.26	1
1.31	0.32
3.77	1.84
2.67	0.12
3.66	0.12
2.66	0
7.91	0.85
5.13	2.41
8.37	3.59
3.74	3.89
3.95	2.79
2.36	2.61
2.83	3.24
3.07	3.34
3.82	6.91
2.99	1.36
2.19	3.3
4.75	2.96
5.51	2.32
1.9	1.46
3	5.51
4.87	1.09
1.22	3.78
3.28	6.78
3.28	3.29
3.48	2.15
17.8	3.25
2.67	1.2
1.59	4.23
1.74	5.7
2.48	4.52
2.56	1.92
3.2	3
5.66	2.75
3.18	0
3.82	2.29
5.34	3.27
4.78	6.28
4.42	2.16
0.08	0
2.03	2.2
1.85	1.15
1.98	1.22
2.91	1.87
6.28	5.78
2.6	1.16
3.12	0.44
4.59	5.83
6.46	7.89
2.71	2.03
2.33	1.41
1.41	1.24
0.49	0.91
1.92	2.04
4.29	4.83
1.02	1.21
3.01	4.24
1.57	0.54
2.02	1.41
2.32	2.29
2.87	3.67
5.18	5.84
3.95	1.81
7.96	7.58
3.38	3.43
3.32	4.07
2.13	1.8
4.77	4.29
6.71	5.17
6.29	4.54
5.47	1.65
3.15	1.94
6.48	4.9
4.28	9.7
5.77	3.48
2.87	2.97
2.18	1.49
4.12	2.84
1.2	0.92
1.99	2.76
1.54	2.28
2.32	0.91
3.48	3.1
3.65	4.35
4.68	3.81
8.72	9.88
3.95	4.43
1.76	1.42
3.25	3.14
2.11	1.85
2.87	2.31
1.91	0.25
4.34	0.39
0.74	0.34
3.52	2.75
2.66	2.8
2.44	5.54
2.15	2.14
0.76	1.24
2.77	3.87
4.39	6.73
4.98	7.14
2.67	3.18
1.84	2.54
0.84	1.85
3.79	5.49
2.87	4.92
7.2	9.64
4.37	2.25
2.83	2.13
5.5	2.75
3.68	3.42
7.53	6.25
3.42	3.41
2.13	2.44
2.11	1.49
3.41	3.04
3.54	2.75
2.7	1.91
4.28	4.85
2.56	3.7
1.47	1.33
0.92	1.57
4.55	5.68
0.58	0.53
3.98	3.06
1.52	0.85
3.26	2.41
4.81	3.59
5.82	3.89
2.92	2.79
3.73	2.61
3.17	3.24
6.6	3.34
8.02	6.91
0.85	1.36
3.31	3.3
4.12	2.96
3.21	2.32
1.54	1.46
6.3	5.51
1.98	1.09
3.93	3.78
6.29	6.78
1.94	3.29
3.43	2.15
3.64	3.25
2.18	1.2
8.49	4.23
8.13	5.7
2.99	3.82
2.79	2.68
2.71	3.1
1.06	1.63
7.08	5.78
2.46	3.04
4.07	2.07
3.2	6.62
4.75	6.05
2.49	0.88
1.05	0.78
2.77	1.43
0.78	1.15
1.72	2.05
5.37	2.81
2.9	3.2
4.37	3.08
2.81	3.72
3.43	1.78
4.08	5.14
6.02	3.85
2.55	1.99
4.27	3.14
2.54	1.4
1.58	2.04
1.94	1.97
3.34	4.2
2.73	1.48
3.58	4.17
2.08	2.56
3.87	5.27
5.71	2.71
7.51	6.47
2.8	2.5
0.43	0.59
3.43	3
4	2.65
3.82	3.54
2.22	1.57
3.75	3.31
4.65	3.34
7.62	8.36
4.77	3.41
2.33	2.24
2.49	3.45
2.69	0.79
2.77	3.15
4.75	5.24
2.03	0.97
5.09	3.75
7.49	6.64
4.49	4.02
6.44	1.67
2.67	4.25
1.67	1.01
2.25	4.11
7.25	16.67
4.48	3.46
4.8	2.26
6.47	6.19
4.64	5.52
5.2	4.64
7.66	6.85
4.48	3.45
6.02	7.84
2.04	4.78
9.82	13.04
2.12	1.01
0.55	1.64
2.93	0.78
1.35	3.3
2.67	2.9
4.61	3.84
5.37	3.34
1.39	1.3
0.46	0.2
4.79	2.68
2.23	2.08
4.68	3.34
6.39	5.56
0.33	0.32
2.85	2.04
9.97	3.82
1.39	0.7
3.35	2.03
2.24	2.5
2.09	2.48
3.48	2.02
4.97	1.67
2.43	9.58
3.23	3.47
4.12	1.8
4.79	1.8
4.14	1.9
3.85	2.71
0.76	1.18
1.7	0.67
5.91	0.59
7.06	6.39
5.61	7.17
4.42	1.39
6.62	0.47
7.3	0
6.3	0.56
3.96	0
4.91	0.04
3.09	0.1
3.12	0
3.93	0
4.32	0.1
4.17	0
4.42	1.1
6.95	4.06
1.14	0
3.67	10.38
4.67	6.64
0.46	0.1
8.16	2.26
2.08	1.48
3.78	0.44
5.13	2.03
2.66	2.5
7.57	2.48
4.99	2.02
4.32	1.67
1.65	9.58
3.22	3.47
2.2	1.8
2.68	1.8
3.27	1.9
3.6	2.71
3.69	1.18
3.99	3.18
3.31	2.54
6.9	1.85
2.57	5.49
2.22	4.92
2.7	9.64
5.66	2.25
3.91	2.13
1.49	2.75
3.65	3.42
2.38	6.25
2.38	3.41
4.25	0
3.82	0.1
3.13	0
1.18	1.1
3.66	4.06
11	0
3.97	10.38
3.23	6.64
1.73	0.1
8.27	2.26
4.77	1.48
1.84	0.44
3.83	4.52
2.33	1.92
4.1	3
3.63	2.75
5.03	0
1.89	2.29
3.5	3.27
5.28	6.28
13.24	2.16
2.91	0
3.32	2.2
3.82	1.15
3.56	0
2.89	0
1.92	0
5.65	0.66
1.38	2.06
3.63	3.02
4.26	1
1.31	0.32
3.77	1.84
2.67	0.12
3.66	0.12
2.66	0
7.91	0.85
5.13	2.41
8.37	3.59
3.74	3.89
3.95	2.79
2.36	2.61
2.83	3.24
3.07	3.34
3.82	6.91
2.99	1.36
2.19	3.3
4.75	2.96
2.13	1.8
4.77	4.29
6.71	5.17
6.29	4.54
5.47	1.65
3.15	1.94
6.48	4.9
4.28	9.7
5.77	3.48
2.87	2.97
2.18	1.49
4.12	2.84
1.2	0.92
1.99	2.76
1.54	2.28
2.32	0.91
3.48	3.1
3.65	4.35
4.68	3.81
8.72	9.88
3.95	4.43
1.76	1.42
3.25	3.14
2.11	1.85
2.87	2.31
1.91	0.25
4.34	0.39
0.74	0.34
3.52	2.75
2.66	2.8
2.44	5.54
2.15	2.14
0.76	1.24
2.77	3.87
4.39	6.73
4.98	7.14
2.67	3.18
1.84	2.54
0.84	1.85
3.79	5.49
2.87	4.92
7.2	9.64
4.37	2.25
2.83	2.13
5.5	2.75
3.68	3.42
7.53	6.25
3.42	3.41
2.99	3.82
2.79	2.68
2.71	3.1
1.06	1.63
7.08	5.78
2.46	3.04
4.07	2.07
3.2	6.62
4.75	6.05
2.49	0.88
1.05	0.78
2.77	1.43
0.78	1.15
1.72	2.05
5.37	2.81
2.9	3.2
4.37	3.08
2.81	3.72
3.43	1.78
4.08	5.14
6.02	3.85
2.55	1.99
4.27	3.14
2.54	1.4
1.58	2.04
1.94	1.97
3.34	4.2
2.73	1.48
3.58	4.17
2.08	2.56
3.87	5.27
5.71	2.71
7.51	6.47
2.8	2.5
0.43	0.59
3.43	3
