observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52292.3530982317 3689.2561983471073  2372.2478234211912  2372.2478234211912 242.8075494635288  4.8056383929173523E8  3.109092395135891E7  63826.0  170361.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127514.32534330133 55537.19008264461  2196.798712286048  2196.798712286048 251.17730964165537  4.340576612957594E8  3.97556199012491E7  63826.0  170361.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207371.7163597139 111074.38016528926  2385.1488982984506  2385.1488982984506 256.8994439561394  4.815699877098325E8  3.2867324787945967E7  64026.0  170852.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216971.98458013713 128925.61983471068  2260.812544866334  2260.812544866334 257.50089703450845  4.6705504410972667E8  2.056496589076273E7  64227.0  171364.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123445.84875247603 182479.3388429752  3216.664414685936  3216.664414685936 250.8397457574497  4.8363028565532106E8  2.1015122118431464E8  64427.0  171855.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123704.19990752311 17851.239669421488  3133.37287553144  3133.37287553144 250.862002059573  4.6903559621206254E8  2.0678129819232872E8  64627.0  172360.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119541.75955256772 6148.760330578512  2379.297494376885  2379.297494376885 250.50341829363953  4.856747699402972E8  2.7500491156456742E7  64828.0  172849.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113595.86814791239 6148.760330578512  3424.897704076814  3424.897704076814 249.99119470605726  4.8678121551746505E8  2.5191278036705133E8  65028.0  173388.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98208.77085659742 5950.413223140496  7354.040568174469  7354.040568174469 248.53831327818912  4.721787986788125E8  1.1139665646506443E9  65228.0  173943.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98123.59274203384 3689.2561983471073  2421.703776216476  2421.703776216476 248.5298764601856  4.889612528673243E8  3.336034440922787E7  65429.0  174453.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111268.45934961055 3966.9421487603304  2584.0483436629634  2584.0483436629634 249.7760408165736  4.7424504898773533E8  8.309159621096946E7  65629.0  174986.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155498.95526947716 61487.603305785095  2315.5612643485824  2315.5612643485824 253.33786728537345  4.9104997751704425E8  8378429.072022213  65829.0  175470.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183344.4033877591 85289.25619834714  2707.87756337108  2707.87756337108 255.31172226357688  4.921141931746962E8  9.193037413375846E7  66030.0  175989.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216156.30917108568 107107.4380165289  2144.7114801447096  2144.7114801447096 257.450101455417  4.454127761312394E8  1.716614743816598E7  66230.0  176488.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226581.8199014739 182479.33884297524  2441.1603166369705  2441.1603166369705 258.0952397447539  4.941620732266606E8  3.2355979194670323E7  66430.0  176987.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215079.33410034754 126942.14876033053  2437.959140796069  2437.959140796069 257.3830336343472  4.7926681231356615E8  4.656079923050798E7  66631.0  177516.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142655.29906 30743.785 2459.5028 252.87 66345.08803 125095.34310926299 152727.27272727274  3601.8062938118455  3601.8062938118455 250.98184554697303  4.9626426152905846E8  2.8058600188453794E8  66831.0  178013.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108916.47435999998 44390.058600000004 2499.1722 250.15 13150.4061 122396.81327245919 11900.826446280991  3948.1094905228124  3948.1094905228124 250.74937398970187  4.812267021235032E8  3.70315454090977E8  67031.0  178503.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
133450.01479 34801.96462 2520.99037 252.17 61856.49542000001 126266.1291682368 53553.71900826446  4433.460515957934  4433.460515957934 251.07672166719613  4.983132473977066E8  4.57911126904E8  67232.0  179012.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101845.40380999997 55031.37515 2643.96551 249.5 26070.729680000004 126007.1442593931 23801.652892561982  2528.061696281711  2528.061696281711 251.05585093556235  4.993414500535639E8  4.591979790959934E7  67432.0  179514.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
85124.75170999997 15590.0742 2618.1804 247.8 1487.6025 118682.14405867693 5950.413223140496  2862.18947757567  2862.18947757567 250.42936458120926  4.842652452965484E8  1.330618589994925E8  67632.0  180032.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76455.00433999997 10514.37447 2828.4282200000002 246.8 4673.0553199999995 110776.02123232117 9917.355371900827  2661.822774454908  2661.822774454908 249.73049951283835  5.014780173272176E8  7.263329094925499E7  67833.0  180552.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68600.46313999998 8509.0863 2499.1722 245.81 3153.7173000000003 107067.53514095378 3570.2479338842977  3291.955457483098  3291.955457483098 249.38753399990324  4.86299419801489E8  2.2372112424791914E8  68033.0  181054.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83541.94264999998 3566.2790600000003 2336.5276599999997 247.63 20844.28623 111578.6033568302 13884.297520661159  2448.9204934623954  2448.9204934623954 249.80472332903267  5.0353632919493896E8  2.465546548708975E7  68234.0  181555.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109981.59774999997 34924.93976 2520.99037 250.25 63885.585230000004 111525.58204751801 61487.603305785095  2451.003233527238  2451.003233527238 249.79981985087562  5.0460957399124265E8  2.4031433401871312E7  68434.0  182078.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105483.08778999998 140842.23776 2332.56072 249.85 138676.28852 178364.8022832392 69421.48760330575  2415.5806809731703  2415.5806809731703 254.97347578376062  4.5674769184564865E8  6.42532546895924E7  68634.0  182603.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
106774.32675999998 19860.485109999998 2582.47794 249.97 23734.20202 138244.8780728699 61487.603305785095  2366.5229245844857  2366.5229245844857 252.0391610650685  5.0670771167969286E8  3712285.225167646  68835.0  183102.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102133.00695999998 7021.4838 2796.6927 249.54 5176.8567 111335.08960419107 29752.066115702488  2334.5790529763717  2334.5790529763717 249.78220286730703  4.9139331263907564E8  1.2136917562447306E7  69035.0  183622.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105699.28602 9100.16036 2582.47794 249.87 15248.917360000001 117616.39710034303 6148.760330578512  2818.8495332695275  2818.8495332695275 250.33755316164223  5.0881600452220446E8  9.91633879868938E7  69235.0  184131.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82730.70342 19695.8571 3034.7091 247.55 -238.0164 109111.17056760681 5950.413223140496  2316.796909595745  2316.796909595745 249.57653200477267  4.933970244552482E8  6297890.451104141  69436.0  184633.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74245.41876 12051.56372 2766.94065 246.55 6333.21971 106651.15591935051 6148.760330578512  2644.4740276777898  2644.4740276777898 249.3490267196292  5.1081768972545886E8  5.955177976074179E7  69636.0  185107.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
95520.11798 10760.32475 2766.94065 248.93 34801.96462 127014.52777277044 11900.826446280991  2537.7663202990593  2537.7663202990593 251.13703261929007  5.118996439651056E8  3.545473147569078E7  69836.0  185634.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
94925.07697999998 3570.246 3034.7091 248.87 6009.914100000001 124770.89047056537 5950.413223140496  2303.1381790645737  2303.1381790645737 250.95389476831195  4.9637748601946574E8  371465.79358504544  70037.0  186131.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82750.53811999998 11928.58858 2152.0649500000004 247.56 1906.1146700000002 112262.58835989972 11900.826446280993  2513.5903343846335  2513.5903343846335 249.86797913251638  5.138851762138563E8  2.825483746146841E7  70237.0  186598.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
167841.40111999997 65097.485400000005 2439.6681 254.71 152628.0165 180263.03165676908 81322.31404958678  3305.2591535439724  3305.2591535439724 255.10281570554366  4.98360594137208E8  2.1452933792033988E8  70437.0  187128.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
107399.11980999997 103545.06788 2520.99037 250.04 45623.77694 159921.22733165714 63471.07438016526  2494.506884946944  2494.506884946944 253.66092025214823  5.1601143659117836E8  2.201259151633287E7  70638.0  187636.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113301.92652999997 12297.514000000001 2705.45308 250.55 20905.773800000003 116825.80769707974 61487.603305785095  2513.5901287924944  2513.5901287924944 250.26944587328393  5.170090708458041E8  2.513089848661127E7  70838.0  188123.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
