observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52294.52801998775 3689.2561983471073  2370.0729016651376  2370.0729016651376 242.80791966297664  4.8003263579791844E8  3.11530326629283E7  63826.0  170276.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127518.32369887919 55537.19008264461  2194.975278464219  2194.975278464219 251.17763185582072  4.335778645916599E8  3.984213197834791E7  63826.0  170276.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207377.7307997444 111074.38016528926  2383.1328138457534  2383.1328138457534 256.89983402294206  4.8107979602511775E8  3.2922680279280517E7  64026.0  170788.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216979.78818263375 128925.61983471068  2259.0233824001252  2259.0233824001252 257.50138299804667  4.666144853448968E8  2.061963179523628E7  64227.0  171321.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123453.60904520545 182479.3388429752  3216.7077244531356  3216.7077244531356 250.84041428714727  4.831750610960093E8  2.106157869467257E8  64427.0  171811.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123714.9446495514 17851.239669421488  3130.388426232575  3130.388426232575 250.86292769207026  4.685933450824954E8  2.065798527888699E8  64627.0  172316.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119554.16436207123 6148.760330578512  2377.637426901648  2377.637426901648 250.50448693677387  4.8525034969002223E8  2.756686220856216E7  64828.0  172822.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113611.51840278273 6148.760330578512  3421.652258709973  3421.652258709973 249.992542936146  4.8632515079643047E8  2.51668856004151E8  65028.0  173345.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98234.14636161925 5950.413223140496  7344.31531802298  7344.31531802298 248.54082669984342  4.716175463391422E8  1.1124302407950068E9  65228.0  173838.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98151.0766080573 3689.2561983471073  2419.595415214853  2419.595415214853 248.5325987131594  4.884206281301111E8  3.344623042206786E7  65429.0  174366.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111297.48197985576 3966.9421487603304  2582.509579441202  2582.509579441202 249.7787248663512  4.7373508022618973E8  8.32696788871622E7  65629.0  174904.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155529.9232320255 61487.603305785095  2313.615932045462  2313.615932045462 253.34012953700238  4.906143039973937E8  8394526.471019713  65829.0  175437.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183377.8470953619 85289.25619834714  2705.4018183166004  2705.4018183166004 255.31398963358384  4.916662433404346E8  9.184434655755858E7  66030.0  175950.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216191.2329438952 107107.4380165289  2143.231414937989  2143.231414937989 257.4522763073792  4.4505743338532525E8  1.7202264508977138E7  66230.0  176472.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226618.1823748004 182479.33884297524  2439.7216161199685  2439.7216161199685 258.0974192264925  4.937950215830285E8  3.241272684513788E7  66430.0  176984.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215116.97504334227 126942.14876033053  2436.6806711278236  2436.6806711278236 257.3853776960607  4.7887210783068246E8  4.667975887384824E7  66631.0  177489.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142655.29906 30743.785 2459.5028 252.87 66345.08803 125135.48289719004 152727.27272727274  3599.307448879541  3599.307448879541 250.98530348873106  4.9589317478702396E8  2.804181289531427E8  66831.0  178003.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108916.47435999998 44390.058600000004 2499.1722 250.15 13150.4061 122439.64279625521 11900.826446280991  3945.4197546538544  3945.4197546538544 250.75306364543894  4.808380518565786E8  3.701239726551161E8  67031.0  178478.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
