observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52301.22119958554 3689.2561983471073  2363.379722067352  2363.379722067352 242.80905892758904  4.786114111164505E8  3.113064880204874E7  63826.0  169818.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127531.07310276486 55537.19008264461  2188.919054176341  2188.919054176341 251.17865928783664  4.322941777825931E8  3.981959100903205E7  63826.0  169818.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207397.21256712178 111074.38016528926  2376.4004503540664  2376.4004503540664 256.9010975139193  4.796622012815708E8  3.2888215160272613E7  64026.0  170331.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 217005.96496147747 128925.61983471068  2252.328370933816  2252.328370933816 257.503013137469  4.651751676090152E8  2.061494588491929E7  64227.0  170829.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123487.11763071662 182479.3388429752  3209.375917785657  3209.375917785657 250.84330096749798  4.8175058233928406E8  2.1045891582609832E8  64427.0  171351.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123757.64104754067 17851.239669421488  3121.2006137544527  3121.2006137544527 250.86660587935395  4.672425510408508E8  2.0594898708492574E8  64627.0  171872.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119603.1999438244 6148.760330578512  2371.298243137767  2371.298243137767 250.50871122879258  4.838997803926239E8  2.7550174031496458E7  64828.0  172402.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113670.25832730871 6148.760330578512  3411.9479159371676  3411.9479159371676 249.99760323288325  4.84974351440184E8  2.509265885421601E8  65028.0  172924.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98314.09023883741 5950.413223140496  7323.111365330791  7323.111365330791 248.54874507120022  4.7031779666545594E8  1.1091566472929153E9  65228.0  173421.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98237.26790704644 3689.2561983471073  2413.347993443859  2413.347993443859 248.54113588619714  4.8709120278740555E8  3.342818984003134E7  65429.0  173954.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111390.38851200591 3966.9421487603304  2575.7943462801964  2575.7943462801964 249.78731698067196  4.7234725150064194E8  8.320914248021472E7  65629.0  174444.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155629.37182283212 61487.603305785095  2307.0738733889975  2307.0738733889975 253.34739439132383  4.8921141600693804E8  8386400.215848623  65829.0  174990.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183485.19584343265 85289.25619834714  2697.5016610524867  2697.5016610524867 255.321267514809  4.9024167730686563E8  9.156497885593128E7  66030.0  175494.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216304.72530874494 107107.4380165289  2137.087798159031  2137.087798159031 257.45934395994175  4.437487482012746E8  1.718587279445875E7  66230.0  176007.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226738.65089205385 182479.33884297524  2432.745463716238  2432.745463716238 258.10463982810205  4.92335319559159E8  3.2367787755516097E7  66430.0  176515.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215244.1007380972 126942.14876033053  2430.023493626341  2430.023493626341 257.39329435409746  4.774652790303592E8  4.6650744190713406E7  66631.0  177023.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
