observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52299.84116673817 3689.2561983471073  2364.7597549147185  2364.7597549147185 242.80882402838097  4.7888405595147115E8  3.1155654310643584E7  63826.0  170180.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127528.4135907188 55537.19008264461  2190.198533375048  2190.198533375048 251.17844496661445  4.3254043763358194E8  3.984929373666881E7  63826.0  170180.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207393.28229060094 111074.38016528926  2377.6712148288816  2377.6712148288816 256.90084261564306  4.799064550340119E8  3.291804436410993E7  64026.0  170680.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 217000.58534258528 128925.61983471068  2253.7777133051704  2253.7777133051704 257.50267812570587  4.6547522657825434E8  2.0627486181470335E7  64227.0  171209.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123479.79118466761 182479.3388429752  3211.3227449425103  3211.3227449425103 250.84266981260058  4.820081995780716E8  2.1062119712327713E8  64427.0  171703.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123747.07557538351 17851.239669421488  3124.439639862606  3124.439639862606 250.86569569050513  4.674070251581575E8  2.0648311752324945E8  64627.0  172181.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119591.96339273048 6148.760330578512  2371.969322074511  2371.969322074511 250.50774322818145  4.8402599543179363E8  2.7568699660268333E7  64828.0  172685.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113656.11402961807 6148.760330578512  3414.855662533902  3414.855662533902 249.99638473721728  4.850517128106263E8  2.5147638019587746E8  65028.0  173186.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98287.1741157576 5950.413223140496  7335.883190719967  7335.883190719967 248.54607905267014  4.7044330569028604E8  1.111785810537668E9  65228.0  173708.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98209.89339221206 3689.2561983471073  2413.8063851984393  2413.8063851984393 248.53842446436332  4.871674952901974E8  3.345076488485717E7  65429.0  174215.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111362.15203452397 3966.9421487603304  2576.656308927765  2576.656308927765 249.78470563530232  4.724777063067909E8  8.326459881285542E7  65629.0  174731.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155600.6959720005 61487.603305785095  2307.5132467386607  2307.5132467386607 253.34529958156187  4.893007772040812E8  8391804.609799152  65829.0  175254.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183455.12552238096 85289.25619834714  2698.8961312725833  2698.8961312725833 255.31922884897497  4.903423326019045E8  9.176508780789945E7  66030.0  175760.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216274.07523803416 107107.4380165289  2137.6675478180846  2137.6675478180846 257.4574352495973  4.438613321201329E8  1.7198331323368594E7  66230.0  176282.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226707.1824076217 182479.33884297524  2433.563877437655  2433.563877437655 258.10275368062946  4.924861610906841E8  3.2393464577063344E7  66430.0  176804.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215211.85636026307 126942.14876033053  2430.7993870283044  2430.7993870283044 257.3912863594634  4.775987481026756E8  4.668462253925325E7  66631.0  177309.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142655.29906 30743.785 2459.5028 252.87 66345.08803 125237.97015888873 152727.27272727274  3591.7015041016616  3591.7015041016616 250.9938657554105  4.945822388179544E8  2.800885879719845E8  66831.0  177826.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108916.47435999998 44390.058600000004 2499.1722 250.15 13150.4061 122549.78484625535 11900.826446280991  3937.7649663523794  3937.7649663523794 250.7625521059834  4.796176476646277E8  3.6969336515367717E8  67031.0  178324.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
133450.01479 34801.96462 2520.99037 252.17 61856.49542000001 126430.34181502549 53553.71900826446  4422.2194429654355  4422.2194429654355 251.0899550177311  4.966370607388227E8  4.5716279936003E8  67232.0  178828.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101845.40380999997 55031.37515 2643.96551 249.5 26070.729680000004 126178.55870542636 23801.652892561982  2520.859897037145  2520.859897037145 251.0696646551234  4.9770170891026247E8  4.600622963429258E7  67432.0  179347.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
85124.75170999997 15590.0742 2618.1804 247.8 1487.6025 118862.26527800871 5950.413223140496  2853.482704277155  2853.482704277155 250.44488157115856  4.8263503099028766E8  1.3281416578415786E8  67632.0  179846.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76455.00433999997 10514.37447 2828.4282200000002 246.8 4673.0553199999995 110963.42698500723 9917.355371900827  2654.5382411006353  2654.5382411006353 249.74783103532852  4.997414906761093E8  7.279866379766005E7  67833.0  180342.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68600.46313999998 8509.0863 2499.1722 245.81 3153.7173000000003 107264.54896213172 3570.2479338842977  3282.3473889912125  3282.3473889912125 249.4057540887942  4.84653401102536E8  2.2329484090448737E8  68033.0  180862.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83541.94264999998 3566.2790600000003 2336.5276599999997 247.63 20844.28623 111783.52431575904 13884.297520661159  2441.01335571149  2441.01335571149 249.823674680085  5.018749179768114E8  2.461143739406316E7  68234.0  181381.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109981.59774999997 34924.93976 2520.99037 250.25 63885.585230000004 111738.1586051911 61487.603305785095  2443.3476347829996  2443.3476347829996 249.81947920144188  5.029239028288864E8  2.4065918071701296E7  68434.0  181895.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105483.08778999998 140842.23776 2332.56072 249.85 138676.28852 178583.94289627028 69421.48760330575  2409.016625615184  2409.016625615184 254.9889376205652  4.552206594781788E8  6.4364528485395454E7  68634.0  182418.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
106774.32675999998 19860.485109999998 2582.47794 249.97 23734.20202 138472.0764245691 61487.603305785095  2358.465185916377  2358.465185916377 252.05645428714942  5.0496620624013007E8  3715869.217484718  68835.0  182895.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102133.00695999998 7021.4838 2796.6927 249.54 5176.8567 111569.99309924965 29752.066115702488  2326.8739096169816  2326.8739096169816 249.8039270414547  4.8970128340900344E8  1.2167074342936033E7  69035.0  183410.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
105699.28602 9100.16036 2582.47794 249.87 15248.917360000001 117858.69475265336 6148.760330578512  2811.455376017776  2811.455376017776 250.35842649488745  5.070574652498129E8  9.932712938838294E7  69235.0  183915.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82730.70342 19695.8571 3034.7091 247.55 -238.0164 109361.4361874073 5950.413223140496  2308.828942105584  2308.828942105584 249.59967688776538  4.916662412983631E8  6310114.32449211  69436.0  184404.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74245.41876 12051.56372 2766.94065 246.55 6333.21971 106908.92342410694 6148.760330578512  2636.9721427218524  2636.9721427218524 249.37286538648914  5.090803740370959E8  5.967106248765576E7  69636.0  184904.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
95520.11798 10760.32475 2766.94065 248.93 34801.96462 127280.34169274123 11900.826446280991  2529.719905084722  2529.719905084722 251.15845367819657  5.1010774674055046E8  3.5511149535394944E7  69836.0  185405.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
94925.07697999998 3570.246 3034.7091 248.87 6009.914100000001 125044.8520614212 5950.413223140496  2294.9905081795337  2294.9905081795337 250.977495870212  4.9461960540992886E8  372028.058674753  70037.0  185892.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82750.53811999998 11928.58858 2152.0649500000004 247.56 1906.1146700000002 110561.00718429722 13884.297520661159  2505.6620264627845  2505.6620264627845 249.71061474006262  5.121162719367504E8  2.831373637039988E7  70237.0  186383.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
167841.40111999997 65097.485400000005 2439.6681 254.71 152628.0165 180551.63019330226 79338.84297520661  3298.5505157884554  3298.5505157884554 255.1223817080205  4.966067644547655E8  2.1483622499053982E8  70437.0  186890.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
107399.11980999997 103545.06788 2520.99037 250.04 45623.77694 160218.10644100833 63471.07438016526  2486.2263121289498  2486.2263121289498 253.682607673388  5.1420136105566835E8  2.203668395055263E7  70638.0  187396.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113301.92652999997 12297.514000000001 2705.45308 250.55 20905.773800000003 117130.78313980796 61487.603305785095  2505.4937954154675  2505.4937954154675 250.29571874050723  5.152328366069199E8  2.5160887035539284E7  70838.0  187899.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108081.43348999997 27990.72864 2388.09788 250.1 25158.33348 112079.24427143294 27768.59504132232  2441.277307052724  2441.277307052724 249.85102323790187  4.6632565995938545E8  6.021762536614923E7  71038.0  188415.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
110848.37413999997 63209.22196 2889.91579 250.34 68866.07840000001 116470.41725461488 61487.603305785095  2987.3021110331783  2987.3021110331783 250.23882988065256  5.173494456401956E8  1.2696239196185872E8  71239.0  188931.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
107397.13633999997 8271.0699 3153.7173000000003 250.04 7973.549400000001 111994.63655726331 9917.355371900827  2531.974725450725  2531.974725450725 249.84319860882857  5.0166886488524455E8  4.443635898602829E7  71439.0  189439.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102047.71774999998 10944.78746 3566.2790600000003 249.55 9161.647930000001 110298.4930416834 6148.760330578512  4709.031115001399  4709.031115001399 249.68633709809336  5.194623778656051E8  4.9619803352251524E8  71639.0  189961.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83839.46314999998 11722.307700000001 3391.7336999999998 247.69 -3094.2132 97633.67291596365 5950.413223140496  3620.1937025792604  3620.1937025792604 248.4813503284433  5.0370588985524595E8  2.7711023462382036E8  71840.0  190464.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68897.98363999999 12666.43942 3750.74177 245.88 1475.70168 90176.26003009707 6148.760330578512  2784.354235288058  2784.354235288058 247.72164875645927  5.2149837977301157E8  7.904094540863626E7  72040.0  190952.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100810.03247 8362.309519999999 3320.3287800000003 249.43 43594.687130000006 121072.81091806586 5950.413223140496  6747.7230188907115  6747.7230188907115 250.63531451740747  5.22529269699474E8  9.328433897573102E8  72240.0  191454.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
89087.72477 7616.5248 2856.1967999999997 248.26 -1249.5861 111469.24230906412 5950.413223140496  2403.569285861241  2403.569285861241 249.7946094801687  5.0674114007540005E8  1.1669146469479969E7  72441.0  191992.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
73223.93171 10637.34961 2889.91579 246.43 -2336.5276599999997 102826.28151724058 3689.2561983471073  2617.1769334764276  2617.1769334764276 248.99529746760757  5.2467486678124666E8  3.980706931451412E7  72641.0  192502.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
69415.66931 5057.8485 2499.1722 245.95 3748.7583000000004 100513.97971522468 3570.2479338842977  2490.8121681316165  2490.8121681316165 248.7666422063416  5.0875373811486363E8  2.847340046054615E7  72842.0  193009.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100712.84244 3566.2790600000003 2643.96551 249.42 37507.4177 111555.9664412946 23801.65289256199  2663.7780813680693  2663.7780813680693 249.8026298382775  5.267302105575307E8  4.78028251984674E7  73042.0  193504.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
137851.33471999998 78150.70147 2705.45308 252.52 117994.64683 158809.34484436346 65454.54545454542  5286.722972385954  5286.722972385954 253.57969572973656  5.2777261815997887E8  6.124864070828139E8  73242.0  194012.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
149625.21263999998 91580.77683999999 2610.24652 253.4 105964.90127999999 184807.40000056115 77355.37190082645  2611.4742229759213  2611.4742229759213 255.4109084746143  4.7759979631399256E8  8.56521591015776E7  73443.0  194499.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117159.77567999996 169398.25535 2889.91579 250.88 139822.73418 209007.81024119223 113057.85123966941  2564.472699699777  2564.472699699777 257.0049340043089  5.2982182190812784E8  2.3292679475071553E7  73643.0  195011.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
120730.02167999995 99371.84700000001 2737.1886 251.17 105679.2816 205757.2811977185 105123.96694214878  3805.8437013252033  3805.8437013252033 256.7947396846565  5.1369274229981154E8  3.0716502758244145E8  73843.0  195497.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
118024.56859999994 18261.80829 3197.35364 250.95 18753.70885 126473.81547409222 95206.61157024793  2830.56300337835  2830.56300337835 251.09345841518996  5.318375972827696E8  7.866819770178698E7  74044.0  195997.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
112431.18319999994 8449.5822 3272.7255 250.47 6128.9223 124053.93784794031 5950.413223140496  2598.386703011409  2598.386703011409 250.89213110337184  5.156525182265574E8  4.477667480155747E7  74244.0  196487.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
