246.60	-14866.  3198. -10693.  17059.  1132.  10696.
246.40	-1602.   808.  -1616.   1860.  1161.   2213.
246.10	-2404.     0.  -1212.   1860.  1185.   1833.
245.00	-8140.   185.  -4289.   1943.  1105.  -1056.
245.00	0.  1854.  -1851.   1981.  1046.   3030.
246.75	13950.  7741.   -707.   1800.  1100.   9934.
251.06	43518. 37080. -15139.  31481.  1054.  54476.
250.40	-7710. 28623. -32511.  61084.  1201.  58397.
253.75	42779. 45480. -23912.  51460.  1162.  74190.
252.84	-12369. 43899. -50134. 103526.  1195.  98487.
250.20	-32731. 20092. -36594.  74754.  1168.  59420.
252.87	33125. 21441.  -4736.  15511.  1242.  33458.
250.15	-33706.  2132. -19123.  22366.  1262.   6637.
252.17	24509. 21441.  -9084.  17555.  1283.  31195.
249.50	-31656.  3979. -19939.  27755.  1346.  13141.
247.80	-16721.   907.  -9336.   7855.  1309.    735.
246.80	-8637.   513.  -4866.   5291.  1413.   2351.
245.81	-7804.   418.  -4354.   4283.  1256.   1603.
247.63	14946.  7532.      0.   1798.  1193.  10523.
250.25	26524. 22997.  -9627.  17594.  1257.  32221.
249.85	-4524. 41654. -43935.  71014.  1172.  69905.
249.97	1298.  3871.  -3217.  10027.  1299.  11980.
249.54	-4650.   763.  -3108.   3533.  1419.   2607.
249.87	3568.  4814.  -3017.   4594.  1291.   7682.
247.55	-22919.     0. -11555.   9917.  1517.   -121.
246.55	-8442.  3312.  -7570.   6063.  1403.   3208.
248.93	21285. 14811.  -4082.   5426.  1381.  17536.
248.87	-573.  2439.  -2725.   1800.  1522.   3036.
247.56	-12182.   481.  -6622.   6010.  1100.    969.
254.71	85144. 60482. -17554.  32805.  1223.  76956.
250.04	-60443.  7326. -37800.  52382.  1261.  23169.
250.55	5920.  4911.  -1927.   6207.  1361.  10552.
250.10	-5223.  2656.  -5286.  14111.  1201.  12682.
250.34	2786. 15093. -13687.  31866.  1461.  34733.
250.04	-3483.  1579.  -3340.   4167.  1602.   4008.
249.55	-5330.  3488.  -6176.   5507.  1787.   4606.
247.69	-18228.     0.  -9192.   5919.  1709.  -1564.
245.88	-14961.  1239.  -8784.   6379.  1902.    736.
249.43	31892. 19072.  -2992.   4223.  1677.  21980.
248.26	-11721.     0.  -5911.   3831.  1453.   -627.
246.43	-15845.   526.  -8528.   5364.  1445.  -1193.
245.95	-3812.  1329.  -3253.   2538.  1264.   1878.
249.42	31269. 15926.   -161.   1798.  1337.  18900.
252.52	37121. 39702. -20984.  39403.  1363.  59484.
253.40	11782. 23844. -17903.  46184.  1303.  53428.
250.88	-32416. 42646 -58989.  85399.  1444.  70500.
251.17	3503. 29953. -28165.  50112.  1394.  53294.
250.95	-2690.  3509.  -4866.   9205.  1603.   9451.
250.47	-5572.  1673.  -4480.   4262.  1645.   3100.
249.37	-12268.  1418.  -7603.   5030.  2102.    947.
247.56	-17425.   222.  -9004.   5759.  1936.  -1087.
247.51	-440.  4416.  -4637.   4509.  1545.   5833.
246.04	-12177.  1081.  -7212.   4411.  1544.   -176.
245.74	-2228.  1776.  -2899.   2135.  1352.   2364.
246.85	8718.  5691.  -1295.   1807.  1265.   7468.
250.22	32918. 18643.  -2048.   6355.  1355.  24305.
250.20	-232.  5559.  -5676.  16371.  1362.  17616.
250.25	580.  2749.  -2454.   6286.  1460.   8041.
251.06	9451.  8778.  -4019.   5746.  1490.  11995.
250.91	-1790.  3873.  -4774.   6298.  1696.   7093.
250.18	-8474.   877.  -5145.   3829.  1890.   1451.
248.97	-13189.   873.  -7519.   5074.  1899.    327.
247.59	-12874.  1374.  -7865.   4504.  1902.    -85.
246.90	-5989.  1507.  -4527.   3922.  1654.   2556.
246.83	-561.  4600.  -4875.   3911.  1684.   5320.
249.43	24361. 14152.  -1868.   2846.  1598.  16728.
249.46	324.  1743.  -1580.   2944.  1487.   4594.
249.97	5515.  7147.  -4365.   6309.  1459.  10550.
256.43	86721. 48404.  -4682.  17057.  1332.  62111.
253.85	-37606. 44709. -63666. 117951.  1417. 100411.
252.57	-17285. 20092. -28969.  59663.  1502.  52288.
250.93	-20711. 21293. -31733.  54016.  1594.  45170.
251.05	1433.  9495.  -8773.  19319.  1646.  21687.
251.27	2730. 21716. -20342.  27347.  1692.  30413.
251.13	-1737. 19189. -20063.  34853.  1689.  35668.
250.33	-9390.  2808.  -7537.  10152.  1746.   7169.
250.15	-2090. 17962. -19012.  27381.  1706.  28037.
250.13	-232.  6261.  -6376.  17322.  1458.  18665.
250.27	1625. 19917. -19098.  36254.  1574.  38647.
250.37	1161. 13657. -13072.  38509.  1529.  40623.
250.63	3018. 23036. -21516.  53930.  1365.  56815.
252.80	27214. 20800.  -7082.  18228.  1495.  33441.
251.20	-20437. 11716. -21991.  51037.  1497.  42259.
252.01	10058. 21572. -16501.  41868.  1561.  48500.
250.70	-16022.   467.  -8540.  12152.  1776.   5855.
249.83	-9964.  1228.  -6248.   4676.  2124.   1780.
249.56	-2920.  3815.  -5288.   4639.  1900.   5066.
247.94	-16138.     0.  -8138.   4532.  2026.  -1580.
249.61	16679. 13729.  -5327.   5162.  1961.  15525.
249.25	-3893.  2235.  -4197.   4483.  1682.   4203.
250.34	12057.  9354.  -3276.  11370.  1564.  19012.
250.12	-2554. 30268. -31554.  64437.  1453.  64604.
250.12	0.  3159.  -3157.   8498.  1218.   9718.
252.66	31295. 30568. -14789.  36303.  1494.  53576.
251.03	-20708.  6835. -17292.  24664.  1657.  15864.
250.86	-1997.  2536.  -3539.   5825.  1982.   6804.
250.01	-9867.   818.  -5788.   4782.  2041.   1853.
249.12	-9631.  1144.  -5999.   4624.  2075.   1844.
247.99	-10941.   578.  -6094.   4308.  1977.    769.
247.59	-3518.  4408.  -6180.   4123.  2027.   4378.
246.18	-11758.   299.  -6222.   4496.  1971.    544.
245.45	-5478.   296.  -3059.   2117.  1731.   1085.
245.56	807.  3031.  -2624.   1798.  1617.   3822.
250.08	41332. 29730.  -8890.  13966.  1585.  36391.
251.06	11424. 10965.  -5206.   9347.  1559.  16665.
250.43	-7362. 13831. -17542.  32290.  1724.  30303.
250.98	6385.  8537.  -5325.   9961.  1741.  14914.
251.70	-3018.  2634.  -4151.   4277.  1840.   4600.
251.25	6352.  6584.  -3383.   4823.  1713.   9737.
250.29	-11344.  4673. -10390.   9750.  2097.   6130.
249.72	-6394.  2030.  -5251.   4830.  2091.   3700.
248.78	-9887.   561.  -5546.   4996.  2158.   2169.
248.25	-5064.  2649.  -5183.   4660.  2080.   4206.
250.40	22622. 14500.  -3092.   9205.  1804.  22417.
250.29	-1277. 10614. -11256.  21257.  1844.  22459.
250.26	-348. 22492. -22667.  56196.  1872.  57893.
250.34	929.  5735.  -5264.  20032.  1682.  22185.
251.13	9274. 70591. -65918. 108783.  1802. 115258.
251.11	-248. 35552. -35708.  70342.  1893.  72079.
251.08	-372.  4674.  -4863.   7922.  2227.   9960.
249.92	-13466.   752.  -7537.   4865.  2531.    611.
248.49	-14821.   545.  -8015.   4820.  2645.     -5.
246.81	-14998.     0.  -7561.   4843.  2229.   -489.
245.15	-12728.   688.  -7106.   4678.  1881.    141.
243.69	-9670.  1008.  -5888.   3887.  1866.    873.
243.85	972.  3431.  -2944.   1959.  1619.   4065.
246.28	17179.  9539.   -879.   2055.  1617.  12332.
250.50	40735. 20539.      0.   2136.  1636.  24311.
250.22	-3250. 15822. -17460.  34119.  1482.  33963.
253.73	44594. 57353. -34872.  59694.  1649.  83824.
250.87	-37049.  5208. -24035.  32235.  1821.  15229.
250.46	-4759.  3084.  -5479.   4028.  1905.   3538.
249.66	-9016.  1363.  -5905.   4129.  2060.   1647.
249.65	-109.  3869.  -3920.   4417.  1877.   6243.
249.43	-2378.  2510.  -3704.   3643.  1797.   4246.
248.16	-12676.   490.  -6881.   4131.  1691.   -569.
248.02	-1338.  5270.  -5936.   4781.  1779.   5894.
247.72	-2653.  1082.  -2421.   2230.  1595.   2486.
247.29	-3782.   843.  -2747.   2108.  1590.   1794.
250.23	29282. 18456.  -3694.   9929.  1450.  26141.
250.95	8358. 27226. -23011.  33808.  1349.  39372.
250.50	-5224. 19857. -22491.  37875.  1550.  36791.
250.15	-4063.  2573.  -4618.   3233.  1866.   3054.
250.09	-696.  3181.  -3530.   3376.  1810.   4837.
255.98	78427. 43497.  -3957.  17088.  1410.  58038.
250.98	-68096.  1788. -36119.  47910.  1786.  15365.
250.51	-5456.  3985.  -6733.   5046.  2455.   4753.
249.40	-12408.   109.  -6361.   4511.  2141.    400.
251.66	26286. 22595.  -9369.  21495.  1810.  36531.
250.23	-17128. 17049. -25685.  45923.  1574.  38861.
250.36	1509.  8686.  -7929.  19323.  1633.  21713.
250.71	4063. 23431. -21385.  48433.  1669.  52148.
250.19	-6036. 11941. -14987.  40101.  1848.  38903.
250.63	5107. 17285. -14710.  35771.  1953.  40299.
251.78	13974. 10528.  -3479.  16990.  1868.  25907.
251.76	-248. 11179. -11302.  24030.  2034.  25941.
250.88	-10824.  2003.  -7461.  10129.  2242.   6913.
250.62	-3018.  3157.  -4677.   4163.  2452.   5095.
251.05	5031.  6720.  -4189.   7657.  2280.  12468.
251.73	8439. 95470. -91219. 118210.  2139. 124600.
250.11	-19390. 14136. -23905.  32939.  2228.  25398.
250.14	348.  8061.  -7886.  15725.  1998.  17898.
250.60	5340. 23046. -20357.  36544.  2022.  41255.
250.73	1509. 15789. -15028.  32932.  1981.  35674.
250.15	-6733. 24658. -28053.  44514.  1807.  42926.
250.37	2554. 15013. -13726.  30385.  2094.  33766.
255.25	64410. 38538.  -6037.  16715.  2130.  51346.
250.68	-60812.  1597. -32255.  39825.  2490.  11657.
250.93	2902.  6679.  -5215.   7278.  2397.  11139.
251.02	1061.  7522.  -6986.   5127.  2793.   8456.
249.76	-14451.  1107.  -8391.   2983.  2854.  -1447.
248.99	-8314.  2944.  -7135.   2859.  2455.   1123.
248.21	-7452.  1012.  -4769.   2923.  2310.   1476.
248.98	7357.  5733.  -2024.   2828.  1999.   8536.
249.85	9382.  6737.  -2005.   2947.  1992.   9671.
258.02	113200. 73322. -16251.  34117.  2000.  93188.
256.94	-17317. 68559. -77288. 101884.  1848.  95003.
257.83	14253. 111201. -104014. 126789.  2202. 136178.
250.81	-99112.  8462. -58609.  76721.  2209.  28783.
251.47	8038.  5933.  -1880.   5016.  2494.  11563.
250.85	-7573.  1127.  -4945.   4528.  2722.   3432.
249.97	-10191.  2047.  -7184.   2978.  3017.    858.
249.09	-9516.  2399.  -7196.   2950.  2811.    964.
248.40	-6706.  2665.  -6046.   3013.  2760.   2392.
247.06	-12088.  1052.  -7139.   4445.  2794.   1152.
246.27	-6377.  1008.  -4225.   2539.  2374.   1696.
247.38	9191.  5769.  -1135.   1849.  2149.   8632.
251.51	43757. 40347. -18285.  25274.  2206.  49542.
250.29	-14571.  4914. -12260.  18767.  2023.  13444.
251.03	8614. 17754. -13409.  21898.  2256.  28499.
251.84	10052. 16626. -11669.  18343.  2459.  25759.
250.68	-14139.  3548. -10676.  10958.  2798.   6628.
249.95	-8434.  2480.  -6730.   4430.  3106.   3286.
248.51	-14954.   538.  -8078.   5500.  3083.   1043.
247.90	-5752.  6562.  -9462.   6023.  3101.   6224.
264.25	248585. 150131. -24802.  34810.  2500. 162639.
255.00	-162321. 8439. -90113.  97836.  2665.  18827.
251.95	-41620.  4568. -25554.  27494.  2383.   8891.
251.98	372.  7308.  -7123.  10478.  2331.  12994.
253.97	26664. 23674. -10230.  19363.  2143.  34950.
251.86	-28153. 10344. -24538.  57901.  2087.  45794.
251.69	-2110. 16139. -17205.  27921.  2321.  29176.
253.27	20681. 24902. -14490.  28514.  2233.  41159.
251.98	-17082.  3078. -11691.  19265.  3031.  13683.
252.20	2876.  4550.  -3101.   3855.  3140.   8444.
253.09	11742. 14964.  -9043.  10688.  2930.  19539.
251.19	-24421.  3096. -15409.  23463.  2943.  14093.
251.52	4095.  5444.  -3381.   3295.  3015.   8373.
250.48	-12489.   188.  -6486.   2999.  3008.   -291.
249.98	-5788.  1592.  -4510.   2880.  2768.   2730.
249.90	-865.  3610.  -4044.   2930.  2102.   4598.
249.86	-433.  2615.  -2833.   2965.  2217.   4964.
251.33	17217. 10152.  -1471.   2696.  1876.  13253.
257.34	84943. 53260. -10435.  16411.  2318.  61554.
251.57	-81965. 17762. -59441.  63151.  2511.  23983.
251.03	-6701.   877.  -4259.   4133.  3001.   3752.
251.43	4964.  7323.  -4821.   4727.  2726.   9955.
251.96	6577.  9898.  -6583.   3820.  2976.  10111.
251.28	-8438.  4159.  -8417.   8889.  3014.   7645.
250.47	-9627.  1188.  -6042.   4553.  2756.   2455.
249.03	-15945.  1145.  -9160.   5016.  2778.   -221.
247.89	-10846.    96.  -5565.   2998.  2592.    121.
247.50	-3430.  1197.  -2923.   1860.  2159.   2293.
250.25	27667. 14613.   -665.   1560.  2091.  17599.
250.67	4875.  5439.  -2980.   1560.  1852.   5871.
251.71	12641.  7542.  -1170.   1830.  2124.  10326.
251.41	-3722.  1600.  -17876.  28000. 2200. 28324.
250.16	-14839.   902.  -8384.   4335.  2803.   -344.
248.22	-20123.    48. -10197.   5004.  3178.  -1967.
246.71	-13219.   395.  -7059.   4052.  2520.    -92.
245.40	-10092.  2323.  -7412.   4062.  2772.   1745.
244.68	-5076.  2368.  -4928.   3225.  2311.   2976.
253.59	91885. 51294.  -4970.   7700.  2198.  56222.
251.90	-22456. 10083. -21405.  40047.  2056.  30781.
251.98	993. 31891. -31391.  58290.  2130.  60920.
252.68	9182.  8126.  -3496.  13500.  2276.  20406.
255.27	36049. 30119. -11941.  39524.  1960.  59662.
258.18	45247. 59119. -36306.  66482.  2245.  91540.
253.98	-63677. 62358. -94638. 117786.  2176.  87682.
254.30	4526. 31327. -29046.  45375.  2478.  50134.
251.53	-36911.  8119. -26728.  45383.  2402.  29176.
251.87	4219. 18822. -16698.  22433.  2777.  27334.
251.55	-3971. 14757. -16761.  24788.  2723.  25507.
251.78	2854. 11402.  -9965.  15404.  2551.  19392.
251.24	-6701.  3526.  -6900.   6548.  2680.   5854.
251.42	2234.  4525.  -3398.   4561.  2342.   8030.
251.72	3722. 16743. -14869.  29671.  2309.  33854.
251.62	-1240.  3006.  -3632.   5714.  2351.   7439.
251.76	1737. 12990. -12115.  24752.  2250.  27877.
251.97	2606.  4398.  -3086.   8719.  2448.  12479.
251.61	-4468.  6736.  -9033.  14142.  2531.  14376.
251.77	1986.  5735.  -4737.   4720.  3236.   8954.
251.07	-8686.   939.  -5320.   3465.  2938.   2022.
250.97	-1217.  4399.  -5014.   3195.  2967.   5547.
253.18	28359. 26645. -12351.  13825.  2730.  30849.
251.62	-20317.  8542. -18787.  23699.  2596.  16050.
251.56	-745.  4443.  -4820.   3343.  2719.   5685.
252.43	11109. 12466.  -6866.   9558.  2398.  17556.
251.83	-7759. 13412. -17324.  23480.  2345.  21913.
251.89	745. 16607. -16231.  23808.  2384.  26568.
252.25	4650.  7039.  -4692.  13334.  2124.  17805.
252.55	3941. 19719. -17735.  40991.  2369.  45344.
251.38	-14920.  5215. -12793.  22720.  2528.  17670.
251.07	-3846.  1754.  -3697.   3264.  2875.   4196.
250.63	-5164.  2058.  -4659.   3775.  3043.   4217.
249.55	-12179.   616.  -6753.   4079.  3172.   1114.
248.20	-13591.  1253.  -8106.   4219.  3165.    531.
245.86	-19744.     0.  -9958.   4949.  3339.  -1670.
244.20	-11661.  1245.  -7122.   4067.  2955.   1145.
243.86	-2187.  2880.  -3983.   2594.  2458.   3949.
248.26	34165. 17425.   -201.   1812.  2243.  21279.
249.72	14856.  8742.  -1254.   1879.  2055.  11422.
250.78	12082.  7017.   -927.   1734.  1778.   9602.
250.65	-1509.  2689.  -3449.   1922.  2041.   3203.
251.58	11260.  9129.  -3451.   1946.  2107.   9731.
251.25	-4095.  2066.  -4135.   3820.  2304.   4055.
253.23	25593. 30423. -17521.  22534.  2347.  37783.
251.44	-23235. 11515. -23230.  25172.  2545.  16002.
250.33	-13237.  2040.  -8713.   4284.  2880.    491.
250.89	6500.  7853.  -4578.   3088.  2452.   8815.
250.89	0.  3802.  -3800.   3159.  2387.   5548.
257.25	88870. 60704. -15901.  23923.  2057.  70783.
253.53	-54791. 15838. -43465.  45111.  2054.  19538.
251.62	-25108. 14317. -26975.  44171.  2020.  33533.
251.79	2109.  6732.  -5670.  13455.  1891.  16408.
251.81	248. 18727. -18601.  29304.  2272.  31702.
251.86	621. 22922. -22610.  29211.  2281.  31804.
251.16	-8687.  2691.  -7075.   5828.  2798.   4242.
250.24	-10807.  1001.  -6446.   4064.  2804.   1423.
248.78	-15701.   488.  -8405.   4246.  2893.   -778.
246.61	-19372.   443. -10210.   5293.  3036.  -1438.
244.50	-15569.   444.  -8295.   4003.  2525.  -1323.
243.54	-6138.  2721.  -5817.   3655.  2315.   2874.
242.21	-7628.   166.  -4012.   2173.  1928.    255.
242.97	4183    4270  -2161    1706   1935    5750
242.77	-1101.  1168.  -1724.   1736.  1950.   3130.
243.80	6126.  4342.  -1255.   1572.  1756.   6415.
249.69	49062. 25510.   -776.    942.  1812.  27488.
252.98	40244. 27012.  -6726.  11304.  1843.  33433.
251.76	-15853.  2839. -10834.  12860.  2038.   6903.
251.19	-7073   3675   -7241     3532  2472    2438
251.16	-373.  4944.  -5133.   3171.  2422.   5404.
251.23	869.  8383.  -7941.   4823.  2560.   7825.
253.64	31454. 47618. -31760.  39831.  2215.  57904.
251.36	-29841.   438. -15485.  14788.  2308.   2049.
251.68	3971.  4693.  -2694.   2910.  2001.   6910.
252.06	4759. 18841. -16441.  26366.  1939.  30705.
252.06	0. 14099. -14098.  20822.  1990.  22813.
252.44	4993.  5234.  -2717.   4013.  1818.   8348.
255.42	41414. 50367. -29488.  50135.  2043.  73057.
251.67	-51290.   199. -26058.  40051.  2064.  16256.
251.76	1117.  2754.  -2194.   3258.  2300.   6118.
251.21	-6825.  8139. -11583.  20223.  2362.  19141.
250.09	-13169.   881.  -7517.   4950.  2626.    940.
249.03	-11534.   109.  -5921.   4100.  2530.    818.
248.44	-5675.  2890.  -5753.   4032.  2330.   3499.
247.41	-9392.   710.  -5447.   3005.  2260.    528.
252.24	52726. 41092. -14509.  25027.  1997.  53607.
253.76	20389. 44164. -33883.  73543.  1975.  85799.
255.30	21883. 29840. -18807.  34894.  2006.  47933.
253.08	-31192. 38058. -53786.  75479.  1843.  61594.
252.96	-1621. 16583. -17398.  24669.  2016.  25870.
251.45	-19437.   586. -10387.  13221.  2143.   5563.
254.19	36345. 24067.  -5746.  12328.  2199.  32848.
251.63	-34111.  2434. -19631.  18923.  2175.   3901.
250.88	-9211.  2629.  -7275.   3438.  2462.   1254.
250.12	-8822.  1696.  -6141.   3063.  2324.    942.
249.98	-1609.  6933.  -7742.   3679.  2336.   5206.
249.52	-4974.  2014.  -4517.   2911.  2018.   2426.
248.88	-6770.   763.  -4177.   2379.  1580.    545.
248.87	-95.  2601.  -2648.   1857.  1520.   3330.
248.84	-287.  1686.  -1831.   1922.  1623.   3400.
249.40	5854.  5997.  -3044.   2146.  1534.   6633.
251.94	29760. 15730.   -729.   2510.  1750.  19261.
252.47	6920.  8261.  -4770.   6907.  1734.  12132.
252.48	131.  6864.  -6800.   8575.  1968.  10607.
251.18	-16481.  1002.  -9312.   5406.  2328.   -576.
249.96	-14275.  1106.  -8300.   4666.  2279.   -249.
248.75	-12769.   545.  -6983.   3891.  2075.   -472.
248.29	-4395.  2746.  -4960.   3439.  1976.   3201.
247.47	-7432.  1817.  -5561.   3057.  1971.   1284.
247.76	2550.  4744.  -3458.   2803.  1749.   5838.
248.54	7271.  4866.  -1200.   2298.  1645.   7609.
248.79	2388.  3130.  -1928.   1953.  1651.   4806.
249.65	9035.  5714.  -1155.   1827.  1588.   7974.
253.50	47785. 24737.   -648.   2478.  1739.  28306.
252.73	-10392.  1590.  -6828.   7280.  1706.   3748.
251.98	-9839.  5026.  -9986.  13821.  1917.  10778.
251.25	-9059.  1981.  -6548.   3320.  2004.    757.
250.49	-9022.  2297.  -6846.   3986.  2112.   1549.
250.30	-2206.  4098.  -5206.   3538.  1951.   4381.
251.73	17185. 11855.  -3190.   3446.  1832.  13943.
251.21	-6453.  1190.  -4447.   3245.  1771.   1759.
250.59 	-7365.   701.  -4414.   2067.  1671.     25.
251.29	8358.  6730.  -2514.   1798.  1725.   7739.
252.00	8810. 17320. -12877.  20237.  1795.  26475.
252.92	12087. 12918.  -6827.  19789.  1546.  27426.
252.03	-11693.  5633. -11532.  19523.  1694.  15318.
252.15	1577.  7454.  -6659.  15967.  1649.  18411.
251.60	-6935. 21025. -24523.  32570.  1763.  30835.
252.77	15080. 32655. -25055.  31027.  1811.  40438.
251.49	-16445. 15831. -24122.  45557.  1848.  39114.

	

 

