observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111286.58992187321 3966.9421487603304  2583.10865360423  2583.10865360423 249.7777175549684  4.740770824866507E8  8.30568870515368E7  65629.0  175079.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155517.52608484746 61487.603305785095  2315.121021240963  2315.121021240963 253.3392239086016  4.909604925652615E8  8372960.840264454  65829.0  175605.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183363.57156672477 85289.25619834714  2707.2801997757315  2707.2801997757315 255.31302180113389  4.921232308622801E8  9.179249496259968E7  66030.0  176171.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216174.92847548975 107107.4380165289  2145.2603547063304  2145.2603547063304 257.45126095874264  4.455418168761263E8  1.715548989131334E7  66230.0  176733.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226599.78711161544 182479.33884297524  2441.8124108995034  2441.8124108995034 258.0963166573733  4.9433006275848365E8  3.232863564941007E7  66430.0  177246.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215096.77549517687 126942.14876033053  2438.4849561082597  2438.4849561082597 257.38411978423073  4.793959948340318E8  4.6545026407970734E7  66631.0  177757.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142655.29906 30743.785 2459.5028 252.87 66345.08803 125113.59536410542 152727.27272727274  3600.9954337987933  3600.9954337987933 250.98341793281404  4.9642872483169407E8  2.8024664943925864E8  66831.0  178270.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108916.47435999998 44390.058600000004 2499.1722 250.15 13150.4061 122416.3777959946 11900.826446280991  3946.797221829826  3946.797221829826 250.75105942418975  4.8139035153724927E8  3.698687699450162E8  67031.0  178761.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
133450.01479 34801.96462 2520.99037 252.17 61856.49542000001 126286.68856280316 53553.71900826446  4432.465644927018  4432.465644927018 251.0783784803613  4.9854018872024125E8  4.5746960829456913E8  67232.0  179299.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101845.40380999997 55031.37515 2643.96551 249.5 26070.729680000004 126026.75269465265 23801.652892561982  2529.0126555885404  2529.0126555885404 251.05743111408273  4.995755462148451E8  4.58908079999493E7  67432.0  179802.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
85124.75170999997 15590.0742 2618.1804 247.8 1487.6025 118701.30005352906 5950.413223140496  2862.6419179830814  2862.6419179830814 250.43101482197872  4.844789334816254E8  1.329457547545208E8  67632.0  180314.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76455.00433999997 10514.37447 2828.4282200000002 246.8 4673.0553199999995 110794.34015910808 9917.355371900827  2662.6598425201405  2662.6598425201405 249.7321936704992  5.016927584579872E8  7.259909160610484E7  67833.0  180833.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68600.46313999998 8509.0863 2499.1722 245.81 3153.7173000000003 107085.50493562211 3570.2479338842977  3292.304589601667  3292.304589601667 249.3891958693815  4.865260891400885E8  2.235697569539536E8  68033.0  181345.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83541.94264999998 3566.2790600000003 2336.5276599999997 247.63 20844.28623 111595.16723402902 13884.297520661159  2450.3264109319043  2450.3264109319043 249.80625517747424  5.0384902074222076E8  2.4646007169874497E7  68234.0  181885.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
