para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,29315.44013571983,5.51836,0.9436666666666667
2,38973.347430462134,7.41221,0.8983333333333333
3,30233.293575839776,10.24374,0.8420000000000001
4,26300.610127736785,12.93214,0.8003333333333333
1,40489.85523586005,5.41043,0.9463333333333334
2,31150.65443899731,10.16144,0.8436666666666667
3,37918.202393461965,12.93725,0.8003333333333333
1,39332.88344202005,5.38646,0.9470000000000001
2,30350.807736915383,7.04969,0.9066666666666667
3,41536.29128850915,8.93228,0.8666666666666667
4,31309.241834825847,12.91834,0.8003333333333333
1,34154.32873096611,6.18375,0.927
2,40987.621390573215,8.1873,0.8806666666666667
3,26237.925851499767,12.92416,0.8003333333333333
1,38562.53051108431,5.95074,0.9326666666666666
2,45196.11295087249,7.65308,0.8926666666666667
3,36157.22045313935,12.91058,0.8003333333333333
1,44538.74668627533,4.83216,0.9603333333333334
2,35696.345520556024,7.48915,0.8963333333333333
3,27342.095906810762,10.32042,0.8403333333333334
4,37383.36491039501,12.91019,0.8003333333333333
1,40607.08649510605,5.02137,0.956
2,36136.03977550184,7.7395,0.891
3,26625.265077801665,10.23124,0.8423333333333334
4,32196.01379341424,12.9316,0.8003333333333333
1,42164.9789990426,5.25842,0.95
2,29218.028221852,7.24807,0.902
3,34047.37564680943,9.61332,0.8536666666666667
4,28211.986168168725,12.92168,0.8003333333333333
1,39794.86816786626,5.7219,0.9383333333333334
2,28230.08199625764,7.57433,0.8943333333333333
3,35334.05283830114,10.16091,0.8433333333333334
4,30755.838921644514,12.91269,0.8003333333333333
1,36996.18741907745,6.41668,0.921
2,28354.388443496588,12.9202,0.8003333333333333
