para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,31348.2022899998,4.86259,0.8991666666666667
2,27040.24638592106,6.5424,0.795
3,18635.390673505302,10.02459,0.615
4,10777.712220056996,12.92337,0.5008333333333334
1,29486.070334677323,5.7343,0.845
2,18512.986434776514,8.98765,0.6633333333333333
3,9869.926285576892,12.92386,0.5008333333333334
1,27633.304665336367,5.02185,0.8891666666666667
2,21570.32326978946,7.09062,0.7641666666666667
3,15353.196384072144,12.92863,0.5008333333333334
1,31058.439573735042,6.74856,0.7841666666666667
2,16874.573662954575,9.64865,0.6333333333333333
3,11291.846821166528,12.93565,0.5008333333333334
1,32055.208281073057,5.07882,0.8858333333333334
2,21514.274671516367,7.22785,0.7558333333333334
3,13331.987625202364,9.16107,0.655
4,10078.996194033352,12.91677,0.5008333333333334
1,28855.645961535392,6.5219,0.7966666666666666
2,16085.160039733913,12.92912,0.5008333333333334
1,32839.89507481432,5.94498,0.8325
2,20203.42091434367,10.04845,0.6141666666666667
3,11106.031240761582,12.93169,0.5008333333333334
1,28306.303754914552,6.16951,0.8183333333333334
2,21724.946137344832,9.23162,0.6525000000000001
3,11863.785492559013,12.93237,0.5008333333333334
1,27234.172480446185,4.92265,0.8958333333333334
2,19505.42438543309,10.02771,0.615
3,14682.91589387527,12.93165,0.5008333333333334
1,31765.291028406653,6.53172,0.7958333333333334
2,18888.12249704443,12.91923,0.5008333333333334
