index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
19,7,0.982,3.52742,54.0964825336983,31347.6123456163,33269.9174405037,64.5176581877219,50.9885706594207,22590.6287943985,28592.485674169,5020.17400811467,5793.50515116832,-1.39705407743288,-2.09531772520085
20,8,0.981,3.53985,63.2738226707647,32053.1148070212,33269.9174405037,70.2782704159984,50.9885706594207,24077.5184542101,28592.485674169,5053.41521996397,5793.50515116832,-1.17053100006011,-2.09531772520085
21,9,0.98,3.55249,61.3684856186223,32758.617268426,33269.9174405037,76.038882644275,50.9885706594207,25564.4081140217,28592.485674169,5086.65643181326,5793.50515116832,-0.944007922687347,-2.09531772520085
22,10,0.979,3.56524,47.6345880324184,32426.251154693,33269.9174405037,77.1665174012127,50.9885706594207,26253.8655313832,28592.485674169,5131.05817399409,5793.50515116832,-0.914412790936243,-2.09531772520085
23,11,0.978,3.57819,51.5823264565045,32093.88504096,33269.9174405037,78.2941521581505,50.9885706594207,26943.3229487448,28592.485674169,5175.45991617491,5793.50515116832,-0.884817659185139,-2.09531772520085
24,12,0.977,3.59102,155.661602396128,31185.4098688392,33269.9174405037,75.2804874325571,50.9885706594207,26883.6008477626,28592.485674169,5179.38583701738,5793.50515116832,-1.03653062125179,-2.09531772520085
25,1,0.976,3.6036,176.172143589769,30276.9346967184,33269.9174405037,72.2668227069636,50.9885706594207,26823.8787467805,28592.485674169,5183.31175785985,5793.50515116832,-1.18824358331844,-2.09531772520085
26,2,0.975,3.61617,120.788304494914,29322.9204239023,33269.9174405037,66.8237303066014,50.9885706594207,26320.6261387722,28592.485674169,5164.81958380897,5793.50515116832,-1.43941573108652,-2.09531772520085
27,3,0.974,3.62927,50.2933954322494,28368.9061510862,33269.9174405037,61.3806379062392,50.9885706594207,25817.3735307639,28592.485674169,5146.32740975809,5793.50515116832,-1.69058787885459,-2.09531772520085
28,4,0.973,3.6426,46.856938994318,27848.6440513332,33269.9174405037,56.4115354620804,50.9885706594207,25014.4211847176,28592.485674169,5147.74801018779,5793.50515116832,-1.88718354969217,-2.09531772520085
29,5,0.972,3.65563,45.371166669936,27328.3819515801,33269.9174405037,51.4424330179215,50.9885706594207,24211.4688386714,28592.485674169,5149.16861061748,5793.50515116832,-2.08377922052975,-2.09531772520085
30,6,0.971,3.66856,25.2771898829985,29658.0611452316,33269.9174405037,51.2335768150475,50.9885706594207,25079.2145818292,28592.485674169,5179.81944299982,5793.50515116832,-2.08099028514834,-2.09531772520085
31,7,0.97,3.68151,4.56077991501926,31987.7403388831,33269.9174405037,51.0247206121735,50.9885706594207,25946.9603249869,28592.485674169,5210.47027538216,5793.50515116832,-2.07820134976692,-2.09531772520085
32,8,0.969,3.69447,-5.44705556742828,39023.9358166077,33269.9174405037,60.0078846246296,50.9885706594207,30866.6944330394,28592.485674169,5245.82450019286,5793.50515116832,-1.77088952223605,-2.09531772520085
33,9,0.968,3.70697,-26.9513092284317,46060.1312943323,33269.9174405037,68.9910486370857,50.9885706594207,35786.4285410919,28592.485674169,5281.17872500356,5793.50515116832,-1.46357769470517,-2.09531772520085
34,10,0.967,3.71939,34.146786115225,52232.7137821602,33269.9174405037,80.9032111032979,50.9885706594207,41867.8324111814,28592.485674169,5308.10430488668,5793.50515116832,-1.06315692211316,-2.09531772520085
35,11,0.966,3.73205,50.0338233884812,58405.2962699881,33269.9174405037,92.8153735695101,50.9885706594207,47949.2362812708,28592.485674169,5335.0298847698,5793.50515116832,-0.662736149521152,-2.09531772520085
36,12,0.965,3.7449,48.6792626446978,62167.4077754962,33269.9174405037,101.387688487844,50.9885706594207,52524.2868807475,28592.485674169,5336.46228643946,5793.50515116832,-0.361862831467636,-2.09531772520085
37,1,0.964,3.75784,187.627919088352,65929.5192810043,33269.9174405037,109.960003406178,50.9885706594207,57099.3374802241,28592.485674169,5337.89468810912,5793.50515116832,-0.0609895134141195,-2.09531772520085
38,2,0.963,3.77074,317.736675349824,67630.4945271486,33269.9174405037,116.256794810909,50.9885706594207,59279.2326721885,28592.485674169,5306.69230187674,5793.50515116832,0.191228218305911,-2.09531772520085
39,3,0.962,3.78396,274.340109439006,69331.4697732929,33269.9174405037,122.553586215641,50.9885706594207,61459.1278641529,28592.485674169,5275.48991564436,5793.50515116832,0.443445950025941,-2.09531772520085
40,4,0.961,3.797,171.447646849265,68618.3504611663,33269.9174405037,126.01146031934,50.9885706594207,61496.0713882403,28592.485674169,5276.11617330734,5793.50515116832,0.618233994652454,-2.09531772520085
41,5,0.96,3.81013,78.5460387511686,67905.2311490396,33269.9174405037,129.469334423039,50.9885706594207,61533.0149123278,28592.485674169,5276.74243097032,5793.50515116832,0.793022039278968,-2.09531772520085
42,6,0.959,3.82306,77.7587197217105,63673.5586792666,33269.9174405037,125.960374582558,50.9885706594207,59110.454097234,28592.485674169,5333.87102514006,5793.50515116832,0.729985830714176,-2.09531772520085
43,7,0.958,3.83602,87.421529423476,59441.8862094936,33269.9174405037,122.451414742077,50.9885706594207,56687.8932821402,28592.485674169,5390.9996193098,5793.50515116832,0.666949622149385,-2.09531772520085
44,8,0.957,3.84969,77.9370888952255,53317.8945888333,33269.9174405037,110.773455198847,50.9885706594207,52041.5770918067,28592.485674169,5503.28263559638,5793.50515116832,0.293213912209149,-2.09531772520085
45,9,0.956,3.86257,76.7871812371222,47193.9029681729,33269.9174405037,99.0954956556177,50.9885706594207,47395.2609014732,28592.485674169,5615.56565188297,5793.50515116832,-0.0805217977310864,-2.09531772520085
46,10,0.955,3.87531,47.1487294065531,43253.0040827752,33269.9174405037,87.5324752787424,50.9885706594207,42823.4663702736,28592.485674169,5706.48815479286,5793.50515116832,-0.506383987222435,-2.09531772520085
47,11,0.954,3.88833,90.1916077960103,39312.1051973776,33269.9174405037,75.9694549018672,50.9885706594207,38251.671839074,28592.485674169,5797.41065770275,5793.50515116832,-0.932246176713784,-2.09531772520085
48,12,0.953,3.90145,158.140242533071,36906.7642604425,33269.9174405037,68.0877520815027,50.9885706594207,35092.7909820742,28592.485674169,5796.76173160227,5793.50515116832,-1.2738583644402,-2.09531772520085
