index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
1,1,1,3.3132,66.8896136870941,43264.4784890532,38562.5305110841,60.0177137419753,63.8066148448159,38344.2914994828,34795.5919225524,4636.32653530405,5987.84214147944,-1.82042090001282,-1.75019064902753
2,2,0.999666666666667,3.3132,235.933960103512,44647.4434839406,38562.5305110843,66.3561099292708,63.8066148448159,39315.6002859267,34795.5919225526,4671.81275630335,5987.8421414794,-1.55017665257079,-1.75019064902755
3,3,0.999333333333333,3.32644,156.201681563769,46030.408478828,38562.5305110843,72.6945061165664,63.8066148448159,40286.9090723707,34795.5919225526,4707.29897730265,5987.8421414794,-1.27993240512876,-1.75019064902755
4,4,0.999,3.33947,50.5786168299167,47476.6505040946,38562.5305110843,79.0615904631902,63.8066148448159,41403.8046913401,34795.5919225526,4752.82292762008,5987.8421414794,-1.02019372486496,-1.75019064902755
5,5,0.998666666666667,3.35282,44.7092220562951,48922.8925293611,38562.5305110843,85.428674809814,63.8066148448159,42520.7003103096,34795.5919225526,4798.34687793752,5987.8421414794,-0.760455044601172,-1.75019064902755
6,6,0.998333333333333,3.36557,79.1671752380113,50325.4003132858,38562.5305110843,91.5974968384371,63.8066148448159,43695.8806743716,34795.5919225526,4844.33462196374,5987.8421414794,-0.519105908841855,-1.75019064902755
7,7,0.998,3.37852,64.4787892770752,51727.9080972104,38562.5305110843,97.7663188670602,63.8066148448159,44871.0610384336,34795.5919225526,4890.32236598996,5987.8421414794,-0.277756773082538,-1.75019064902755
8,8,0.997666666666667,3.39127,65.0776269717117,53029.6824856894,38562.5305110843,103.705927235696,63.8066148448159,46037.6778261875,34795.5919225526,4929.88027858702,5987.8421414794,-0.0475901157666098,-1.75019064902755
9,9,0.997333333333333,3.40433,77.903831209055,54331.4568741685,38562.5305110843,109.645535604331,63.8066148448159,47204.2946139414,34795.5919225526,4969.43819118408,5987.84214147941,0.182576541549318,-1.75019064902755
10,10,0.997,3.41725,48.9906110814143,55177.5701239692,38562.5305110843,114.253477881123,63.8066148448159,48386.8460452583,34795.5919225526,5030.20936434253,5987.84214147941,0.34582699332314,-1.75019064902755
11,11,0.996666666666667,3.42984,51.2348068300394,56023.6833737699,38562.5305110843,118.861420157914,63.8066148448159,49569.3974765752,34795.5919225526,5090.98053750098,5987.84214147941,0.509077445096963,-1.75019064902755
12,12,0.996333333333333,3.44277,170.636915478795,55132.0382233582,38562.5305110843,118.879353392625,63.8066148448159,49452.3338201753,34795.5919225526,5171.70260091499,5987.84214147941,0.481313252241804,-1.75019064902755
13,1,0.996,3.45589,249.129593545914,54240.3930729465,38562.5305110843,118.897286627335,63.8066148448159,49335.2701637754,34795.5919225526,5252.42466432899,5987.84214147941,0.453549059386645,-1.75019064902755
14,2,0.995666666666667,3.46896,239.810311208731,53341.132177243,38562.5305110843,117.768797112603,63.8066148448159,48459.6038839389,34795.5919225526,5316.62255863714,5987.84214147941,0.401140963118642,-1.75019064902755
15,3,0.995333333333333,3.48113,219.158527561658,52441.8712815396,38562.5305110843,116.64030759787,63.8066148448159,47583.9376041023,34795.5919225526,5380.82045294529,5987.84214147941,0.348732866850639,-1.75019064902755
16,4,0.995,3.49457,89.0959598860542,50978.9810583601,38562.5305110843,114.67788134744,63.8066148448159,46358.9917550777,34795.5919225526,5418.22516356601,5987.84214147941,0.30016740931076,-1.75019064902755
17,5,0.994666666666667,3.50749,67.1673589017759,49516.0908351805,38562.5305110843,112.715455097009,63.8066148448159,45134.045906053,34795.5919225526,5455.62987418673,5987.84214147941,0.251601951770881,-1.75019064902755
18,6,0.994333333333333,3.52059,66.8242937661712,48354.9447928765,38562.5305110843,108.801647702626,63.8066148448159,44342.8524580886,34795.5919225526,5477.9649576363,5987.84214147941,0.146714810503995,-1.75019064902755
19,7,0.994,3.53361,26.8896413138417,47193.7987505726,38562.5305110843,104.887840308242,63.8066148448159,43551.6590101242,34795.5919225526,5500.30004108586,5987.84214147941,0.0418276692371091,-1.75019064902755
20,8,0.993666666666667,3.54664,83.7044957861088,47913.5667968347,38562.5305110843,102.569706009494,63.8066148448159,43634.2862241255,34795.5919225526,5518.56819682105,5987.84214147941,-0.0306895680026727,-1.75019064902755
21,9,0.993333333333333,3.55907,69.9204368009853,48633.3348430968,38562.5305110843,100.251571710746,63.8066148448159,43716.9134381267,34795.5919225526,5536.83635255624,5987.84214147941,-0.103206805242454,-1.75019064902755
22,10,0.993,3.57195,46.3707813658352,50105.0109396009,38562.5305110843,100.917784918179,63.8066148448159,44619.9285259345,34795.5919225526,5559.88314772988,5987.84214147941,-0.0941614559336915,-1.75019064902755
23,11,0.992666666666667,3.58453,60.2965242438445,51576.687036105,38562.5305110843,101.583998125612,63.8066148448159,45522.9436137424,34795.5919225526,5582.92994290351,5987.84214147941,-0.0851161066249287,-1.75019064902755
24,12,0.992333333333333,3.59747,140.419862720919,51772.8587465926,38562.5305110843,102.61039498452,63.8066148448159,45759.2798863148,34795.5919225526,5583.52170184251,5987.84214147941,-0.0689131270179922,-1.75019064902755
25,1,0.992,3.61053,65.206998178175,51969.0304570802,38562.5305110843,103.636791843428,63.8066148448159,45995.6161588872,34795.5919225526,5584.1134607815,5987.84214147941,-0.0527101474110557,-1.75019064902755
26,2,0.991666666666667,3.62375,282.144439632963,50565.6439603666,38562.5305110843,104.11426329935,63.8066148448159,44699.3773947118,34795.5919225526,5595.66720654273,5987.84214147941,-0.0410645710897035,-1.75019064902755
27,3,0.991333333333333,3.63677,202.543453838589,49162.2574636529,38562.5305110843,104.591734755273,63.8066148448159,43403.1386305364,34795.5919225526,5607.22095230396,5987.84214147941,-0.0294189947683513,-1.75019064902755
28,4,0.991,3.6494,89.1854686853183,46849.7930695044,38562.5305110843,103.913764829267,63.8066148448159,41375.8025769203,34795.5919225526,5657.40873413379,5987.84214147941,-0.0376586650895034,-1.75019064902755
29,5,0.990666666666667,3.66258,80.1782779147409,44537.3286753559,38562.5305110843,103.235794903261,63.8066148448159,39348.4665233042,34795.5919225526,5707.59651596362,5987.84214147941,-0.0458983354106555,-1.75019064902755
30,6,0.990333333333333,3.67537,80.1372967908762,41874.6257837777,38562.5305110843,100.387222570658,63.8066148448159,37142.447739037,34795.5919225526,5744.70944547947,5987.84214147941,-0.119792169631962,-1.75019064902755
31,7,0.99,3.68834,76.9430978556743,39211.9228921994,38562.5305110843,97.538650238055,63.8066148448159,34936.4289547699,34795.5919225526,5781.82237499531,5987.84214147941,-0.193686003853268,-1.75019064902755
32,8,0.989666666666667,3.70132,67.5511291715479,37131.412709289,38562.5305110843,92.8017175596268,63.8066148448159,33240.0343244488,34795.5919225526,5800.55631924459,5987.84214147941,-0.346702323122796,-1.75019064902755
33,9,0.989333333333333,3.71446,62.298896449769,35050.9025263787,38562.5305110843,88.0647848811986,63.8066148448159,31543.6396941276,34795.5919225526,5819.29026349387,5987.84214147941,-0.499718642392323,-1.75019064902755
34,10,0.989,3.72768,40.5191827377562,34000.3532222835,38562.5305110843,82.3414269452427,63.8066148448159,30625.1124191417,34795.5919225526,5808.85202805866,5987.84214147941,-0.721249135288731,-1.75019064902755
35,11,0.988666666666667,3.74073,47.433005625638,32949.8039181884,38562.5305110843,76.6180690092867,63.8066148448159,29706.5851441558,34795.5919225526,5798.41379262345,5987.84214147941,-0.942779628185138,-1.75019064902755
36,12,0.988333333333333,3.75367,48.2101638896481,32549.3863983668,38562.5305110843,70.2575930834824,63.8066148448159,29583.7235736144,34795.5919225526,5763.88331032583,5987.84214147941,-1.22498382410219,-1.75019064902755
37,1,0.988,3.76695,92.0383767057489,32148.9688785452,38562.5305110843,63.897117157678,63.8066148448159,29460.862003073,34795.5919225526,5729.35282802822,5987.84214147941,-1.50718802001924,-1.75019064902755
