index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
1,1,1,3.31478,50.6119320857187,17612.1419030832,39332.8834420199,32.2119827362973,71.1598225414441,17982.3962224774,33281.4616896878,4184.91892926926,5814.30327962833,-2.95273136732266,-1.29634606550941
2,2,0.999666666666667,3.31478,51.1240288247793,19845.4114552569,39332.8834420201,36.320815220127,71.1598225414433,19293.8105831587,33281.4616896877,4288.79889404229,5814.30327962829,-2.759293427371,-1.29634606550942
3,3,0.999333333333333,3.32823,197.336192115475,22078.6810074307,39332.8834420201,40.4296477039568,71.1598225414433,20605.2249438401,33281.4616896877,4392.67885881532,5814.30327962829,-2.56585548741935,-1.29634606550942
4,4,0.999,3.34109,66.2570070416806,24662.5797891337,39332.8834420201,44.6851648956426,71.1598225414433,22177.0166906296,33281.4616896877,4502.35649605412,5814.30327962829,-2.37769936577781,-1.29634606550942
5,5,0.998666666666667,3.35403,47.0192785817973,27246.4785708367,39332.8834420201,48.9406820873284,71.1598225414433,23748.8084374192,33281.4616896877,4612.03413329292,5814.30327962829,-2.18954324413627,-1.29634606550942
6,6,0.998333333333333,3.36687,35.419185585912,30245.1867405473,39332.8834420201,53.6012287367929,71.1598225414433,25676.3006978888,33281.4616896877,4715.29052597927,5814.30327962829,-1.99765225278534,-1.29634606550942
7,7,0.998,3.38044,29.4747685419621,33243.894910258,39332.8834420201,58.2617753862574,71.1598225414433,27603.7929583584,33281.4616896877,4818.54691866563,5814.30327962829,-1.8057612614344,-1.29634606550942
8,8,0.997666666666667,3.39315,29.9577196117376,36137.2146652885,39332.8834420201,63.1285982749162,71.1598225414433,29606.096308538,33281.4616896877,4915.38173770996,5814.30327962829,-1.61110862986134,-1.29634606550942
9,9,0.997333333333333,3.40648,9.90381302074426,39030.5344203191,39332.8834420201,67.9954211635751,71.1598225414433,31608.3996587176,33281.4616896877,5012.2165567543,5814.30327962829,-1.41645599828828,-1.29634606550942
10,10,0.997,3.41948,8.89321573183636,41817.5858867484,39332.8834420201,72.5262031804087,71.1598225414433,34273.7390163845,33281.4616896877,5139.2139439652,5814.30327962829,-1.25520353120609,-1.29634606550942
11,11,0.996666666666667,3.43245,46.7869774889306,44604.6373531778,39332.8834420201,77.0569851972422,71.1598225414433,36939.0783740515,33281.4616896877,5266.21133117611,5814.30327962829,-1.09395106412391,-1.29634606550942
12,12,0.996333333333333,3.44546,47.8331093867279,48621.9577404871,39332.8834420201,82.1740668558315,71.1598225414433,40930.19601851,33281.4616896877,5378.66421874603,5814.30327962829,-0.925331507006961,-1.29634606550942
13,1,0.996,3.45892,48.7997304822218,52639.2781277964,39332.8834420201,87.2911485144207,71.1598225414433,44921.3136629686,33281.4616896877,5491.11710631595,5814.30327962829,-0.756711949890013,-1.29634606550942
14,2,0.995666666666667,3.47197,247.466025666161,55276.29623453,39332.8834420201,92.2572262553596,71.1598225414433,47504.8579576194,33281.4616896877,5535.43508393417,5814.30327962829,-0.56683976265678,-1.29634606550942
15,3,0.995333333333333,3.48515,266.409110664593,57913.3143412636,39332.8834420201,97.2233039962986,71.1598225414433,50088.4022522703,33281.4616896877,5579.75306155238,5814.30327962829,-0.376967575423548,-1.29634606550942
16,4,0.995,3.49752,130.592413024763,58239.0615488573,39332.8834420201,100.830638190338,71.1598225414433,50936.1223678143,33281.4616896877,5569.84780467741,5814.30327962829,-0.210546932771643,-1.29634606550942
17,5,0.994666666666667,3.51039,69.3622687135489,58564.8087564509,39332.8834420201,104.437972384378,71.1598225414433,51783.8424833583,33281.4616896877,5559.94254780244,5814.30327962829,-0.0441262901197382,-1.29634606550942
18,6,0.994333333333333,3.52353,83.9089994067144,55251.6963251638,39332.8834420201,101.973446004615,71.1598225414433,50106.1321541847,33281.4616896877,5546.53895946952,5814.30327962829,-0.0902391658800945,-1.29634606550942
19,7,0.994,3.5366,71.3957838483375,51938.5838938767,39332.8834420201,99.5089196248522,71.1598225414433,48428.4218250111,33281.4616896877,5533.1353711366,5814.30327962829,-0.136352041640451,-1.29634606550942
20,8,0.993666666666667,3.54961,80.5609003622407,45282.2046899716,39332.8834420201,89.807444343516,71.1598225414433,43220.4294185823,33281.4616896877,5525.07087876472,5814.30327962829,-0.460035728129119,-1.29634606550942
21,9,0.993333333333333,3.56307,83.0079568274424,38625.8254860665,39332.8834420201,80.1059690621799,71.1598225414433,38012.4370121534,33281.4616896877,5517.00638639283,5814.30327962829,-0.783719414617788,-1.29634606550942
22,10,0.993,3.5759,48.1526407592862,33834.2652036018,39332.8834420201,70.9147983731182,71.1598225414433,32586.1101748579,33281.4616896877,5448.39735352801,5814.30327962829,-1.12294439049631,-1.29634606550942
23,11,0.992666666666667,3.58891,37.7056747013499,29042.7049211371,39332.8834420201,61.7236276840565,71.1598225414433,27159.7833375623,33281.4616896877,5379.78832066319,5814.30327962829,-1.46216936637483,-1.29634606550942
24,12,0.992333333333333,3.60213,48.7872602585148,27724.956256919,39332.8834420201,58.0450961473625,71.1598225414433,24805.5576723396,33281.4616896877,5271.53953485489,5814.30327962829,-1.62475693148289,-1.29634606550942
25,1,0.992,3.61521,47.7696345720398,26407.207592701,39332.8834420201,54.3665646106686,71.1598225414433,22451.3320071169,33281.4616896877,5163.29074904659,5814.30327962829,-1.78734449659096,-1.29634606550942
26,2,0.991666666666667,3.62856,49.5397929414462,26632.1460868556,39332.8834420201,53.4875957845349,71.1598225414433,22225.1641590661,33281.4616896877,5091.74391514873,5814.30327962829,-1.83591927553488,-1.29634606550942
27,3,0.991333333333333,3.64175,50.1107164184578,26857.0845810103,39332.8834420201,52.6086269584012,71.1598225414433,21998.9963110153,33281.4616896877,5020.19708125086,5814.30327962829,-1.88449405447879,-1.29634606550942
28,4,0.991,3.65447,48.2696330955509,27324.0366261894,39332.8834420201,54.0407772628857,71.1598225414433,21944.2805713788,33281.4616896877,5008.34463293702,5814.30327962829,-1.81952025620251,-1.29634606550942
29,5,0.990666666666667,3.6677,85.2829906451121,27790.9886713685,39332.8834420201,55.4729275673703,71.1598225414433,21889.5648317423,33281.4616896877,4996.49218462317,5814.30327962829,-1.75454645792623,-1.29634606550942
30,6,0.990333333333333,3.68124,67.8218127520741,28171.147382407,39332.8834420201,58.050691473744,71.1598225414433,22115.7681685584,33281.4616896877,5035.49937594256,5814.30327962829,-1.63482087841851,-1.29634606550942
31,7,0.99,3.69431,88.5982983070474,28551.3060934455,39332.8834420201,60.6284553801177,71.1598225414433,22341.9715053746,33281.4616896877,5074.50656726194,5814.30327962829,-1.51509529891079,-1.29634606550942
