index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
1,1,1,3.31555,194.055027668908,40303.7894810803,40009.6947917794,97.5506359034862,72.23403665808,35249.6074153405,33419.1929057359,4799.34972037454,5912.83225293439,-0.467969509240579,-1.2496570476348
2,2,1,3.31555,227.440605501376,40405.8398997968,40009.6947917794,97.0515651348629,72.2340366580798,35266.6009919289,33419.1929057358,4808.51217084381,5912.83225293437,-0.448342482315269,-1.2496570476348
3,3,1,3.32856,132.745601690732,40507.8903185132,40009.6947917794,96.5524943662396,72.2340366580798,35283.5945685173,33419.1929057358,4817.67462131308,5912.83225293437,-0.428715455389958,-1.2496570476348
4,4,1,3.34147,53.1177821435025,40915.6379556556,40009.6947917794,96.4246523287635,72.2340366580798,35644.2837732477,33419.1929057358,4843.59148331107,5912.83225293437,-0.403795519827308,-1.2496570476348
5,5,1,3.35431,72.4052323394278,41323.3855927979,40009.6947917794,96.2968102912874,72.2340366580798,36004.9729779782,33419.1929057358,4869.50834530906,5912.83225293437,-0.378875584264657,-1.2496570476348
6,6,1,3.36741,87.1140029048093,41935.1649726159,40009.6947917794,96.3478734776678,72.2340366580798,36574.4689614137,33419.1929057358,4900.39905663993,5912.83225293437,-0.35611439334446,-1.2496570476348
7,7,1,3.38036,80.7548158027499,42546.944352434,40009.6947917794,96.3989366640482,72.2340366580798,37143.9649448492,33419.1929057358,4931.28976797079,5912.83225293437,-0.333353202424263,-1.2496570476348
8,8,1,3.39334,49.7327520252406,43555.4998568701,40009.6947917794,97.0642634483853,72.2340366580798,37909.6735476221,33419.1929057358,4954.00131681389,5912.83225293437,-0.292533014555427,-1.2496570476348
9,9,1,3.40678,31.1828237044102,44564.0553613063,40009.6947917794,97.7295902327224,72.2340366580798,38675.382150395,33419.1929057358,4976.71286565699,5912.83225293437,-0.251712826686591,-1.2496570476348
10,10,1,3.41927,46.369970274981,46428.7387623495,40009.6947917794,100.543164391297,72.2340366580798,40348.2865623284,33419.1929057358,5036.41053452417,5912.83225293437,-0.152300073492022,-1.2496570476348
11,11,1,3.43197,51.9952104268213,48293.4221633928,40009.6947917794,103.356738549872,72.2340366580798,42021.1909742617,33419.1929057358,5096.10820339135,5912.83225293437,-0.0528873202974522,-1.2496570476348
12,12,1,3.44538,58.5016680757492,49488.2363432802,40009.6947917794,103.421455725297,72.2340366580798,43839.2782367128,33419.1929057358,5175.55868460968,5912.83225293437,-0.0735915244857126,-1.2496570476348
13,1,1,3.4582,194.61963417683,50683.0505231677,40009.6947917794,103.486172900722,72.2340366580798,45657.3654991639,33419.1929057358,5255.00916582801,5912.83225293437,-0.0942957286739731,-1.2496570476348
14,2,1,3.47094,297.44013681126,54739.490491952,40009.6947917794,103.778105472772,72.2340366580798,49390.914726011,33419.1929057358,5300.64754056147,5912.83225293437,-0.0934998019151903,-1.2496570476348
15,3,1,3.48427,187.363654988338,58795.9304607363,40009.6947917794,104.070038044822,72.2340366580798,53124.463952858,33419.1929057358,5346.28591529492,5912.83225293437,-0.0927038751564076,-1.2496570476348
16,4,1,3.49725,89.7583984407624,61108.9577886706,40009.6947917794,104.867246600544,72.2340366580798,55484.7866151678,33419.1929057358,5327.79505124792,5912.83225293437,-0.0485643807942379,-1.2496570476348
17,5,1,3.51048,81.8404180605231,63421.985116605,40009.6947917794,105.664455156266,72.2340366580798,57845.1092774775,33419.1929057358,5309.30418720092,5912.83225293437,-0.00442488643206822,-1.2496570476348
18,6,1,3.52321,59.9742703475191,62496.5041633078,40009.6947917794,104.62490863302,72.2340366580798,57409.3841534009,33419.1929057358,5287.74946676001,5912.83225293437,-0.0101595284892375,-1.2496570476348
19,7,1,3.53615,28.6344007566661,61571.0232100107,40009.6947917794,103.585362109775,72.2340366580798,56973.6590293244,33419.1929057358,5266.19474631911,5912.83225293437,-0.0158941705464068,-1.2496570476348
20,8,1,3.54917,86.298588032676,61194.3654950638,40009.6947917794,102.702996030503,72.2340366580798,56305.4876668971,33419.1929057358,5281.75799008381,5912.83225293437,-0.0273981210925632,-1.2496570476348
