para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,40009.694791779424,6.20275,1
2,27947.887338719684,7.96038,1
3,36289.90137502198,10.21165,1
4,42695.345706290966,12.93517,1
1,32564.520629869836,4.97293,1
2,37482.70246193964,12.92334,1
1,43327.0085177458,5.69969,1
2,31692.285268786916,8.18489,1
3,40567.37656265821,10.31804,1
4,31058.605026873807,12.91794,1
1,36235.89397790291,5.33479,1
2,42681.68432548689,7.08902,1
3,34734.83834323691,9.13569,1
4,41871.90334753015,12.92581,1
1,33488.78530925324,6.8843,1
2,42723.44858042046,9.17475,1
3,35261.488686472294,12.92172,1
1,29688.712341136765,4.98245,1
2,34481.44461941521,7.66419,1
3,39091.87844302273,12.93013,1
1,34012.83242078967,6.50554,1
2,41837.572415664836,8.26239,1
3,35305.279715053126,12.9245,1
1,40820.422075658935,5.77312,1
2,33283.185541490995,8.16055,1
3,46031.63706817335,10.28208,1
4,35623.64051653918,12.91171,1
1,31415.288652525953,5.75921,1
2,42434.419649927375,9.24362,1
3,35958.68541880354,12.92826,1
1,33725.35592620469,5.27994,1
2,39378.6853675683,7.99467,1
3,34465.09458095295,12.9256,1
