para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,6140.371987877645,5.16657,0.9761666666666666
2,7755.992467215918,7.04429,0.9533333333333334
3,8985.405598502015,9.11173,0.9315
4,10767.593394247304,12.91664,0.9001666666666667
1,5728.597189133532,4.85252,0.98
2,7288.86072297317,6.45235,0.96
3,9028.788170611277,9.65985,0.9263333333333333
4,11321.81537345857,12.91373,0.9001666666666667
1,5843.293568055164,5.14616,0.9765
2,7565.31456010124,7.17879,0.952
3,9202.613311430834,9.48756,0.9281666666666667
4,11068.664262687182,12.94594,0.9001666666666667
1,6006.52864710047,4.94372,0.9788333333333333
2,7462.517436330712,6.58467,0.9585
3,8578.04982498665,8.57169,0.9365
4,10899.255792263468,12.90231,0.9001666666666667
1,5933.150020963919,4.96571,0.9785
2,7582.549463343152,6.76054,0.9565
3,9288.650283854147,8.82626,0.9341666666666667
4,11111.852411226417,12.91698,0.9001666666666667
1,6170.319089682099,5.42499,0.973
2,7956.454297717875,7.32814,0.9501666666666667
3,9375.561874220231,9.5508,0.9275
4,11382.531307348398,12.92693,0.9001666666666667
1,5910.685647715599,4.92897,0.979
2,7690.4443389184835,7.12602,0.9523333333333334
3,9445.270132612643,9.44661,0.9283333333333333
4,11595.71296898091,12.91772,0.9001666666666667
1,6206.765034397724,5.3093,0.9743333333333334
2,7985.6186124080805,7.47136,0.9485
3,9611.146604799089,10.04675,0.9228333333333334
4,11090.6536846856,12.9326,0.9001666666666667
1,5804.220684105325,4.83425,0.9801666666666666
2,7381.367667871321,6.75548,0.9565
3,9523.92378373018,10.31198,0.9201666666666667
4,11177.676929919318,12.90968,0.9001666666666667
1,5938.731916894021,4.83428,0.9801666666666666
2,7549.942039243118,6.64224,0.9578333333333333
3,9198.535667002932,9.48555,0.928
4,11006.381172018953,12.91093,0.9001666666666667
