para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,87.49611552393584,4.8478,0.8215
2,78.82385976881989,6.49359,0.637
3,70.15373273988531,9.69404,0.3355
4,44.74793514501427,12.9314,0.10149999999999992
1,85.39084256020394,6.30935,0.6565000000000001
2,54.916662458277045,9.61663,0.33999999999999997
3,46.961443275907875,12.90657,0.10149999999999992
1,80.52921641039674,5.22913,0.778
2,73.11758755900134,7.63011,0.52
3,56.11957798204885,9.63374,0.33999999999999997
4,29.88109162221076,12.92957,0.10149999999999992
1,91.26055982579895,5.15053,0.787
2,60.52778163264793,10.32773,0.2815
3,38.711576318871955,12.92208,0.10149999999999992
1,81.18657135765291,4.95442,0.8065
2,87.9229750529036,6.66105,0.6174999999999999
3,63.07278443315555,9.10179,0.38349999999999995
4,40.397453469159046,12.90629,0.10149999999999992
1,78.27930561828433,7.21853,0.562
2,56.21046259841717,9.78969,0.3265
3,39.195957709538504,12.92056,0.10149999999999992
1,82.68979833354422,6.43938,0.6415
2,64.8849275805345,9.58773,0.34299999999999997
3,42.85430184733424,12.90639,0.10149999999999992
1,86.24867623440274,6.13823,0.6759999999999999
2,61.728928121849734,8.57747,0.4285
3,46.8219428435403,12.91292,0.10149999999999992
1,86.78409457077066,5.53713,0.7435
2,72.70219628041048,7.20558,0.5634999999999999
3,52.33803465922818,9.52826,0.349
4,35.32415381818442,12.91891,0.10149999999999992
1,79.82442860326141,7.02414,0.5815
2,56.81629609735782,10.31502,0.2815
3,42.84417818222475,12.90726,0.10149999999999992
