para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,87.89825672387488,4.83805,0.881
2,79.43227067534832,7.23313,0.7070000000000001
3,68.98312175697147,10.32922,0.521
4,52.10278316204176,12.92954,0.401
1,88.72932267654421,4.91178,0.876
2,77.58719623031496,7.86938,0.664
3,62.87145583513154,10.22725,0.5269999999999999
4,54.082317679408725,12.93251,0.401
1,84.5008164441583,5.92123,0.8
2,73.08307823904863,7.9099,0.6599999999999999
3,58.00942074669911,10.23719,0.526
4,63.73076521904741,12.92866,0.401
1,86.85518940222018,5.8246,0.808
2,74.5386323420941,8.21586,0.64
3,55.781126240374924,12.93161,0.401
1,84.01613966507142,5.44336,0.8360000000000001
2,66.5225227888572,9.69985,0.556
3,54.22538550697548,12.91708,0.401
1,84.68844723386349,5.25114,0.85
2,78.48967582101727,6.89594,0.73
3,65.03914308908428,8.74279,0.61
4,50.023033835972385,12.91939,0.401
1,81.73721593159433,5.26359,0.849
2,76.14463101086345,7.33364,0.7
3,63.5794058791358,10.19887,0.528
4,52.256012346802024,12.91437,0.401
1,83.21462521156764,6.69559,0.744
2,69.24435609044406,10.32948,0.521
3,53.89676462226468,12.92392,0.401
1,89.52187452763005,5.06062,0.865
2,77.91210988848175,8.05542,0.651
3,61.34536505248481,12.92902,0.401
1,84.64034721197719,5.48891,0.833
2,70.38864714308323,9.30634,0.579
3,59.38337677159974,12.92471,0.401
