para.numbp,para.fitp,para.pop.fitp,para.shif.fitp
1,5782.718664690958,4.83463,0.8611666666666666
2,7633.273700587312,7.11484,0.6675
3,9031.773490713174,10.18066,0.4505
4,10284.196862736602,12.91892,0.3011666666666667
1,6094.507849263561,5.18696,0.8308333333333333
2,8002.287644494735,7.51317,0.6360000000000001
3,9713.431716955558,10.32668,0.4411666666666667
4,8920.480948789484,12.91474,0.3011666666666667
1,5963.48737648514,5.09809,0.839
2,7717.202597193415,7.22246,0.6593333333333333
3,9945.865605631236,9.64994,0.48550000000000004
4,11321.308124457013,12.92083,0.3011666666666667
1,5923.319267155497,4.84161,0.8611666666666666
2,7518.626607022808,6.44783,0.7211666666666667
3,8944.676543027485,8.31972,0.573
4,10096.716610307178,12.91903,0.3011666666666667
1,6331.6429215869375,5.79,0.7783333333333333
2,8555.507743610548,7.50854,0.6360000000000001
3,9879.51498863744,9.71243,0.48083333333333333
4,8815.599562853346,12.91031,0.3011666666666667
1,5828.355186588642,4.91318,0.8541666666666666
2,7621.824904080433,6.83934,0.68966666666666665
3,9283.96827960299,10.00574,0.4621666666666667
4,10236.630571448153,12.92358,0.3011666666666667
1,5856.714298862807,4.83775,0.8611666666666666
2,7464.489081131626,6.53832,0.7130000000000001
3,9220.187124209879,9.51036,0.4936666666666667
4,10118.794555631071,12.91215,0.3011666666666667
1,5932.59200046498,4.93984,0.853
2,7474.328728780387,6.55536,0.7130000000000001
3,8940.394879019626,8.93036,0.5333333333333333
4,10754.208290575161,12.93494,0.3011666666666667
1,5855.890283319329,4.8518,0.8611666666666666
2,7790.785773886556,6.5032,0.7176666666666667
3,8734.715100549029,10.33961,0.4411666666666667
4,9465.445616173953,12.92835,0.3011666666666667
1,5883.069282983757,4.83924,0.8611666666666666
2,7824.4139940879395,7.33658,0.65
3,10180.402458584022,10.32771,0.4411666666666667
4,9021.505892558844,12.91697,0.3011666666666667
