observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
212847.51251368545 0.0 0.0 0.0 87533.42251368545 146601.66943634042 61487.603305785095  4758.239771560204  4758.239771560204 252.67523895846708  9.32567102864544E8  9.370680483646472E7  124159.0  330651.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
237443.883249218 0.0 0.0 0.0 24596.370735532535 109408.9926660633 55537.19008264461  6251.857423165198  6251.857423165198 249.60407497142916  8.42318673554789E8  5.0610394827181214E8  124159.0  330651.0 0.9996666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
270736.9507652624 0.0 0.0 0.0 33293.06751604441 107511.78555156234 29752.066115702488  5438.208514842917  5438.208514842917 249.42861884320376  9.352662187095009E8  2.3766574171253264E8  124666.0  331967.0 0.9993333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
289804.2249527198 0.0 0.0 0.0 19067.27418745742 110271.97186256474 11900.826446280993  4406.2614301739895  4406.2614301739895 249.68388438569914  9.076011077674606E8  4.275687194397995E7  125174.0  333227.0 0.999 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
332398.17640476546 0.0 0.0 0.0 42593.95145204567 124589.75015135738 23801.652892561982  4474.52027069105  4474.52027069105 250.93828998547187  9.404759201236768E8  2.4604366652127504E7  125681.0  334507.0 0.9986666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
337837.027961837 0.0 0.0 0.0 5438.851557071578 119261.06956671977 5950.413223140496  4817.118918568698  4817.118918568698 250.47923755743622  9.12710968454807E8  1.2626220098285691E8  126189.0  335801.0 0.9983333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
368928.25956754206 0.0 0.0 0.0 31091.231605705027 118972.07931858332 23801.652892561982  7578.568961279517  7578.568961279517 250.45434177451614  9.457764120971036E8  6.887960256244277E8  126696.0  337087.0 0.998 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
371703.0882047758 0.0 0.0 0.0 2774.828637233759 110905.79777527077 6148.760330578512  4692.349849967803  4692.349849967803 249.7425014126765  9.484617936896609E8  6.360074372218387E7  127204.0  338398.0 0.9976666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
432225.12369694567 0.0 0.0 0.0 60522.03549216982 125143.72020951816 41652.89256198347  4631.220495938967  4631.220495938967 250.9860131124671  9.20500650346611E8  7.837729275045122E7  127711.0  339727.0 0.9973333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
458801.5840169622 0.0 0.0 0.0 26576.46032001657 109220.32201307529 37685.950413223145  4813.908103236368  4813.908103236368 249.58662646934943  9.537237538958923E8  8.455689558784208E7  128219.0  340965.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
