observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
263450.25014940544 0.0 0.0 0.0 138136.16014940545 177636.93192994446 81322.31404958678  4491.004169874337  4491.004169874337 254.92211965920725  9.323270496918542E8  3.630854249932023E7  124159.0  330444.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
297099.3959300876 0.0 0.0 0.0 33649.14578068215 151730.898077023 55537.19008264461  4017.9895509592725  4017.9895509592725 253.06260560136045  8.421018513342991E8  2.451228236266942E7  124159.0  330444.0 0.9996666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
359560.56604942144 0.0 0.0 0.0 62461.17011933387 147320.7686162999 61487.603305785095  5383.696274272171  5383.696274272171 252.72997325439943  9.348435202831655E8  2.2633104815393344E8  124666.0  331669.0 0.9993333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
432479.0890040095 0.0 0.0 0.0 72918.52295458806 155516.94800765434 59504.13223140493  5218.211331828949  5218.211331828949 253.3391816792793  9.072086599283084E8  2.182735334500847E8  125174.0  332940.0 0.999 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
435493.9913991118 0.0 0.0 0.0 3014.9023951022878 123342.48896648732 29752.066115702477  5437.295320566838  5437.295320566838 250.83084157188898  9.40157909417566E8  2.3257709004724994E8  125681.0  334259.0 0.9986666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
469195.56782181084 0.0 0.0 0.0 33701.576422699014 121751.26504638992 29752.066115702477  5540.734227093922  5540.734227093922 250.69376163390677  9.123777549839913E8  2.826673120478964E8  126189.0  335538.0 0.9983333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
477889.23372501053 0.0 0.0 0.0 8693.665903199699 117800.51421058053 6148.760330578512  6495.656408430565  6495.656408430565 250.3534143875414  9.455651035868844E8  4.554409418000628E8  126696.0  336887.0 0.998 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
479604.67090886144 0.0 0.0 0.0 1715.4371838508957 107364.36846393817 6148.760330578512  6002.822599914746  6002.822599914746 249.4149855233458  9.482658562549304E8  3.4644405803974897E8  127204.0  338201.0 0.9976666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
513546.9577598629 0.0 0.0 0.0 33942.28685100145 124187.94794985325 11900.826446280991  5217.880918805383  5217.880918805383 250.90367573654837  9.202042042077714E8  2.052067245244727E8  127711.0  339473.0 0.9973333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
513600.209994812 0.0 0.0 0.0 53.25223494906175 108417.01499624837 9917.355371900827  5906.829816653083  5906.829816653083 249.5123356141911  9.535769977221313E8  3.2042885508894175E8  128219.0  340789.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
529418.6694211158 0.0 0.0 0.0 15818.459426303858 109630.83850933673 9917.355371900827  4687.280541314663  4687.280541314663 249.6245915573233  9.253040406798948E8  8.566513039036854E7  128726.0  342044.0 0.9966666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
581600.438391676 0.0 0.0 0.0 52181.768970560275 109090.88822399014 47603.30578512396  5118.413470783003  5118.413470783003 249.57465626782485  9.587302535611703E8  1.4522718575845036E8  129234.0  343303.0 0.9963333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
616597.0052693969 0.0 0.0 0.0 34996.56687772086 109580.38938264278 29752.066115702488  4754.99960336577  4754.99960336577 249.619925957888  9.614801539222491E8  6.40949028932282E7  129741.0  344643.0 0.996 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
636612.9717343759 0.0 0.0 0.0 20015.96646497898 109394.49847236773 15867.768595041325  4334.08878021267  4334.08878021267 249.6027345299517  8.708878606340195E8  6.390366781503067E7  130249.0  345967.0 0.9956666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
720787.1195902054 0.0 0.0 0.0 84174.14785582946 126918.24511603212 61487.603305785095  5162.797906380281  5162.797906380281 251.1292735205119  9.668536455242554E8  1.4667678514124817E8  130756.0  347261.0 0.9953333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
