observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
146245.1499058021 0.0 0.0 0.0 20931.0599058021 109725.55602728527 31735.537190082654  4784.056688434218  4784.056688434218 249.6333511539152  9.338225576458142E8  9.801963358631605E7  124159.0  331053.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
224492.10010709165 0.0 0.0 0.0 78246.95020128954 128203.96523874649 55537.19008264461  4231.350907183981  4231.350907183981 251.23288542499367  8.434526327120776E8  6.918002954117614E7  124159.0  331053.0 0.9985 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
286863.24272630573 0.0 0.0 0.0 62371.142619214086 124589.04472480767 61487.603305785095  4498.459827368053  4498.459827368053 250.9382292147491  9.364351190756819E8  3.3808535575221E7  124666.0  332323.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
299652.4861232109 0.0 0.0 0.0 12789.243396905213 109133.9774427947 23801.65289256199  4442.657786356197  4442.657786356197 249.57864121361277  9.087689064274807E8  4.94391675372609E7  125174.0  333601.0 0.9955 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
302873.8919966136 0.0 0.0 0.0 3221.405873402673 101789.10708582107 6148.760330578512  4417.515899797789  4417.515899797789 248.8929424609569  9.41775581704528E8  1.1009801643648354E7  125681.0  334928.0 0.994 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
359922.81308630406 0.0 0.0 0.0 57048.921089690484 124713.04137227514 29752.066115702477  4372.920687533955  4372.920687533955 250.94891121401403  9.140433155770493E8  2.9123615369210977E7  126189.0  336261.0 0.9925 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
362737.0550905854 0.0 0.0 0.0 2814.2420042813155 116345.43292250436 6148.760330578512  5033.090123473573  5033.090123473573 250.22806279484013  9.471952390060283E8  1.383593603417892E8  126696.0  337571.0 0.991 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
373335.61157362274 0.0 0.0 0.0 10598.556483037359 116260.2890914686 6148.760330578512  4534.939983494612  4534.939983494612 250.22072786797628  9.498601119930114E8  2.825171117647439E7  127204.0  338865.0 0.9895 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
413733.3788337625 0.0 0.0 0.0 40397.76726013976 121767.72125775622 29752.066115702477  5138.26897814967  5138.26897814967 250.69517929512028  9.218818764849789E8  1.863580685737133E8  127711.0  340208.0 0.988 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
420538.4312967373 0.0 0.0 0.0 6805.052462974781 109576.23952881401 13884.297520661159  5112.2366712558  5112.2366712558 249.61954217412503  9.552787154688797E8  1.4734648998115695E8  128219.0  341508.0 0.9865 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
428380.9851510797 0.0 0.0 0.0 7842.553854342443 109126.65992106053 3966.9421487603304  4325.191313335581  4325.191313335581 249.57796447989094  9.269606978285567E8  5911793.6354230195  128726.0  342769.0 0.985 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
492536.4950462808 0.0 0.0 0.0 64155.50989520105 109158.3567605495 59504.13223140493  4619.680824307305  4619.680824307305 249.58089584394244  9.605198478500469E8  3.5869178240656674E7  129234.0  344065.0 0.9835 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
572327.489830458 0.0 0.0 0.0 79790.99478417716 122441.4827769141 61487.603305785095  5020.265462027727  5020.265462027727 250.75322215514421  9.631962094308003E8  1.1959232178020069E8  129741.0  345369.0 0.982 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
691884.650828456 0.0 0.0 0.0 119557.16099799809 171173.6000142981 65454.54545454541  5370.49830606879  5370.49830606879 254.4660883379876  8.723621464852806E8  2.859658376993956E8  130249.0  346656.0 0.9805 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
