observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
156759.8828034969 0.0 0.0 0.0 31445.792803496908 108591.45230365045 43636.36363636363  4532.066863482884  4532.066863482884 249.5284677983585  9.357117035902462E8  4.178043493967593E7  124159.0  331650.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
179786.5026285375 0.0 0.0 0.0 23026.61982504061 108989.13344396866 17851.23966942149  4777.699015300883  4777.699015300883 249.5652458562812  8.451589580812435E8  1.853119878236994E8  124159.0  331650.0 0.9985 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
201564.69486217032 0.0 0.0 0.0 21778.1922336328 106835.34197405672 17851.23966942149  6080.744034123214  6080.744034123214 249.36606048035298  9.383294686972885E8  3.7318681489067537E8  124666.0  332926.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
224135.2608565925 0.0 0.0 0.0 22570.565994422173 108901.47668604684 15867.768595041325  4636.66268739069  4636.66268739069 249.55713924776165  9.106290465007614E8  8.942268761061916E7  125174.0  334219.0 0.9955 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
231592.24124266335 0.0 0.0 0.0 7456.980386070849 105266.64978498498 6148.760330578512  4943.0469565541825  4943.0469565541825 249.22098583048043  9.436293013636246E8  1.2250447070121521E8  125681.0  335510.0 0.994 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
233469.00941160912 0.0 0.0 0.0 1876.7681689457656 96024.84684209543 5950.413223140496  5168.157888694825  5168.157888694825 248.3219975081315  9.158145509924061E8  1.9887193953206947E8  126189.0  336833.0 0.9925 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
242249.643020367 0.0 0.0 0.0 8780.633608757855 92854.44736606548 6148.760330578512  5802.272754209294  5802.272754209294 248.0079722034534  9.489945415674475E8  3.024600758724224E8  126696.0  338126.0 0.991 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
243128.29315975797 0.0 0.0 0.0 878.6501393909796 81462.40613984465 6148.760330578512  6121.931035033302  6121.931035033302 246.7657212257199  9.516411621028488E8  3.6875847886190844E8  127204.0  339416.0 0.9895 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
243281.39138501362 0.0 0.0 0.0 153.0982252556459 70969.27515628557 5950.413223140496  4695.815985674221  4695.815985674221 245.50112286068912  9.236636658798057E8  8.914645988425197E7  127711.0  340784.0 0.988 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
243922.5595779593 0.0 0.0 0.0 641.1681929456731 63478.735181807424 3689.2561983471073  4442.451969076707  4442.451969076707 244.49933256503817  9.571406820646667E8  1023000.5050100272  128219.0  342092.0 0.9865 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
257051.37154383791 0.0 0.0 0.0 13128.811965878607 68683.45380634003 3570.2479338842977  4353.84540746171  4353.84540746171 245.20863132518747  9.287324755193266E8  1.0320231856458355E7  128726.0  343332.0 0.985 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
273629.5580633802 0.0 0.0 0.0 16578.186519542247 77007.63878813738 3689.2561983471073  4564.745339397776  4564.745339397776 246.24169259947504  9.622666170198463E8  2.2273730256067947E7  129234.0  344588.0 0.9835 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
329035.6144405 0.0 0.0 0.0 55406.05637711979 109935.68794886844 17851.23966942149  4626.767546967205  4626.767546967205 249.652784421425  9.649298685348614E8  3.2987646849642873E7  129741.0  345886.0 0.982 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
336098.664612999 0.0 0.0 0.0 7063.050172499014 107768.58025309097 3966.9421487603304  5263.215719516136  5263.215719516136 249.45236754398326  8.739329359840195E8  2.612559621907498E8  130249.0  347171.0 0.9805 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
373405.624515085 0.0 0.0 0.0 37306.959902086 107839.29780874526 31735.537190082654  5500.705156349099  5500.705156349099 249.45890759352125  9.701652086033309E8  2.1624624750936967E8  130756.0  348435.0 0.979 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
439220.59016546723 0.0 0.0 0.0 65814.96565038223 109037.93427166548 59504.13223140493  5112.196956057252  5112.196956057252 249.56975901892773  9.413304538857678E8  1.61286185646864E8  131264.0  349675.0 0.9775 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
440842.1398138118 0.0 0.0 0.0 1621.5496483445895 94132.78763744091 6148.760330578512  10377.935951990643  10377.935951990643 248.13459069309042  9.754018463770587E8  1.2629479204742603E9  131771.0  350987.0 0.976 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
451671.4132344538 0.0 0.0 0.0 10829.27342064204 93897.80199659293 5950.413223140496  5113.845838349531  5113.845838349531 248.11131557018552  9.465277902206664E8  1.5644448605168027E8  132279.0  352287.0 0.9745 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
459818.0839128176 0.0 0.0 0.0 8146.670678363763 90682.03934581824 6148.760330578512  5213.672998559931  5213.672998559931 247.77601024783087  9.807920753485016E8  1.4371127432943296E8  132786.0  353608.0 0.973 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
458220.7372401171 0.0 0.0 0.0 -1597.3466727004568 77178.54806068898 6148.760330578512  5757.384281850291  5757.384281850291 246.26179720746842  9.835458992126576E8  2.5822701445556018E8  133294.0  354946.0 0.9715 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
460510.53870116244 0.0 0.0 0.0 2289.8014610453465 68220.92390340334 5950.413223140496  5297.012395190489  5297.012395190489 245.14944643677586  9.544124895704206E8  1.880657946124295E8  133801.0  356249.0 0.97 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
460676.14780224755 0.0 0.0 0.0 165.60910108509339 59272.400572545565 3689.2561983471073  5424.876233595762  5424.876233595762 243.90115553420821  9.888712930123562E8  1.8118511404649144E8  134309.0  357541.0 0.9685 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
483420.2275338941 0.0 0.0 0.0 22744.079731646594 73378.32456472292 3570.2479338842977  5067.907805584937  5067.907805584937 245.79938254187115  9.595750776822171E8  1.3348912193638553E8  134816.0  358853.0 0.967 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
492375.35151475406 0.0 0.0 0.0 8955.123980859948 73708.49419662426 3689.2561983471073  4935.698150611502  4935.698150611502 245.84163073533261  9.94169152571182E8  7.037960315279634E7  135324.0  360123.0 0.9655 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
551572.871062537 0.0 0.0 0.0 59197.51954778284 107861.43770623562 19834.710743801657  5209.865294369784  5209.865294369784 249.46095511941513  9.96855945230484E8  1.2682614540440878E8  135831.0  361432.0 0.964 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
601056.8124076218 0.0 0.0 0.0 49483.941345084844 108471.99287854848 43636.36363636363  5237.022536408432  5237.022536408432 249.5174200387079  9.0282590278757E8  2.2671355742841873E8  136339.0  362748.0 0.9625 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
609423.0209399058 0.0 0.0 0.0 8366.208532283976 109917.84258732521 1983.4710743801652  4936.887749127072  4936.887749127072 249.65113405968052  1.0021931146626687E9  6.261221785774735E7  136846.0  364034.0 0.961 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
652708.7900823965 0.0 0.0 0.0 43285.769142490695 107593.86229712701 39669.42148760331  5940.327945085647  5940.327945085647 249.43620940507972  9.724328226135099E8  3.087980244836539E8  137354.0  365330.0 0.9595 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
663660.6193728502 0.0 0.0 0.0 10951.829290453661 107093.15170194482 6148.760330578512  5303.779555057343  5303.779555057343 249.38990305206184  1.0075093522862599E9  1.3642849676572406E8  137861.0  366630.0 0.958 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
677528.6937764912 0.0 0.0 0.0 13868.074403641074 109708.48543837007 5950.413223140496  5302.327444075328  5302.327444075328 249.6317724441293  9.77527800174323E8  1.6609685246568215E8  138369.0  367898.0 0.9565 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
703111.8749866049 0.0 0.0 0.0 25583.181210113642 123852.58798483813 5950.413223140496  5488.665440505095  5488.665440505095 250.8747853191625  1.0128228057810963E9  1.709918820251323E8  138876.0  369220.0 0.955 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
700387.214953297 0.0 0.0 0.0 -2724.660033307881 103646.0093723223 6148.760330578512  11333.15824862943  11333.15824862943 249.0711069427839  1.015502919471153E9  1.4288725556596007E9  139384.0  370524.0 0.9535 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
701721.0738636176 0.0 0.0 0.0 1333.8589103205297 94072.75531962182 5950.413223140496  4956.699739880516  4956.699739880516 248.12864454433654  9.853291829416468E8  8.374926950185178E7  139891.0  371825.0 0.952 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
706326.6376996107 0.0 0.0 0.0 4605.563835993081 88268.06262111443 3689.2561983471073  6721.000336153361  6721.000336153361 247.51655445196846  1.0207812812920625E9  4.288277358612974E8  140399.0  373095.0 0.9505 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
717073.0905827034 0.0 0.0 0.0 10746.452883092707 90336.0828720905 3570.2479338842977  5108.184698232334  5108.184698232334 247.73882661995813  9.90493457389413E8  1.112578042504647E8  140906.0  374425.0 0.949 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
785093.9267271779 0.0 0.0 0.0 68020.83614447454 109275.86606343332 43636.36363636363  5444.6893167681565  5444.6893167681565 249.5917632538087  1.0261968496267058E9  1.4813291297084582E8  141414.0  375734.0 0.9475 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
