folder,filename,infl.numbp,infl.fitp,infl.pop.fitp,infl.shif.fitp,outf.numbp,outf.fitp,outf.pop.fitp,outf.shif.fitp,supp.numbp,supp.fitp,supp.pop.fitp,supp.shif.fitp,strp.numbp,strp.fitp,strp.pop.fitp,strp.shif.fitp,strv.numbp,strv.fitp,strv.pop.fitp,strv.shif.fitp,elev.numbp,elev.fitp,elev.pop.fitp,elev.shif.fitp
0.7_shift,reservoir-shift_0.7-ts-6.txt,1,37601.760650289914,4.83553,94.05,1,31999.593104801796,4.83553,94.05,1,5861.093026152816,4.97021,93.55,1,89.70451880464137,4.83553,94.05,1,117867.25248335853,4.83553,94.05,1,-1.3711608239038766,4.83553,94.05
0.7_shift,reservoir-shift_0.7-ts-6.txt,2,27701.272579980006,6.57605,87.6,2,20362.758596657808,6.59078,87.55000000000001,2,7590.263765373527,6.93963,86.35000000000001,2,79.04542143209243,6.66321,87.3,2,103861.73149069784,6.66321,87.3,2,-2.6354726561325754,6.66321,87.3
0.7_shift,reservoir-shift_0.7-ts-6.txt,3,42244.888331781265,8.3456,81.60000000000001,3,33272.16540365901,8.3633,81.55,3,8992.304431564424,8.92863,79.95000000000002,3,87.98365041244794,8.6642,80.7,3,115606.11745943598,8.6642,80.7,3,-1.538660568239946,8.6642,80.7
0.7_shift,reservoir-shift_0.7-ts-6.txt,4,28738.897304483668,12.90569,70.05000000000001,4,17972.831831707645,12.90569,70.05000000000001,4,10918.841978615097,12.90569,70.05000000000001,4,66.70699421734871,12.90569,70.05000000000001,4,87649.65505188445,12.90569,70.05000000000001,4,-4.574341383172964,12.90569,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-7.txt,1,33900.50595943384,6.36875,88.35,1,27189.531777379707,6.38191,88.3,1,6091.891914816091,5.31045,92.30000000000001,1,87.96697771699982,5.43129,91.85,1,115584.21037125192,5.43129,91.85,1,-1.540519648251983,5.44449,91.8
0.7_shift,reservoir-shift_0.7-ts-7.txt,2,43076.01521804557,8.28874,81.80000000000001,2,33774.13072016909,8.52007,81.15,2,8350.011873280066,8.17666,82.15,2,82.2063093350245,8.57254,81,2,108014.98015075544,8.57254,81,2,-2.428469785442461,8.20539,82.05
0.7_shift,reservoir-shift_0.7-ts-7.txt,3,28134.00175969232,12.93274,70.05000000000001,3,17533.32157300539,12.93274,70.05000000000001,3,9765.315935635072,10.30467,76.15,3,63.980586494652215,12.93274,70.05000000000001,3,84067.29162464853,12.93274,70.05000000000001,3,-3.819785897543297,10.34042,76.05000000000001
0.7_shift,reservoir-shift_0.7-ts-7.txt,NA,NA,NA,NA,NA,NA,NA,NA,4,11230.573360133083,12.93274,70.05000000000001,NA,NA,NA,NA,NA,NA,NA,NA,4,-6.1390686430027,12.93274,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-8.txt,1,34773.26018634013,8.73789,80.55000000000001,1,28758.279746160908,6.86268,86.65,1,6244.54685800878,5.61234,91.2,1,89.82665046271079,4.84676,94.05,1,118027.72737547883,4.84676,94.05,1,-1.2876831221119431,4.84676,94.05
0.7_shift,reservoir-shift_0.7-ts-8.txt,2,28348.182146947365,12.94453,70.05000000000001,2,22778.61765156492,9.82327,77.5,2,8212.853218440601,7.37322,84.89999999999999,2,84.19403848024874,6.87741,86.60000000000001,2,110626.75686112283,6.87741,86.60000000000001,2,-2.017850729569451,6.8921,86.55000000000001
0.7_shift,reservoir-shift_0.7-ts-8.txt,NA,NA,NA,NA,3,15969.170102873371,12.94453,70.05000000000001,3,9847.998354983218,10.34412,76.05000000000001,3,73.06407677747798,10.34412,76.05000000000001,3,96002.54368176717,10.34412,76.05000000000001,3,-3.6121369996076935,10.34412,76.05000000000001
0.7_shift,reservoir-shift_0.7-ts-8.txt,NA,NA,NA,NA,NA,NA,NA,NA,4,11590.571003270798,12.94453,70.05000000000001,4,60.03187795653078,12.94453,70.05000000000001,4,78878.88604098404,12.94453,70.05000000000001,4,-5.69902096531546,12.94453,70.05000000000001
0.7_shift,reservoir-shift_0.7-ts-9.txt,1,38993.49246218058,5.37507,92.05,1,32744.572692474594,5.38802,92,1,6159.827281119823,5.28154,92.4,1,89.49366543451171,4.84101,94.05,1,117590.20169767666,4.84101,94.05,1,-1.3696671255059683,4.84101,94.05
0.7_shift,reservoir-shift_0.7-ts-9.txt,2,35159.75789323709,7.75377,83.55,2,26900.464969875033,7.76894,83.50000000000001,2,8224.008205004437,7.97233,82.80000000000001,2,80.15369785771937,8.06065,82.5,2,105317.95130015037,8.06065,82.5,2,-2.6263652039260514,8.06065,82.5
0.7_shift,reservoir-shift_0.7-ts-9.txt,3,25416.870279326024,9.82434,77.45,3,16228.619731683584,10.18092,76.45,3,10092.950163645703,10.32324,76.05000000000001,3,60.573732306282395,10.16288,76.5,3,79590.85556383975,10.16288,76.5,3,-5.638219784168458,10.16288,76.5
0.7_shift,reservoir-shift_0.7-ts-9.txt,4,33236.32771138576,12.91992,70.05000000000001,4,22629.57631239317,12.91992,70.05000000000001,4,11462.947635617375,12.91992,70.05000000000001,4,75.1657329600356,12.91992,70.05000000000001,4,98764.01482283862,12.91992,70.05000000000001,4,-3.2502100198242454,12.91992,70.05000000000001
