observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
213418.0897745208 0.0 0.0 0.0 88103.99977452081 147473.62997615323 61487.603305785095  4456.856492582776  4456.856492582776 252.7416083099523  9.350981748643037E8  2.6172326054855675E7  124159.0  331948.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
298327.3155200592 0.0 0.0 0.0 84909.2257455384 168828.79096272553 59504.13223140493  4049.9325275613733  4049.9325275613733 254.30064636722824  8.446048031029702E8  2.8898904260150425E7  124159.0  331948.0 0.9998333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
318796.3091916985 0.0 0.0 0.0 20468.99367163928 123189.35143674011 61487.603305785095  4620.8298918398505  4620.8298918398505 250.81764915891972  9.378353893965268E8  5.880147162301808E7  124666.0  333280.0 0.9996666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
369808.5079761791 0.0 0.0 0.0 51012.19878448061 110381.50236664263 59504.13223140493  4315.915623173292  4315.915623173292 249.69401390609846  9.101695986195351E8  2.0702279330457535E7  125174.0  334585.0 0.9995 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
389146.71888743923 0.0 0.0 0.0 19338.21091126008 117327.97485728424 6148.760330578512  6242.978090039964  6242.978090039964 250.31270631093076  9.431554126373149E8  4.03352083357656E8  125681.0  335874.0 0.9993333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
435261.25877283583 0.0 0.0 0.0 46114.539885396574 122897.97121657839 35702.479338842975  4842.064187259465  4842.064187259465 250.79254748592163  9.15242894179907E8  1.2911055864168859E8  126189.0  337137.0 0.9991666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
432680.1658796504 0.0 0.0 0.0 -2581.092893185435 108601.85372144335 6148.760330578512  5566.264271371096  5566.264271371096 249.52942973471224  9.484253607015648E8  2.5212611617211217E8  126696.0  338441.0 0.999 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
438993.5841893813 0.0 0.0 0.0 6313.418309730908 100911.60954425702 6148.760330578512  7854.902156338722  7854.902156338722 248.80602709432023  9.511493232605131E8  7.43023630939989E8  127204.0  339771.0 0.9988333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
449639.115778115 0.0 0.0 0.0 10645.531588733727 100832.37532012304 5950.413223140496  4774.352589727199  4774.352589727199 248.79817901348287  9.230539221979171E8  1.0669525485505848E8  127711.0  341072.0 0.9986666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
457219.779696436 0.0 0.0 0.0 7580.6639183210145 99338.67077406924 3689.2561983471073  5385.1122660277115  5385.1122660277115 248.6502288801574  9.564532616288543E8  2.0502671289635012E8  128219.0  342355.0 0.9985 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
497809.57583239075 0.0 0.0 0.0 40589.796135954726 109837.4718843646 25785.123966942156  4305.871058717228  4305.871058717228 249.64370127479557  9.282300278212129E8  475403.1000644154  128726.0  343681.0 0.9983333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
619354.0399572881 0.0 0.0 0.0 121544.46412489736 160940.4132844092 65454.54545454542  4986.977270307561  4986.977270307561 253.73537316709834  9.617478999707217E8  1.1386091684305052E8  129234.0  344939.0 0.9981666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
707657.6503496699 0.0 0.0 0.0 88303.61039238176 168591.21353181076 75371.90082644626  5280.909318534098  5280.909318534098 254.2838836895372  9.643691939638797E8  1.746359219474515E8  129741.0  346217.0 0.998 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
765849.6904177322 0.0 0.0 0.0 58192.04006806233 164207.6870989648 57520.66115702477  5054.905343883783  5054.905343883783 253.97405194674297  8.734510466671118E8  2.1680873622977874E8  130249.0  347516.0 0.9978333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
843306.7570314037 0.0 0.0 0.0 77457.06661367149 164973.09005542615 71404.95867768592  5286.704979524402  5286.704979524402 254.02860086470233  9.697753045330906E8  1.704798399454523E8  130756.0  348853.0 0.9976666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
848761.1243719104 0.0 0.0 0.0 5454.367340506658 107969.98067263962 57520.66115702477  4936.8155662685485  4936.8155662685485 249.47099331107367  9.410989786984369E8  1.2369078516807033E8  131264.0  350168.0 0.9975 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
856412.937519091 0.0 0.0 0.0 7651.813147180589 100567.07835642825 6148.760330578512  8905.955132813437  8905.955132813437 248.7719015804703  9.750434408468382E8  9.458243200788363E8  131771.0  351419.0 0.9973333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
862202.2990955136 0.0 0.0 0.0 5789.3615764226515 95339.79932518744 5950.413223140496  5066.227384522964  5066.227384522964 248.2541441486913  9.461859563509585E8  1.4651580413654715E8  132279.0  352727.0 0.9971666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
883924.6966937425 0.0 0.0 0.0 21722.39759822886 105820.61578894804 6148.760330578512  5092.820803889758  5092.820803889758 249.27221731147213  9.80359809896185E8  1.1807771291637184E8  132786.0  354013.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
881458.6480519493 0.0 0.0 0.0 -2466.0486417931793 92371.9415378084 6148.760330578512  4833.865278767949  4833.865278767949 247.95764203974724  9.829948432353215E8  5.9590240137673944E7  133294.0  355298.0 0.9968333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
889912.1221724545 0.0 0.0 0.0 8453.474120505174 89926.62451408204 5950.413223140496  4948.377921091033  4948.377921091033 247.69481776806555  9.539193284659327E8  1.1336424479991685E8  133801.0  356625.0 0.9966666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
894793.9552034987 0.0 0.0 0.0 4881.833031044272 86318.46362088609 3689.2561983471073  4800.737725893106  4800.737725893106 247.30701027739534  9.883568540653812E8  4.708316206103448E7  134309.0  357910.0 0.9965 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
931282.1734107449 0.0 0.0 0.0 36488.218207246115 108089.75535407176 9917.355371900827  4799.571102159594  4799.571102159594 249.48207022603086  9.590137678189545E8  7.617462679079698E7  134816.0  359185.0 0.9963333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
952326.6886669914 0.0 0.0 0.0 21044.515256246596 108593.35569903573 15867.768595041325  4673.146316241265  4673.146316241265 249.5286438267859  9.936368227718152E8  1.4283828869457731E7  135324.0  360481.0 0.9961666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1085039.3992082574 0.0 0.0 0.0 132712.71054126602 164797.42289308034 71404.95867768592  5103.684669535704  5103.684669535704 254.01620637078108  9.963323317113433E8  1.044483478941107E8  135831.0  361795.0 0.996 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1225169.0711225697 0.0 0.0 0.0 140129.6719143123 203287.5698164945 97190.08264462813  4449.442346270206  4449.442346270206 256.6345664320964  9.023613337921983E8  5.7310057944621E7  136339.0  363117.0 0.9958333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1332587.3661616582 0.0 0.0 0.0 107418.29503908847 199835.5466467978 105123.96694214879  5746.3512666366305  5746.3512666366305 256.41068530039547  1.0017380569187136E9  2.376552171788714E8  136846.0  364428.0 0.9956666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1374561.2177182068 0.0 0.0 0.0 41973.851556548565 167517.6686026404 69421.48760330575  4870.241997400396  4870.241997400396 254.20813791029707  9.719837075362425E8  7.84472345919155E7  137354.0  365715.0 0.9955 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1375391.5408859933 0.0 0.0 0.0 830.3231677865206 119820.21298778766 41652.89256198347  6874.886220655797  6874.886220655797 250.5274063566323  1.0070674018259809E9  4.757322647278859E8  137861.0  367019.0 0.9953333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1378169.2426902605 0.0 0.0 0.0 2777.701804267329 111702.17584073052 5950.413223140496  4945.325728183983  4945.325728183983 249.81615146959498  9.771880585760448E8  8.943720697726144E7  138369.0  368333.0 0.9951666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1431722.385901428 0.0 0.0 0.0 53553.14321116757 122482.65972655006 35702.479338842975  7070.179986505052  7070.179986505052 250.75676944577447  1.0124454027561607E9  5.1247591084717536E8  138876.0  369644.0 0.995 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1430957.1430249044 0.0 0.0 0.0 -765.2428765236612 110264.87584270212 6148.760330578512  5303.780676745762  5303.780676745762 249.68322813675226  1.0151220351529596E9  1.2881605582606074E8  139384.0  370949.0 0.9948333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1436049.2488556919 0.0 0.0 0.0 5092.105830787425 104408.87414279851 5950.413223140496  4997.694307550534  4997.694307550534 249.14165764753523  9.850171012020465E8  9.290320393916126E7  139891.0  372278.0 0.9946666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1470900.7485168076 0.0 0.0 0.0 34851.49966111564 108553.8544392403 25785.123966942156  4921.395397731703  4921.395397731703 249.52499070001298  1.0206199711815902E9  4.084391644159004E7  140399.0  373628.0 0.9945 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1476727.6502102483 0.0 0.0 0.0 5826.901693440844 106124.25803778594 3570.2479338842977  4686.2501610108975  4686.2501610108975 249.30029853304228  9.902599232690046E8  2.0487011749621317E7  140906.0  374918.0 0.9943333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1528154.775407253 0.0 0.0 0.0 51427.12519700481 108383.05763031142 43636.36363636363  5531.961968115792  5531.961968115792 249.50919519377706  1.0259785059866138E9  1.6717452934062317E8  141414.0  376234.0 0.9941666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
