observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
267077.9020510188 0.0 0.0 0.0 141763.81205101882 179205.40835581822 83305.78512396695  4566.708571233758  4566.708571233758 255.03111243090294  9.338538850335312E8  5.110989899767623E7  124159.0  331499.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
320936.35141567065 0.0 0.0 0.0 53858.44936465188 166701.45216778287 61487.60330578509  4874.80224690234  4874.80224690234 254.1505483784508  8.434809284171085E8  2.0793358437967065E8  124159.0  331499.0 0.9988333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
328664.2092871248 0.0 0.0 0.0 7727.8578714541345 107681.61640037861 61487.603305785095  5260.090333073433  5260.090333073433 249.44432501621924  9.364864954473826E8  1.98028308376945E8  124666.0  332779.0 0.9976666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
358180.19941201236 0.0 0.0 0.0 29515.99012488755 108668.99603450698 23801.65289256199  4726.957598197186  4726.957598197186 249.5356391412658  9.088795838431803E8  1.1064727455994865E8  125174.0  334091.0 0.9965 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
358325.4556564955 0.0 0.0 0.0 145.25624448317222 95582.12624166693 6148.760330578512  7083.365706744698  7083.365706744698 248.27814641854863  9.418876338254277E8  5.858776223446391E8  125681.0  335408.0 0.9953333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
380911.89461496717 0.0 0.0 0.0 22586.438958471623 106545.87288843378 5950.413223140496  5672.279088564287  5672.279088564287 249.3392900109529  9.139475929028686E8  3.0946953302176476E8  126189.0  336642.0 0.9941666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
404030.44264275354 0.0 0.0 0.0 23118.548027786368 118222.4308819231 6148.760330578512  5293.229703718535  5293.229703718535 250.3897614474434  9.470489352829354E8  1.9461348468373942E8  126696.0  337925.0 0.993 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
400498.41770492867 0.0 0.0 0.0 -3532.0249378248973 98565.11469750966 6148.760330578512  9976.530916010011  9976.530916010011 248.57360882503068  9.497612210337405E8  1.2020120943096535E9  127204.0  339248.0 0.9918333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
402627.14060384274 0.0 0.0 0.0 2128.7228989140644 89881.20936433607 5950.413223140496  4862.215008947164  4862.215008947164 247.68993651809288  9.216668079388515E8  1.2703284505669558E8  127711.0  340528.0 0.9906666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
441028.8202276324 0.0 0.0 0.0 38401.67962378969 109463.57831906699 13884.297520661159  4935.013148397589  4935.013148397589 249.60912312208148  9.550554626787369E8  1.0934554935671388E8  128219.0  341825.0 0.9895 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
441570.1592255866 0.0 0.0 0.0 541.3389979542114 101918.55985686631 3570.2479338842977  4516.109526270597  4516.109526270597 248.90576464509374  9.267571487008218E8  4.729325515284041E7  128726.0  343094.0 0.9883333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
451337.6966491864 0.0 0.0 0.0 9767.53742359974 102821.48962117055 3689.2561983471073  5175.351460948402  5175.351460948402 248.99485430696112  9.603808330354003E8  1.5585719248168752E8  129234.0  344424.0 0.9871666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
593490.3368234518 0.0 0.0 0.0 142152.64017426546 166577.4827826829 73388.42975206609  5008.217260687183  5008.217260687183 254.14180150869137  9.630599291564579E8  1.1713000357037786E8  129741.0  345732.0 0.986 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
606103.7787619347 0.0 0.0 0.0 12613.441938482923 118047.11924772458 55537.19008264461  5606.6153907968455  5606.6153907968455 250.37465879115476  8.72351723838565E8  3.369028245486512E8  130249.0  347071.0 0.9848333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
779580.5489612927 0.0 0.0 0.0 173476.77019935797 191043.0250669022 95206.61157024802  5274.25280993259  5274.25280993259 255.83366271640017  9.684780043015964E8  1.690914123979566E8  130756.0  348369.0 0.9836666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
801718.4544542724 0.0 0.0 0.0 22137.9054929797 148305.1032620112 59504.13223140493  5371.695066466052  5371.695066466052 252.80489597062044  9.398092463136837E8  2.187768593665683E8  131264.0  349665.0 0.9825 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
809068.6230511491 0.0 0.0 0.0 7350.168596876708 121102.47546020053 29752.066115702477  4800.730282984888  4800.730282984888 250.637870043091  9.737943618766471E8  6.1644048935446315E7  131771.0  350959.0 0.9813333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
819820.0837319228 0.0 0.0 0.0 10751.460680773705 121321.68689247026 5950.413223140496  4581.836025363475  4581.836025363475 250.65675455655327  9.450083043472488E8  4.321822225402194E7  132279.0  352282.0 0.9801666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
828469.3951176348 0.0 0.0 0.0 8649.31138571195 118396.83294996925 6148.760330578512  5425.404997634441  5425.404997634441 250.40478574689604  9.792406895062351E8  1.909297632423894E8  132786.0  353609.0 0.979 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
833497.3827950796 0.0 0.0 0.0 5027.987677444773 111423.22316197034 6148.760330578512  5852.83713486517  5852.83713486517 249.79035357088415  9.819689723273855E8  2.8039154876873624E8  133294.0  354938.0 0.9778333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
835237.3354192165 0.0 0.0 0.0 1739.9526241369642 102166.690293744 5950.413223140496  5046.0722692227955  5046.0722692227955 248.93034174858795  9.528493062487272E8  1.3550532800299534E8  133801.0  356225.0 0.9766666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
843962.6513241824 0.0 0.0 0.0 8725.315904965859 101251.81444922567 3689.2561983471073  5950.935551137076  5950.935551137076 248.83972409362377  9.872016783300227E8  2.963170545909181E8  134309.0  357487.0 0.9755 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
860854.1349101556 0.0 0.0 0.0 16891.483585973147 109603.67707155438 3966.9421487603304  4572.678814884096  4572.678814884096 249.6220796329931  9.579832914941397E8  2.8268175707034383E7  134816.0  358813.0 0.9743333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
931459.1987055943 0.0 0.0 0.0 70605.06379543873 112635.50953946284 61487.603305785095  6085.62802174536  6085.62802174536 249.90246735776037  9.925654679994453E8  3.200042112343994E8  135324.0  360106.0 0.9731666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
997760.7455895181 0.0 0.0 0.0 66301.54688392385 112695.98257767576 61487.603305785095  4753.4705399259965  4753.4705399259965 249.9080599812888  9.951413947571728E8  3.0103868270336192E7  135831.0  361361.0 0.972 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1098011.7398559898 0.0 0.0 0.0 100250.9942664716 151479.41303254422 55537.19008264461  5930.373728958804  5930.373728958804 253.04423427807322  9.01192585857008E8  3.778913008590975E8  136339.0  362633.0 0.9708333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1129263.7857987029 0.0 0.0 0.0 31252.04594271315 115428.0115872178 61487.603305785095  5815.844082254695  5815.844082254695 250.14902925458458  1.0003263103950247E9  2.5405541886250028E8  136846.0  363889.0 0.9696666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1142669.398244721 0.0 0.0 0.0 13405.612446017942 108283.24746850133 15867.768595041325  4682.6079696930565  4682.6079696930565 249.4999646230002  9.705787742057334E8  3.9382600165626E7  137354.0  365158.0 0.9685 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1215871.2310803367 0.0 0.0 0.0 73201.83283561576 122903.78923421881 53553.71900826446  5027.572061633818  5027.572061633818 250.7930486935061  1.0055907651960338E9  7.877367914547789E7  137861.0  366451.0 0.9673333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1217557.1710449357 0.0 0.0 0.0 1685.9399645990088 113831.10658299355 5950.413223140496  4808.209392683763  4808.209392683763 250.01145990549566  9.756160224640193E8  6.1435509060352094E7  138369.0  367690.0 0.9661666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1233093.2083762377 0.0 0.0 0.0 15536.037331302023 116277.04205226833 6148.760330578512  6941.341531448735  6941.341531448735 250.22217109340698  1.0108413938560358E9  4.862915881211939E8  138876.0  369010.0 0.965 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1243363.3230007126 0.0 0.0 0.0 10270.114624474923 112609.55692726167 6148.760330578512  7788.839418903065  7788.839418903065 249.90006722715822  1.0134818038660878E9  6.664425065170757E8  139384.0  370293.0 0.9638333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1247715.198569076 0.0 0.0 0.0 4351.87556836341 105723.57209090918 5950.413223140496  5287.447181575411  5287.447181575411 249.26324258678528  9.834321941322639E8  1.569830310976312E8  139891.0  371625.0 0.9626666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1255206.4002590186 0.0 0.0 0.0 7491.201689942639 104350.37936856473 3689.2561983471073  5175.138213939983  5175.138213939983 249.136247976377  1.0187784577472801E9  9.741357390438378E7  140399.0  372877.0 0.9615 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1277064.123054047 0.0 0.0 0.0 21857.72279502839 108899.01284282914 11900.826446280993  5408.262874482952  5408.262874482952 249.55691138840555  9.885056497056658E8  1.779675295628532E8  140906.0  374180.0 0.9603333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1325205.2481343786 0.0 0.0 0.0 48141.12508033137 108224.17581561103 43636.36363636363  5179.598471185936  5179.598471185936 249.49450160136973  1.0241789782386575E9  9.297505740024228E7  141414.0  375510.0 0.9591666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1325827.480474258 0.0 0.0 0.0 622.232339879516 98872.24070382668 3689.2561983471073  6284.911253316756  6284.911253316756 248.6040293882554  1.0267622071578609E9  3.2878958114062244E8  141921.0  376769.0 0.958 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1511168.3950705538 0.0 0.0 0.0 185340.91459629577 193890.06778779635 85289.25619834715  5033.831313979152  5033.831313979152 256.0250909778712  9.298579454108992E8  1.558565165156061E8  142429.0  378095.0 0.9568333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1534232.6965698444 0.0 0.0 0.0 23064.301499290657 150286.897679338 61487.603305785095  5179.8683019641785  5179.8683019641785 252.95574042314948  1.0320525216250033E9  8.515971206661539E7  142936.0  379343.0 0.9556666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1548597.9783625219 0.0 0.0 0.0 14365.281792677415 108277.68166505297 51570.24793388428  4804.249873078266  4804.249873078266 249.49944989041458  1.0013129905749391E9  3.488453782000615E7  143443.0  380629.0 0.9545 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1545905.8083867698 0.0 0.0 0.0 -2692.1699757519236 89316.20459205899 6148.760330578512  10120.546766663538  10120.546766663538 247.62920943594787  1.0373439383470994E9  1.1454912227451196E9  143951.0  381922.0 0.9533333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1606600.094024602 0.0 0.0 0.0 60694.28563783216 121355.14994592365 23801.652892561982  4853.687391405522  4853.687391405522 250.65963731443173  1.0064342209240667E9  4.04261654932186E7  144458.0  383207.0 0.9521666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1606414.8337782007 0.0 0.0 0.0 -185.26024640152318 110135.15297557352 6148.760330578512  4885.976393370091  4885.976393370091 249.67123120092236  1.0426936242057037E9  1.1130967846130896E7  144966.0  384527.0 0.951 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1615081.6807050607 0.0 0.0 0.0 8666.84692686015 107195.31697630645 6148.760330578512  5457.922595548701  5457.922595548701 249.39935142664444  1.0452676394119719E9  1.319163233504588E8  145473.0  385784.0 0.9498333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1633696.079576006 0.0 0.0 0.0 18614.398870945268 115130.50847143722 5950.413223140496  4728.794152674008  4728.794152674008 250.12340010953113  1.0141479617296001E9  5775011.209018452  145981.0  387093.0 0.9486666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1633709.3234865176 0.0 0.0 0.0 13.243910511767657 108282.82971570521 1983.4710743801652  4877.451591863609  4877.451591863609 249.49992598869002  1.0506721565453117E9  1313776.3037850908  146488.0  388420.0 0.9475 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1642145.7652505322 0.0 0.0 0.0 8436.44176401463 109683.43930931741 1983.4710743801652  5052.361096022256  5052.361096022256 249.62945614624223  1.019374241239287E9  7.033678932053153E7  146996.0  389728.0 0.9463333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1688046.146017237 0.0 0.0 0.0 45900.3807667049 107308.70691272357 41652.89256198347  6622.220601315327  6622.220601315327 249.40983787225778  1.0559932875131104E9  3.723105686266202E8  147503.0  391016.0 0.9451666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1744391.0909755428 0.0 0.0 0.0 56344.944958305765 108754.01284882346 49586.77685950412  5312.862162701878  5312.862162701878 249.54350160444127  1.0586308082635036E9  8.726600958200276E7  148011.0  392305.0 0.9440000000000001 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1804356.1903044549 0.0 0.0 0.0 59965.09932891213 106160.28766778065 55537.19008264461  7021.634427310462  7021.634427310462 249.30363059907341  9.58631238181426E8  5.55819598285574E8  148518.0  393622.0 0.9428333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1824675.9010321635 0.0 0.0 0.0 20319.710727708716 106685.7483555669 11900.826446280993  7893.423593641452  7893.423593641452 249.35222587215083  1.0640248932382259E9  6.384565001925746E8  149026.0  394929.0 0.9416666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1884687.5993099438 0.0 0.0 0.0 60011.698277780255 106797.51826133936 53553.719008264445  6346.209363743472  6346.209363743472 249.3625624952686  1.0322516160756699E9  3.365211645076202E8  149533.0  396214.0 0.9405 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
