observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
183148.2019195594 0.0 0.0 0.0 57834.11191955941 117030.38772101737 61487.603305785095  4630.210892757142  4630.210892757142 250.28706992772376  9.334013774382287E8  6.5258810891199596E7  124159.0  330888.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
244235.9488026021 0.0 0.0 0.0 61087.74688304272 118488.85976757405 55537.19008264461  4092.084753841634  4092.084753841634 250.41271362573863  8.430722118794084E8  3.952303606497977E7  124159.0  330888.0 0.999 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
252067.31364886806 0.0 0.0 0.0 7831.364846265977 109221.21971582469 11900.826446280993  5198.178451734324  5198.178451734324 249.58670949004207  9.360400743701407E8  1.8512135689370963E8  124666.0  332172.0 0.998 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
268340.0708073763 0.0 0.0 0.0 16272.757158508257 107526.73184789906 11900.826446280993  6066.418580152868  6066.418580152868 249.43000109570877  9.084202090286981E8  4.0000631020626616E8  125174.0  333472.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
282206.91347833816 0.0 0.0 0.0 13866.842670961887 109064.6217716623 6148.760330578512  6180.19241662013  6180.19241662013 249.5722271128884  9.41325200114586E8  3.916404607674556E8  125681.0  334751.0 0.996 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
295661.83768018684 0.0 0.0 0.0 13454.924201848698 112185.74444636467 5950.413223140496  4383.388304005842  4383.388304005842 249.86087250960554  9.136383062951659E8  3.178631702896155E7  126189.0  336100.0 0.995 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
296990.8202018109 0.0 0.0 0.0 1328.9825216240451 99872.23524176699 6148.760330578512  7493.731395643205  7493.731395643205 248.70307797561082  9.46757010558306E8  6.695173622943002E8  126696.0  337399.0 0.994 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
297590.57434584864 0.0 0.0 0.0 599.7541440377021 89721.9867897814 6148.760330578512  4601.242265444773  4601.242265444773 247.67282317173058  9.494701577883364E8  4.29419750043425E7  127204.0  338720.0 0.993 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
325824.9987605086 0.0 0.0 0.0 28234.424414659956 107571.09339552862 5950.413223140496  4434.904585772235  4434.904585772235 249.4341037080855  9.214458337639388E8  3.5090002600663714E7  127711.0  340032.0 0.992 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
333330.4309272088 0.0 0.0 0.0 7505.432166700194 108582.6663549352 1983.4710743801652  4510.388132913441  4510.388132913441 249.52765526264082  9.548615363463594E8  1.7954857244287908E7  128219.0  341344.0 0.991 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
