observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
148039.29148607177 0.0 0.0 0.0 22725.201486071783 109987.51328730248 33719.00826446282  4332.769934306522  4332.769934306522 249.6575772946733  9.343853571753668E8  121717.9458688351  124159.0  331285.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
214265.59330340632 0.0 0.0 0.0 66226.30181733456 116387.76572975352 55537.19008264461  4288.859292239109  4288.859292239109 250.2317096596962  8.439609677710146E8  8.107530545827295E7  124159.0  331285.0 0.999 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
261714.11085275744 0.0 0.0 0.0 47448.51754935112 108863.73138915726 49586.77685950412  5385.775030443356  5385.775030443356 249.55364851467283  9.370236973512248E8  2.2459922453579813E8  124666.0  332572.0 0.998 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
353205.24526316224 0.0 0.0 0.0 91491.13441040479 135887.9755908132 59504.13223140493  4962.757977344187  4962.757977344187 251.85211423892443  9.093678774974414E8  1.610172369330944E8  125174.0  333868.0 0.997 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
424545.1169308806 0.0 0.0 0.0 71339.87166771835 121544.73825291703 77355.37190082645  8327.737104788082  8327.737104788082 250.6759698701686  9.422977620887357E8  8.53857898645997E8  125681.0  335138.0 0.996 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
426253.02976251213 0.0 0.0 0.0 1707.912831631568 112238.89649867467 5950.413223140496  5063.341362733417  5063.341362733417 249.8657880790414  9.144042817002952E8  1.776750114446935E8  126189.0  336402.0 0.995 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
428091.25366124825 0.0 0.0 0.0 1838.223898736142 100948.67706575393 6148.760330578512  6979.683001078372  6979.683001078372 248.80969860001525  9.476216481898509E8  5.577809569569002E8  126696.0  337733.0 0.994 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
424922.4217991675 0.0 0.0 0.0 -3168.8318620807545 86795.46612269011 6148.760330578512  4835.618750404546  4835.618750404546 247.35827881800196  9.503051278773237E8  9.265815043047155E7  127204.0  339043.0 0.993 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
434276.7614826748 0.0 0.0 0.0 9354.339683507269 85644.6272524449 5950.413223140496  4554.76533061198  4554.76533061198 247.23458590417508  9.222243164578596E8  6.0163507383243784E7  127711.0  340342.0 0.992 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
456139.82242173783 0.0 0.0 0.0 21863.060939063038 99302.03867911041 3689.2561983471073  4516.393314050419  4516.393314050419 248.64660050308146  9.556385119167383E8  1.847310028459344E7  128219.0  341643.0 0.991 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
493513.52503160236 0.0 0.0 0.0 37373.70260986454 110151.75045096703 21818.181818181823  4705.809019826069  4705.809019826069 249.67276615656775  9.27413575400625E8  8.755188315557253E7  128726.0  342954.0 0.99 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
608020.6504025327 0.0 0.0 0.0 114507.12537093036 158061.1714442111 61487.603305785095  5110.101071901481  5110.101071901481 253.52504064900367  9.610062106838701E8  1.4115838117596135E8  129234.0  344257.0 0.989 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
690658.1404918199 0.0 0.0 0.0 82637.49008928728 166382.64004622263 69421.48760330575  4894.533883970202  4894.533883970202 254.12805404968762  9.637038168831438E8  9.196648487330253E7  129741.0  345580.0 0.988 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
754786.3150645618 0.0 0.0 0.0 64128.174572741904 166713.36576624954 59504.13223140493  4293.316621310291  4293.316621310291 254.151388962552  8.727819314375179E8  5.321571422051943E7  130249.0  346845.0 0.987 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
755394.7511858854 0.0 0.0 0.0 608.436121323657 109251.78844066107 53553.719008264445  4516.294438647815  4516.294438647815 249.5895365246149  9.690226786354386E8  5067607.771009192  130756.0  348177.0 0.986 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
768488.3576822684 0.0 0.0 0.0 13093.606496383 108954.83856605699 7933.884297520661  5456.672073466404  5456.672073466404 249.56207422233024  9.404622850115021E8  2.3645196074286973E8  131264.0  349536.0 0.985 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
768455.2507370171 0.0 0.0 0.0 -33.10694525126715 95110.90489547902 6148.760330578512  7662.066394748192  7662.066394748192 248.23147235494048  9.74458450480268E8  6.781230076849831E8  131771.0  350822.0 0.984 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
816274.9388488106 0.0 0.0 0.0 47819.68811179346 126091.97478206159 11900.826446280991  4937.791778929907  4937.791778929907 251.06268714498037  9.455649062835413E8  1.1943541056696948E8  132279.0  352101.0 0.983 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
827619.7524434265 0.0 0.0 0.0 11344.813594615927 126329.3424590056 5950.413223140496  5157.0326945314355  5157.0326945314355 251.08181581585993  9.797278712098291E8  1.325590982672039E8  132786.0  353397.0 0.982 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
