observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52293.49059970077 3689.2561983471073  2371.11032195212  2371.11032195212 242.80774308080012  4.803319061318337E8  3.10775167892698E7  63826.0  170136.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127516.49358010649 55537.19008264461  2195.767976949958  2195.767976949958 251.17748437264135  4.338481732803592E8  3.974279529013266E7  63826.0  170136.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207374.62060758058 111074.38016528926  2384.4128872368774  2384.4128872368774 256.899632311277  4.8142974105276763E8  3.28488259877456E7  64026.0  170670.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216975.77720132255 128925.61983471068  2259.924171547545  2259.924171547545 257.50113321717043  4.6686280200284857E8  2.05656005122785E7  64227.0  171157.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123450.68389908216 182479.3388429752  3215.6218892652223  3215.6218892652223 250.84016229316697  4.834719345994506E8  2.1008471668670493E8  64427.0  171666.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123711.59631281604 17851.239669421488  3130.811616844625  3130.811616844625 250.86263924128326  4.68865383207031E8  2.0639908990559193E8  64627.0  172164.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119549.92018413881 6148.760330578512  2378.5332680987067  2378.5332680987067 250.50412131152126  4.855166442367235E8  2.7493785845496226E7  64828.0  172660.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113607.53401025714 6148.760330578512  3421.3924733031586  3421.3924733031586 249.9921996907527  4.865307740581742E8  2.514072013111609E8  65028.0  173153.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98233.67433684369 5950.413223140496  7340.802950272945  7340.802950272945 248.54077994620084  4.7186421846868193E8  1.1114260088221219E9  65228.0  173672.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98150.16801354138 3689.2561983471073  2420.031984955207  2420.031984955207 248.53250871766457  4.886035377134246E8  3.3357481737512887E7  65429.0  174166.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111297.16242049974 3966.9421487603304  2581.920544281301  2581.920544281301 249.7786953130953  4.738180733769737E8  8.30596405591057E7  65629.0  174657.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155529.15360489363 61487.603305785095  2314.065999821313  2314.065999821313 253.34007331469746  4.907329202883824E8  8372982.382618389  65829.0  175203.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183377.2509128301 85289.25619834714  2705.228373716555  2705.228373716555 255.31394921442916  4.917606136189939E8  9.171256713696507E7  66030.0  175705.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
