observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52297.89866610518 3689.2561983471073  2366.7022555477115  2366.7022555477115 242.80849338997535  4.7934325551877534E8  3.1115420119411997E7  63826.0  169842.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127524.82608230908 55537.19008264461  2191.843541151756  2191.843541151756 251.17815586125465  4.329551985330847E8  3.978933390651393E7  63826.0  169842.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207387.37975550067 111074.38016528926  2379.986241519407  2379.986241519407 256.90045980644015  4.804349196027425E8  3.2888892903205354E7  64026.0  170373.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216992.5304230204 128925.61983471068  2255.9300977698394  2255.9300977698394 257.50217651158425  4.6598350800666755E8  2.0583438612942398E7  64227.0  170900.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123470.94381585155 182479.3388429752  3212.1151941936378  3212.1151941936378 250.8419076340327  4.8248495552136874E8  2.1031535942469132E8  64427.0  171372.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123737.05291140014 17851.239669421488  3125.614935029919  3125.614935029919 250.86483226321505  4.679558411351748E8  2.0618779334613547E8  64627.0  171893.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119579.45627031756 6148.760330578512  2374.4537805040623  2374.4537805040623 250.50666577104732  4.8461037933744234E8  2.75201724964913E7  64828.0  172408.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113641.68577353084 6148.760330578512  3416.7767962082  3416.7767962082 249.99514177924974  4.8569405098540395E8  2.5124839889629546E8  65028.0  172939.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98274.96524980888 5950.413223140496  7333.663800581453  7333.663800581453 248.54486977513955  4.710475343938876E8  1.110702895954489E9  65228.0  173455.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98194.95646748725 3689.2561983471073  2416.534443974518  2416.534443974518 248.5369449749888  4.8781959049529135E8  3.3387067002087012E7  65429.0  173975.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
77555.83019000001 3570.246 2201.6517 246.75 19695.8571 111345.10974407157 3966.9421487603304  2578.7616746553485  2578.7616746553485 249.78312954259425  4.7304743949543613E8  8.314895831732862E7  65629.0  174460.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
121027.54218000002 62471.371119999996 2090.5773799999997 251.06 108033.66049000001 155581.33206065418 61487.603305785095  2309.8348676325854  2309.8348676325854 253.34388502159794  4.89809616927532E8  8383700.255180578  65829.0  174944.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
113341.59593 121130.5129 2398.0152300000004 250.3 115842.58188 183433.5910941913 85289.25619834714  2701.0666481159406  2701.0666481159406 255.31776888774178  4.9089138726240563E8  9.168417786257187E7  66030.0  175471.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154661.24297 98522.92184 2221.4864000000002 253.75 142064.05528 216250.60762767197 107107.4380165289  2139.6007299906014  2139.6007299906014 257.45597382162606  4.443006853402078E8  1.717593364099922E7  66230.0  175966.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142240.75383 205368.48380000002 2398.0152300000004 252.84 195346.00989000002 226681.61726044005 182479.33884297524  2435.661414257133  2435.661414257133 258.1012213654064  4.929596077713667E8  3.2372422023036305E7  66430.0  176477.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
109513.49882999997 148284.2172 2320.6599 250.2 117877.6221 215184.3636896917 126942.14876033053  2432.726910418034  2432.726910418034 257.389574273863  4.7810790963608307E8  4.659119603735987E7  66631.0  177005.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
142655.29906 30743.785 2459.5028 252.87 66345.08803 125209.36086092678 152727.27272727274  3592.818131492219  3592.818131492219 250.9915602273291  4.951193698599966E8  2.797922950571806E8  66831.0  177528.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
108916.47435999998 44390.058600000004 2499.1722 250.15 13150.4061 122519.70705312098 11900.826446280991  3939.2334615248205  3939.2334615248205 250.75996097976576  4.802552053979763E8  3.693725376297022E8  67031.0  178085.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
133450.01479 34801.96462 2520.99037 252.17 61856.49542000001 126399.1623379634 53553.71900826446  4423.321126893144  4423.321126893144 251.08744236747228  4.97308010152108E8  4.5672946501531523E8  67232.0  178595.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
101845.40380999997 55031.37515 2643.96551 249.5 26070.729680000004 126144.79459638377 23801.652892561982  2523.444529017652  2523.444529017652 251.06694371797758  4.983207626243533E8  4.594463844624731E7  67432.0  179089.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
85124.75170999997 15590.0742 2618.1804 247.8 1487.6025 118826.03530049219 5950.413223140496  2855.9485727510764  2855.9485727510764 250.44176044973227  4.832614771544214E8  1.3271956681481571E8  67632.0  179600.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
76455.00433999997 10514.37447 2828.4282200000002 246.8 4673.0553199999995 110924.63029223561 9917.355371900827  2657.104956355733  2657.104956355733 249.74424306781057  5.004260788859044E8  7.266767377148643E7  67833.0  180114.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68600.46313999998 8509.0863 2499.1722 245.81 3153.7173000000003 107223.276065357 3570.2479338842977  3284.823592994313  3284.823592994313 249.40193711877896  4.8531880313404506E8  2.2316351527109852E8  68033.0  180637.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
