observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
18079.498770000002 38614.19396 1660.1643900000001 233.6 50173.85712 52292.36653864125 3689.2561983471073  2372.2343830116433  2372.2343830116433 242.8075517512581  4.8054114608442116E8  3.1110718283811644E7  63826.0  170398.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
65841.45637000001 83472.35148000001 1721.6519600000001 245.3 132955.96104000002 127514.29837995891 55537.19008264461  2196.8391160380047  2196.8391160380047 251.17730746876936  4.3403716420528555E8  3.978483141520486E7  63826.0  170398.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
102733.99837000004 154395.28827 2029.08981 249.5 193316.92008 207371.58754587473 111074.38016528926  2385.2507487951707  2385.2507487951707 256.89943560191153  4.8157939658408153E8  3.2879883387440737E7  64026.0  170904.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
88750.53487 152866.03290000002 1904.1312 248.1 140786.70059999998 216971.70291487884 128925.61983471068  2260.9653962854254  2260.9653962854254 257.5008794940141  4.6707206834498245E8  2.0580909187768262E7  64227.0  171422.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
90656.64954000001 88234.66295 2029.08981 248.3 92169.86743000001 123444.92226386984 182479.3388429752  3217.309238033784  3217.309238033784 250.83966594278687  4.8366512238437486E8  2.1025546222535634E8  64427.0  171922.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
75780.62454 33857.8329 2261.1558 246.6 21242.9637 123703.78555963693 17851.239669421488  3132.860734811413  3132.860734811413 250.86196636454488  4.6907208636738193E8  2.0663434772327062E8  64627.0  172432.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
74181.94772000001 3689.2542 2275.04009 246.4 4365.61747 119540.8308946607 6148.760330578512  2379.811804397722  2379.811804397722 250.50333829209688  4.85772315605164E8  2.751387368775958E7  64828.0  172949.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
71783.93249 3689.2542 2336.5276599999997 246.1 3627.76663 113595.85560356973 6148.760330578512  3423.9815905124537  3423.9815905124537 249.9911936253937  4.8676518908934003E8  2.517312161959821E8  65028.0  173435.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3867.7665000000006 2201.6517 245.0 -2082.6435 98212.52321907459 5950.413223140496  7350.27566135463  7350.27566135463 248.5386849464218  4.721629972439552E8  1.1131703377263587E9  65228.0  173991.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
63631.87079 3935.2044800000003 2090.5773799999997 244.91 6025.78186 98127.30739846721 3689.2561983471073  2421.7414822602673  2421.7414822602673 248.53024439366752  4.889529025229528E8  3.3376827325880058E7  65429.0  174504.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
