shift,filename,bps,timepoint,stor.fitp,pop.fitp
0.7 shift,reservoir-timeSeries-0.txt,0,1,127.54729735877534,1.7243479166666666
0.7 shift,reservoir-timeSeries-0.txt,1,182,127.54729735877474,2.8995316666666664
0.7 shift,reservoir-timeSeries-0.txt,2,325,115.92264531039201,4.592340833333333
0.7 shift,reservoir-timeSeries-0.txt,3,588,107.2074676153725,8.092382916666667
0.7 shift,reservoir-timeSeries-1.txt,0,1,125.5418605332645,1.7314320833333332
0.7 shift,reservoir-timeSeries-1.txt,1,244,125.54186053326497,3.477230416666666
0.7 shift,reservoir-timeSeries-1.txt,2,434,111.57744183264509,6.039075416666666
0.7 shift,reservoir-timeSeries-1.txt,3,588,101.50162097218433,8.08654
0.7 shift,reservoir-timeSeries-2.txt,0,1,127.61466460303423,1.7268595833333333
0.7 shift,reservoir-timeSeries-2.txt,1,182,127.61466460303531,2.905525416666667
0.7 shift,reservoir-timeSeries-2.txt,2,326,115.77031185615044,4.616345416666666
0.7 shift,reservoir-timeSeries-2.txt,3,448,106.62238248960472,6.2219058333333335
0.7 shift,reservoir-timeSeries-2.txt,4,588,113.786410613302,8.084237916666666
0.7 shift,reservoir-timeSeries-3.txt,0,1,125.59024471215672,1.72421875
0.7 shift,reservoir-timeSeries-3.txt,1,244,125.59024471215558,3.470202083333333
0.7 shift,reservoir-timeSeries-3.txt,2,458,111.2431504003485,6.351572916666666
0.7 shift,reservoir-timeSeries-3.txt,3,588,104.34242111838385,8.083770833333332
0.7 shift,reservoir-timeSeries-4.txt,0,1,127.56550096017928,1.7250225
0.7 shift,reservoir-timeSeries-4.txt,1,182,127.56550096017912,2.9031262499999992
0.7 shift,reservoir-timeSeries-4.txt,2,468,115.25165937498892,6.4770279166666676
0.7 shift,reservoir-timeSeries-4.txt,3,588,109.49982653315506,8.083102083333333
0.7 shift,reservoir-timeSeries-5.txt,0,1,127.5561527389923,1.726719583333333
0.7 shift,reservoir-timeSeries-5.txt,1,183,127.55615273899129,2.908407916666667
0.7 shift,reservoir-timeSeries-5.txt,2,462,113.77490689017844,6.398839999999999
0.7 shift,reservoir-timeSeries-5.txt,3,588,105.44633951896762,8.0795275
0.7 shift,reservoir-timeSeries-6.txt,0,1,127.47385176829168,1.73149625
0.7 shift,reservoir-timeSeries-6.txt,1,183,127.47385176829157,2.9127991666666664
0.7 shift,reservoir-timeSeries-6.txt,2,435,115.09236310419305,6.0584412499999996
0.7 shift,reservoir-timeSeries-6.txt,3,588,103.2534461440912,8.0805775
0.7 shift,reservoir-timeSeries-7.txt,0,1,127.65571810569882,1.7256854166666666
0.7 shift,reservoir-timeSeries-7.txt,1,183,127.65571810569912,2.9039654166666664
0.7 shift,reservoir-timeSeries-7.txt,2,461,113.67743420019413,6.379945
0.7 shift,reservoir-timeSeries-7.txt,3,588,98.33765491551758,8.077713333333332
0.7 shift,reservoir-timeSeries-8.txt,0,1,127.40033183919898,1.72932125
0.7 shift,reservoir-timeSeries-8.txt,1,183,127.40033183919863,2.909672083333333
0.7 shift,reservoir-timeSeries-8.txt,2,348,113.07813246901763,4.914762916666667
0.7 shift,reservoir-timeSeries-8.txt,3,468,121.7148503192004,6.4774125
0.7 shift,reservoir-timeSeries-8.txt,4,588,96.43641151178939,8.079389166666667
0.7 shift,reservoir-timeSeries-9.txt,0,1,127.54672099274727,1.7252129166666665
0.7 shift,reservoir-timeSeries-9.txt,1,182,127.54672099274781,2.9026541666666668
0.7 shift,reservoir-timeSeries-9.txt,2,425,115.12172679348294,5.918739583333334
0.7 shift,reservoir-timeSeries-9.txt,3,588,106.76362596178649,8.073344166666667
0.7 shift,reservoir-timeSeries-10.txt,0,1,127.58520881076946,1.723899583333333
0.7 shift,reservoir-timeSeries-10.txt,1,183,127.58520881077021,2.906909583333333
0.7 shift,reservoir-timeSeries-10.txt,2,348,112.92498000562956,4.913068750000001
0.7 shift,reservoir-timeSeries-10.txt,3,468,118.4068940601963,6.472550833333334
0.7 shift,reservoir-timeSeries-10.txt,4,588,104.38990995008702,8.07622375
0.7 shift,reservoir-timeSeries-11.txt,0,1,127.48852129344888,1.72708875
0.7 shift,reservoir-timeSeries-11.txt,1,182,127.48852129344893,2.9038975
0.7 shift,reservoir-timeSeries-11.txt,2,325,115.79780995616176,4.596347083333333
0.7 shift,reservoir-timeSeries-11.txt,3,588,107.67844187482915,8.094298749999998
0.7 shift,reservoir-timeSeries-12.txt,0,1,127.53719254357374,1.72753375
0.7 shift,reservoir-timeSeries-12.txt,1,182,127.53719254357377,2.903489583333333
0.7 shift,reservoir-timeSeries-12.txt,2,326,115.7717496445954,4.614443333333333
0.7 shift,reservoir-timeSeries-12.txt,3,468,104.31843016342748,6.484452916666666
0.7 shift,reservoir-timeSeries-12.txt,4,588,111.3513517592226,8.087660416666667
0.7 shift,reservoir-timeSeries-13.txt,0,1,127.46367061941346,1.72685375
0.7 shift,reservoir-timeSeries-13.txt,1,182,127.46367061941426,2.8959887500000008
0.7 shift,reservoir-timeSeries-13.txt,2,455,114.82513572817933,6.303689166666667
0.7 shift,reservoir-timeSeries-13.txt,3,588,107.27221627870277,8.072530416666664
0.7 shift,reservoir-timeSeries-14.txt,0,1,127.46948605772259,1.7284662500000003
0.7 shift,reservoir-timeSeries-14.txt,1,182,127.46948605772316,2.90286625
0.7 shift,reservoir-timeSeries-14.txt,2,455,113.5628005740662,6.302437916666666
0.7 shift,reservoir-timeSeries-14.txt,3,588,100.12924072693013,8.079233333333333
0.7 shift,reservoir-timeSeries-15.txt,0,1,127.49596662741311,1.7315604166666665
0.7 shift,reservoir-timeSeries-15.txt,1,183,127.4959666274132,2.91570625
0.7 shift,reservoir-timeSeries-15.txt,2,326,115.78866161531126,4.613641666666666
0.7 shift,reservoir-timeSeries-15.txt,3,588,105.94086146155914,8.09123
