observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
820403.7584661385 0.0 0.0 0.0 7474.075006263781 107879.32928961683 1983.4710743801652  6052.961530524976  6052.961530524976 249.46260975581401  9.59248038541947E8  3.4627601684612817E8  134816.0  359115.0 0.9816666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
893451.2558754026 0.0 0.0 0.0 73047.4974092641 113825.41595030719 61487.603305785095  5613.807442788846  5613.807442788846 250.01096967180453  9.937626018097365E8  2.1704315367423198E8  135324.0  360353.0 0.9808333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
918212.2601624874 0.0 0.0 0.0 24761.004287084827 109661.90028351612 23801.65289256199  5122.8670613139  5122.8670613139 249.62746418972682  9.964017512438601E8  1.0851625416288525E8  135831.0  361642.0 0.98 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
971279.6549506842 0.0 0.0 0.0 53067.39478819672 108209.9344275509 49586.77685950412  4932.5837846579025  4932.5837846579025 249.4931845396792  9.023710762073438E8  1.6150596210250348E8  136339.0  362938.0 0.9791666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
979284.4451511323 0.0 0.0 0.0 8004.790200448163 109259.80802805477 1983.4710743801652  4971.445525564125  4971.445525564125 249.59027818626234  1.0017064178129896E9  7.055245760699864E7  136846.0  364235.0 0.9783333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
987206.9410665134 0.0 0.0 0.0 7922.495915381147 107923.4703316277 3966.9421487603304  5291.891463047887  5291.891463047887 249.4666919755505  9.719819845883485E8  1.6939179891861922E8  137354.0  365537.0 0.9775 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1028236.5213053799 0.0 0.0 0.0 41029.5802388665 121459.00497793904 17851.239669421488  9642.805923133676  9642.805923133676 250.66858416419186  1.0070069434486744E9  1.0727873903862852E9  137861.0  366819.0 0.9766666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1038828.8050839583 0.0 0.0 0.0 10592.283778578349 121433.89644898687 5950.413223140496  4666.979084390037  4666.979084390037 250.66642112758328  9.771554527586612E8  2.943502860144021E7  138369.0  368144.0 0.9758333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1056098.9024457769 0.0 0.0 0.0 17270.097361818436 118346.95806496107 11900.826446280991  8456.209299563257  8456.209299563257 250.4004891510132  1.0124704913470751E9  8.113945047063478E8  138876.0  369483.0 0.975 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1073712.961922418 0.0 0.0 0.0 17614.05947664129 125101.37789559594 5950.413223140496  4909.226422865931  4909.226422865931 250.98236542863506  1.0150824743692707E9  4.375676590631395E7  139384.0  370757.0 0.9741666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1075953.534545465 0.0 0.0 0.0 2240.5726230468395 116755.63885747067 5950.413223140496  4635.898438031631  4635.898438031631 250.26340100426177  9.848651411783392E8  1.502175694067868E7  139891.0  372028.0 0.9733333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
