,Time_Step,FI,Smooth_FI
0,1985,1.9415198496119837,2.714961301052117
1,1986,3.062444456415239,2.714961301052117
2,1986,3.515837263350524,2.714961301052117
3,1986,3.0912996250844924,2.714961301052117
4,1986,2.5217955584376646,2.714961301052117
5,1987,2.1568710534127997,2.714961301052117
6,1987,3.7377018411483607,4.570081657700341
7,1987,4.785679721015423,4.570081657700341
8,1987,4.269470735565052,4.570081657700341
9,1988,4.4685169979540795,4.570081657700341
10,1988,4.95269127537814,4.570081657700341
11,1988,5.2064293751409965,4.570081657700341
12,1988,5.708277481740741,4.2578838054356165
13,1989,4.776557488589864,4.2578838054356165
14,1989,4.1396742566795375,4.2578838054356165
15,1989,4.009814855089193,4.2578838054356165
16,1989,3.8632099847255743,4.2578838054356165
17,1990,3.0497687657887877,4.2578838054356165
18,1990,4.632758654697967,4.202233773369114
19,1990,4.715724252719412,4.202233773369114
20,1990,2.8679692660283154,4.202233773369114
21,1991,5.160513436178946,4.202233773369114
22,1991,4.856069961539903,4.202233773369114
23,1991,2.9803670690501423,4.202233773369114
24,1991,4.546569001357171,3.7751031883522006
25,1992,2.427602385242792,3.7751031883522006
26,1992,3.871278290630837,3.7751031883522006
27,1992,4.386507493309439,3.7751031883522006
28,1992,4.431451697486467,3.7751031883522006
29,1993,2.987210262086499,3.7751031883522006
30,1993,5.155236140222439,4.493790935208488
31,1993,5.246423035890541,4.493790935208488
32,1993,3.5515222485939573,4.493790935208488
33,1994,4.427572059797638,4.493790935208488
34,1994,4.4077076274981275,4.493790935208488
35,1994,4.174284499248228,4.493790935208488
36,1994,3.3504179351225916,4.279522158316975
37,1995,5.812831518116542,4.279522158316975
38,1995,4.626784977001802,4.279522158316975
39,1995,5.400578893337581,4.279522158316975
40,1995,3.318039432085044,4.279522158316975
41,1996,3.1684801942382874,4.279522158316975
42,1996,5.085691885213731,4.242483304030852
43,1996,3.2939680328155494,4.242483304030852
44,1996,3.366596016789619,4.242483304030852
45,1997,3.6081512441982575,4.242483304030852
46,1997,5.765037765201594,4.242483304030852
47,1997,4.33545487996636,4.242483304030852
48,1997,2.9372954076373388,3.719952321782186
49,1998,4.685817153491656,3.719952321782186
50,1998,3.0081641826585934,3.719952321782186
51,1998,4.22096270791381,3.719952321782186
52,1998,3.388248475241895,3.719952321782186
53,1999,4.079226003749825,3.719952321782186
54,1999,4.661651025857491,4.338825289851615
55,1999,4.421107981622055,4.338825289851615
56,1999,3.955976771591581,4.338825289851615
57,2000,3.771222157879493,4.338825289851615
58,2000,4.678018244421438,4.338825289851615
59,2000,4.54497555773763,4.338825289851615
60,2000,4.071813457618946,4.075294275968154
61,2001,3.2226955546133915,4.075294275968154
62,2001,4.8068714347308905,4.075294275968154
63,2001,4.4384856367719046,4.075294275968154
64,2001,3.847483116360625,4.075294275968154
65,2002,4.06441645571316,4.075294275968154
66,2002,5.617984965232098,3.9905311851537344
67,2002,3.302521397099453,3.9905311851537344
68,2002,3.102824323913154,3.9905311851537344
69,2003,3.173287131318265,3.9905311851537344
70,2003,4.318495567859753,3.9905311851537344
71,2003,4.428073725499683,3.9905311851537344
72,2003,4.14782369904242,4.220868700690348
73,2004,2.7971868159157562,4.220868700690348
74,2004,4.8813248640858635,4.220868700690348
75,2004,4.451529943448801,4.220868700690348
76,2004,4.065957934438701,4.220868700690348
77,2005,4.981388947210548,4.220868700690348
78,2005,3.5429322748789747,4.132212916019847
79,2005,3.6142287376774744,4.132212916019847
80,2005,5.086585336648938,4.132212916019847
81,2006,2.4251977910075344,4.132212916019847
82,2006,4.22873103855265,4.132212916019847
83,2006,5.895602317353507,4.132212916019847
84,2006,5.812095799836999,5.245079685074004
85,2007,6.144948425390665,5.245079685074004
86,2007,5.683950167822616,5.245079685074004
87,2007,5.78146698374216,5.245079685074004
88,2007,3.9409733399837688,5.245079685074004
89,2008,4.107043393667819,5.245079685074004
90,2008,4.189269908745157,4.208973711490831
91,2008,2.8866693128503904,4.208973711490831
92,2008,3.3728394203154313,4.208973711490831
93,2009,4.719364798853303,4.208973711490831
94,2009,5.13021942100205,4.208973711490831
95,2009,4.955479407178655,4.208973711490831
96,2009,3.003134762267028,3.250830149528261
97,2010,2.820580819527636,3.250830149528261
98,2010,4.542243545881946,3.250830149528261
99,2010,2.8047506116781977,3.250830149528261
100,2010,2.700042725483089,3.250830149528261
101,2011,3.634228432331668,3.250830149528261
102,2011,5.136647933973791,4.7254049307165005
103,2011,4.902882785675399,4.7254049307165005
104,2011,3.9535081333649,4.7254049307165005
105,2012,4.160501020843527,4.7254049307165005
106,2012,5.64336824010581,4.7254049307165005
107,2012,4.555521470335578,4.7254049307165005
108,2012,2.747420421937832,4.98083393224919
109,2013,5.399017686630725,4.98083393224919
110,2013,6.17758286100097,4.98083393224919
111,2013,6.176816579028809,4.98083393224919
112,2013,4.4033321126476155,4.98083393224919
