observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
143262.22455895678 0.0 0.0 0.0 17948.13455895677 108831.20325374819 29752.066115702488  4678.955189506131  4678.955189506131 249.55064027131678  9.350024663237301E8  7.417106355802129E7  124159.0  331607.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
196085.55489281006 0.0 0.0 0.0 52823.330333853286 109651.84490396282 47603.30578512396  4399.382898514793  4399.382898514793 249.62653425542985  8.445183566792153E8  1.0435603710540298E8  124159.0  331607.0 0.9986666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
238002.2916053997 0.0 0.0 0.0 41916.73671258964 109297.69517258968 37685.950413223145  4584.936030739704  4584.936030739704 249.59378203760193  9.3757957946475E8  5.131556721196386E7  124666.0  332866.0 0.9973333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
298567.40270052693 0.0 0.0 0.0 60565.11109512722 109849.15254521942 55537.19008264461  4476.463639853001  4476.463639853001 249.64478151717557  9.098976944478155E8  5.5601745030027494E7  125174.0  334156.0 0.996 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
299487.8383983604 0.0 0.0 0.0 920.4356978334564 100108.63333762482 6148.760330578512  4512.194574849536  4512.194574849536 248.72649300095333  9.428890384200485E8  3.0316974926535115E7  125681.0  335456.0 0.9946666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
299588.10433853144 0.0 0.0 0.0 100.26594017104729 89414.64055893818 5950.413223140496  4843.845495717193  4843.845495717193 247.6397893979942  9.150501357608888E8  1.2968751594143139E8  126189.0  336753.0 0.9933333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
298919.1005186747 0.0 0.0 0.0 -669.003819856759 73707.18696915847 6148.760330578512  8889.68943934442  8889.68943934442 245.84146346374388  9.483021268997946E8  9.690573919873161E8  126696.0  338096.0 0.992 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
484483.4886065368 0.0 0.0 0.0 185564.3880878621 125712.82452554331 128925.61983471073  4633.130696766595  4633.130696766595 251.03213268801218  9.508194193995283E8  4.84705225377798E7  127204.0  339326.0 0.9906666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
483709.606703007 0.0 0.0 0.0 -773.8819035297987 114052.78011249145 5950.413223140496  4935.749286381571  4935.749286381571 250.0305565224407  9.227475769471434E8  1.4181220791771498E8  127711.0  340634.0 0.9893333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
585300.024286811 0.0 0.0 0.0 101590.41758380402 149545.35455655606 61487.603305785095  4610.239833954613  4610.239833954613 252.8992978045788  9.561038149342152E8  3.824894511370015E7  128219.0  341904.0 0.988 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
600577.3141554847 0.0 0.0 0.0 15277.289868673648 108150.8894728283 51570.24793388428  5101.507018517259  5101.507018517259 249.48772398712924  9.277638579670203E8  1.7254713819956738E8  128726.0  343162.0 0.9866666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
669583.0964469106 0.0 0.0 0.0 69005.78229142593 111078.91711364778 61487.603305785095  4590.151344821516  4590.151344821516 249.75851170939126  9.614359925503145E8  2.8584011430661835E7  129234.0  344498.0 0.9853333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
726247.1286280208 0.0 0.0 0.0 56664.032181110066 109368.5561867635 53553.719008264445  4820.67409973004  4820.67409973004 249.60033535436636  9.640293238564436E8  7.571063957485154E7  129741.0  345761.0 0.984 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
773241.3067626548 0.0 0.0 0.0 46994.17813463404 110284.42808867476 41652.89256198347  4425.4136707394  4425.4136707394 249.68503635334088  8.732081759155817E8  8.128062647717866E7  130249.0  347098.0 0.9826666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
883306.7300202663 0.0 0.0 0.0 110065.4232576114 152971.2558348444 61487.603305785095  5890.992205656937  5890.992205656937 253.15321541638136  9.694091476280924E8  3.0118079347935426E8  130756.0  348384.0 0.9813333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
892235.7340094137 0.0 0.0 0.0 8929.003989147443 109126.04629358916 47603.30578512396  5170.907745278818  5170.907745278818 249.5779077308415  9.407752814263734E8  1.7450430784822556E8  131264.0  349712.0 0.98 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
954850.9423745087 0.0 0.0 0.0 62615.208365094986 124545.5391802109 41652.89256198347  5542.822916489779  5542.822916489779 250.9344813215206  9.746957825787569E8  2.2079978033810022E8  131771.0  350958.0 0.9786666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
954829.6735547949 0.0 0.0 0.0 -21.268819713839584 113939.08903662316 5950.413223140496  4634.768100733403  4634.768100733403 250.02076232224528  9.458617036115923E8  5.378139937867198E7  132279.0  352269.0 0.9773333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
963412.6210981939 0.0 0.0 0.0 8582.947543399005 108544.29281009769 6148.760330578512  7828.9834393459605  7828.9834393459605 249.52410642838228  9.801811222551924E8  7.084015918064429E8  132786.0  353628.0 0.976 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
972223.6445823407 0.0 0.0 0.0 8811.023484146757 106453.73605223943 6148.760330578512  4752.819911426498  4752.819911426498 249.33076907909364  9.827899048752409E8  4.231502830671726E7  133294.0  354896.0 0.9746666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
981344.8676182281 0.0 0.0 0.0 9121.22303588732 104877.71533316164 5950.413223140496  4746.830531824619  4746.830531824619 249.18501667744027  9.53593465688897E8  7.021965701068453E7  133801.0  356159.0 0.9733333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
986556.8212208744 0.0 0.0 0.0 5211.953602646385 100995.63029398343 3689.2561983471073  5404.782443477494  5404.782443477494 248.81434927634544  9.880434097126042E8  1.776790979433711E8  134309.0  357463.0 0.972 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1021766.315667359 0.0 0.0 0.0 35209.49444648461 109486.60726413615 21818.181818181823  4900.335658150056  4900.335658150056 249.61125286822679  9.587101616664677E8  9.821148717198187E7  134816.0  358740.0 0.9706666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
