observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
179743.30912865687 0.0 0.0 0.0 54429.219128656856 113638.04610741045 61487.603305785095  4617.659715461496  4617.659715461496 249.99482823116907  9.326411650736377E8  6.3311941143222935E7  124159.0  330823.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
231076.2153815643 0.0 0.0 0.0 51332.90625290744 108991.16792140067 51570.24793388428  4409.536505033063  4409.536505033063 249.56543400734307  8.42385568453336E8  1.0867879093611418E8  124159.0  330823.0 0.9986666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
294783.14645138715 0.0 0.0 0.0 63706.93106982283 107847.12148739508 59504.13223140493  5346.845272423614  5346.845272423614 249.45963113727876  9.35362499833543E8  2.1786391477269232E8  124666.0  332146.0 0.9973333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
313894.7389418644 0.0 0.0 0.0 19111.592490477276 108311.146644833 13884.297520661159  4763.269812378174  4763.269812378174 249.50254477433026  9.0781940162572E8  1.1953940298663288E8  125174.0  333473.0 0.996 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
327051.57192341844 0.0 0.0 0.0 13156.832981554016 105949.3665958236 6148.760330578512  9369.852699984911  9369.852699984911 249.28412434993282  9.408165890892805E8  1.0801062325092447E9  125681.0  334804.0 0.9946666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
337958.78192880255 0.0 0.0 0.0 10907.210005384111 106523.36831298328 5950.413223140496  4382.795065083932  4382.795065083932 249.33720875917723  9.130541521752969E8  3.2242519288644183E7  126189.0  336107.0 0.9933333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
334998.7418144262 0.0 0.0 0.0 -2960.0401143763324 91262.21495559187 6148.760330578512  6152.352912436559  6152.352912436559 247.83836790150386  9.46116250663988E8  3.808448879337336E8  126696.0  337389.0 0.992 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
350176.4415627077 0.0 0.0 0.0 15177.699748281488 94956.37933434543 6148.760330578512  5334.775038949411  5334.775038949411 248.21616673279968  9.488002555142431E8  2.0182280863732183E8  127204.0  338697.0 0.9906666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
397867.61212700047 0.0 0.0 0.0 47691.170564292755 126255.12082132557 11900.826446280991  4491.60263103163  4491.60263103163 251.07583454116573  9.207516728765165E8  4.801299752235627E7  127711.0  339987.0 0.9893333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
397880.54458570876 0.0 0.0 0.0 12.93245870831792 109453.69161998574 11900.826446280993  4913.535213767142  4913.535213767142 249.6082087875692  9.541343926824454E8  1.056341827874336E8  128219.0  341297.0 0.988 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
399401.8377172482 0.0 0.0 0.0 1521.2931315394333 103001.25678205816 3570.2479338842977  4403.480035582725  4403.480035582725 249.01147940276132  9.260626076529946E8  2.3695471080582205E7  128726.0  342655.0 0.9866666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
457527.20986713213 0.0 0.0 0.0 58125.37214988395 108699.62542088375 47603.30578512396  4823.697725934506  4823.697725934506 249.5384717858951  9.596331452992386E8  8.075896447865683E7  129234.0  343972.0 0.9853333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
474820.75718072965 0.0 0.0 0.0 17293.547313597526 109168.45562530654 11900.826446280993  4923.89066289373  4923.89066289373 249.5818297998064  9.622689864853747E8  9.973308871215098E7  129741.0  345256.0 0.984 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
581550.4525561221 0.0 0.0 0.0 106729.6953753925 156040.85676166724 55537.19008264461  4320.104156387456  4320.104156387456 253.37745392371008  8.716254405803449E8  6.014983496220285E7  130249.0  346593.0 0.9826666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
727176.9628981439 0.0 0.0 0.0 145626.51034202185 195920.03641921224 101157.02479338848  4590.305891088657  4590.305891088657 256.1567446928603  9.677807810600022E8  2.2272556003263976E7  130756.0  347938.0 0.9813333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
741921.7602714375 0.0 0.0 0.0 14744.797373293517 146537.57489150783 59504.13223140493  4623.126669593261  4623.126669593261 252.67036039667437  9.391240657750694E8  5.8008172357690714E7  131264.0  349225.0 0.98 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
748228.2910612682 0.0 0.0 0.0 6306.530789830753 123973.31858572538 23801.652892561982  5069.134203051219  5069.134203051219 250.88518595673028  9.731183075031176E8  1.2021040584037203E8  131771.0  350535.0 0.9786666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
750265.6397155619 0.0 0.0 0.0 2037.3486542936425 115093.67232405109 5950.413223140496  4966.58169282744  4966.58169282744 250.12022676809536  9.442416813430464E8  1.2696814550656404E8  132279.0  351801.0 0.9773333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
756942.3699311574 0.0 0.0 0.0 6676.730215595591 110890.44840652545 6148.760330578512  4731.193802542722  4731.193802542722 249.7410818835222  9.783581888107365E8  4.2082349061786674E7  132786.0  353086.0 0.976 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
756995.403673395 0.0 0.0 0.0 53.03374223756819 97543.01620126906 6148.760330578512  7251.705616915456  7251.705616915456 248.47237085987214  9.810754597821596E8  5.829979409389236E8  133294.0  354410.0 0.9746666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
758060.3468152413 0.0 0.0 0.0 1064.9431418462088 87696.05074881997 5950.413223140496  4961.495371154796  4961.495371154796 247.45507424213457  9.520925740627685E8  1.1802021701969355E8  133801.0  355749.0 0.9733333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
763317.8746405053 0.0 0.0 0.0 5257.5278252640455 83946.38476277319 3689.2561983471073  5317.937612963711  5317.937612963711 247.05205769161364  9.86505893306392E8  1.6048561552242243E8  134309.0  357054.0 0.972 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
785869.419076668 0.0 0.0 0.0 22551.544436162636 98364.93662534382 3570.2479338842977  4562.744639707712  4562.744639707712 248.55378136146433  9.572200018602308E8  2.688882746064409E7  134816.0  358337.0 0.9706666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
897708.4068956095 0.0 0.0 0.0 111838.98781894143 143717.95545156166 61487.603305785095  4998.365686938782  4998.365686938782 252.45574482048727  9.917699129451898E8  8.629519766574264E7  135324.0  359624.0 0.9693333333333334 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
912027.6003835902 0.0 0.0 0.0 14319.193487980798 109692.55211027383 43636.36363636363  4708.2331929051015  4708.2331929051015 249.63029890967113  9.945143490960237E8  2.0973963645202782E7  135831.0  360962.0 0.968 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
