observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
151390.47281778167 0.0 0.0 0.0 26076.382817781665 108300.09535167241 37685.950413223145  5404.42705288618  5404.42705288618 249.50152273667553  9.3327291240464E8  2.3237294335666507E8  124159.0  330971.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
154761.51759651213 0.0 0.0 0.0 3371.044778730464 104162.82670560852 3332.2314049586776  4176.082019835679  4176.082019835679 249.11890286743812  8.429561789458511E8  5.7755895083195604E7  124159.0  330971.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
164221.54568341217 0.0 0.0 0.0 9460.028086900029 102680.25866819923 3689.2561983471073  7253.339925962208  7253.339925962208 248.98121024843493  9.358856375829115E8  6.285402566692544E8  124666.0  332247.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
172453.32156520622 0.0 0.0 0.0 8231.775881794058 103117.65428958015 3570.2479338842977  4224.132326528841  4224.132326528841 249.02224399237772  9.082738342984025E8  2801899.0617174534  125174.0  333546.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
179761.7685638556 0.0 0.0 0.0 7308.4469986494 99874.82256271096 6148.760330578512  4402.5183949400625  4402.5183949400625 248.70333424749515  9.411477196431093E8  8402949.05005955  125681.0  334813.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
233150.11607223324 0.0 0.0 0.0 53388.34750837762 124791.5512616237 23801.652892561982  4669.96591690292  4669.96591690292 250.9556746434893  9.133948631290463E8  9.38398287838167E7  126189.0  336128.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
257974.90614154766 0.0 0.0 0.0 24824.790069314415 121091.49306285332 23801.652892561982  4723.195375522806  4723.195375522806 250.63692393718583  9.466108098019472E8  7.210459916841988E7  126696.0  337480.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
264197.88551059534 0.0 0.0 0.0 6222.979369047698 113907.26135689388 6148.760330578512  7258.450744428618  7258.450744428618 250.01802044769934  9.492377539607584E8  6.162904596125703E8  127204.0  338760.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
272618.36647648097 0.0 0.0 0.0 8420.480965885597 111911.44404590702 5950.413223140496  4465.8850537319695  4465.8850537319695 249.83550485951235  9.211240945136656E8  4.209371826274706E7  127711.0  340023.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
292014.7353496013 0.0 0.0 0.0 19396.368873120362 108676.71839948853 17851.23966942149  4779.854850117322  4779.854850117322 249.5363533154063  9.544537468664861E8  7.648217708316927E7  128219.0  341301.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
326473.34808555053 0.0 0.0 0.0 34458.612735949224 106575.51659128362 29752.066115702488  6807.748428451686  6807.748428451686 249.34203149831532  9.263275933074934E8  5.419915578311821E8  128726.0  342639.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
378599.4065274822 0.0 0.0 0.0 52126.05844193167 107693.34017024332 45619.834710743795  5388.400152228254  5388.400152228254 249.44540924537532  9.598488146532971E8  2.0234030274441063E8  129234.0  343923.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
402875.05493968364 0.0 0.0 0.0 24275.648412201463 109069.48346526049 17851.23966942149  5048.2654477627675  5048.2654477627675 249.57267672849906  9.62410127337329E8  1.264175393864184E8  129741.0  345171.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
454188.6548886984 0.0 0.0 0.0 51313.59994901478 110571.46812481494 45619.834710743795  4191.780578716614  4191.780578716614 249.71158218115372  8.716305614457008E8  3.2467433037551202E7  130249.0  346444.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
555623.6766618905 0.0 0.0 0.0 101435.02177319201 144751.28473764894 61487.603305785095  5767.60185457322  5767.60185457322 252.5343967679745  9.677141741339582E8  2.762625015959795E8  130756.0  347757.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
564134.1984838689 0.0 0.0 0.0 8510.521821978407 108798.61046157188 39669.42148760331  4793.774610452241  4793.774610452241 249.5476260484206  9.391339726837372E8  9.480421418443196E7  131264.0  349086.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
656494.3442624726 0.0 0.0 0.0 92360.14577860372 123856.26866880519 71404.95867768595  5897.528893684472  5897.528893684472 250.87510240082747  9.731305495594889E8  2.988692474359898E8  131771.0  350397.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
655625.6791558919 0.0 0.0 0.0 -868.6651065806558 112368.3081271586 5950.413223140496  4668.882211925448  4668.882211925448 249.87775623112537  9.441699274265755E8  6.2831027181470826E7  132279.0  351621.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
658147.1925279316 0.0 0.0 0.0 2521.5133720398003 103553.23621853566 6148.760330578512  5187.824950084217  5187.824950084217 249.06252716346395  9.782739340398933E8  1.4065441753406096E8  132786.0  352906.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
663185.6408959595 0.0 0.0 0.0 5038.448368027848 97541.18241878293 6148.760330578512  4901.741837202067  4901.741837202067 248.47218922531528  9.808897293474008E8  7.633520914077789E7  133294.0  354181.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
663182.8154430296 0.0 0.0 0.0 -2.825452929798342 85900.50232799634 5950.413223140496  5687.441414716304  5687.441414716304 247.26208752450518  9.518618696453304E8  2.7482552016722953E8  133801.0  355501.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
678311.3728609523 0.0 0.0 0.0 15128.55741792265 92432.6244220233 3689.2561983471073  4907.17912554858  4907.17912554858 247.96416427579786  9.862445140652313E8  7.215315791952033E7  134309.0  356796.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
714080.8966680984 0.0 0.0 0.0 35769.52380714614 109470.80020676272 13884.297520661159  4847.050501745548  4847.050501745548 249.60979101144574  9.56958750463226E8  8.847016822427621E7  134816.0  358070.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
828023.759765749 0.0 0.0 0.0 113942.8630976506 156583.04514220468 61487.603305785095  5343.014856423841  5343.014856423841 253.41706151962924  9.91529203128875E8  1.6087105386673668E8  135324.0  359368.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
958489.5476874198 0.0 0.0 0.0 130465.7879216708 188616.48510083355 93223.14049586785  5209.207467174291  5209.207467174291 255.6691515322599  9.942266057972647E8  1.2931360235114835E8  135831.0  360681.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1037728.2011586493 0.0 0.0 0.0 79238.65347122947 185799.43568577227 77355.37190082645  4700.3309854643885  4700.3309854643885 255.4781651312388  9.003465933567942E8  1.1343734346002786E8  136339.0  361937.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1048293.8035414347 0.0 0.0 0.0 10565.602382785431 130205.3150386097 61487.603305785095  4672.1197241632035  4672.1197241632035 251.39416754280035  9.995147864106694E8  8184446.2370397495  136846.0  363255.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1056844.0935473498 0.0 0.0 0.0 8550.290005915042 108203.14000323208 25785.123966942156  4767.341074350492  4767.341074350492 249.492556182672  9.69731731918392E8  5.850517681094862E7  137354.0  364494.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1057193.493534071 0.0 0.0 0.0 349.39998672103076 92990.12119643192 6148.760330578512  9413.658462942687  9413.658462942687 248.0214105780935  1.0047198823044848E9  1.0256511204880122E9  137861.0  365792.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1056944.7966797643 0.0 0.0 0.0 -248.6968543065242 81591.06673321364 5950.413223140496  5199.944385771267  5199.944385771267 246.78085598555626  9.749384377930056E8  1.4660387634085524E8  138369.0  367114.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1056512.3725389245 0.0 0.0 0.0 -432.42414083989286 70063.4218387865 6148.760330578512  4946.460423008723  4946.460423008723 245.38521072793174  1.010053303132971E9  5.6816697396530345E7  138876.0  368390.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1055213.5282093827 0.0 0.0 0.0 -1298.8443295418972 57516.60336656746 6148.760330578512  5099.213812098619  5099.213812098619 243.63065835257547  1.012704355169548E9  8.711203416321614E7  139384.0  369677.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1085365.7881250675 0.0 0.0 0.0 30152.259915684914 76813.12614690023 5950.413223140496  4905.323912211653  4905.323912211653 246.2188114512293  9.825489441945493E8  7.544858884207691E7  139891.0  370945.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1088587.370525242 0.0 0.0 0.0 3221.582400174607 71421.66919642438 3689.2561983471073  4923.783152303355  4923.783152303355 245.54901077369476  1.0179031617216263E9  4.407572521635383E7  140399.0  372213.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1105629.6208888646 0.0 0.0 0.0 17042.25036362267 79482.90612924461 3570.2479338842977  5410.765496918128  5410.765496918128 246.53286626623276  9.87598024375329E8  1.794149293122412E8  140906.0  373491.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1175297.0252635272 0.0 0.0 0.0 69667.40437466257 108411.82079880698 35702.47933884298  5036.01036625728  5036.01036625728 249.51185524820187  1.0231731813236428E9  6.3011266271493725E7  141414.0  374784.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1321394.5621398906 0.0 0.0 0.0 146097.53687636345 171694.71433909197 77355.37190082643  5459.2714352521525  5459.2714352521525 254.50285644105637  1.0258566060385362E9  1.5161827921831775E8  141921.0  376092.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1379778.6553989057 0.0 0.0 0.0 58384.093259015164 166135.35400746152 59504.13223140493  4439.321359240915  4439.321359240915 254.1106063647401  9.289403806679237E8  2.8548080949213594E7  142429.0  377366.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1431551.4218193756 0.0 0.0 0.0 51772.76642046984 150427.32491816318 61487.603305785095  5993.192203983378  5993.192203983378 252.96642905451083  1.0310183671072415E9  2.6161442948690474E8  142936.0  378605.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1439609.1807229877 0.0 0.0 0.0 8057.758903612067 110124.23533272218 43636.36363636363  4724.484852689522  4724.484852689522 249.6702215234183  1.0003737522989058E9  1.8619775645090163E7  143443.0  379921.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1450291.304544286 0.0 0.0 0.0 10682.123821298432 108973.37338642872 6148.760330578512  5684.225437013371  5684.225437013371 249.56378834610456  1.0363901202988906E9  1.8960363612066662E8  143951.0  381224.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1454907.628034889 0.0 0.0 0.0 4616.323490602994 102486.13473062802 5950.413223140496  5153.148923263207  5153.148923263207 248.96198244162323  1.0056522037059683E9  1.0579710030737399E8  144458.0  382580.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1453668.2823094064 0.0 0.0 0.0 -1239.3457254824975 86850.43665875535 6148.760330578512  8247.592015811653  8247.592015811653 247.36418708714052  1.0418702482749707E9  7.369994374796997E8  144966.0  383894.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1452458.6269761394 0.0 0.0 0.0 -1209.6553332669805 74600.25599426714 6148.760330578512  4891.765000642712  4891.765000642712 245.9557397305524  1.0445630296106756E9  1.051006963980491E7  145473.0  385204.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1451055.7758137097 0.0 0.0 0.0 -1402.8511624295586 62139.82625021086 5950.413223140496  5107.165358486216  5107.165358486216 244.31178403841025  1.0134015753037E9  8.812983155010903E7  145981.0  386478.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1576986.9278952489 0.0 0.0 0.0 125931.15208153921 121645.96058085343 61487.603305785095  4937.414445111811  4937.414445111811 250.6846899190949  1.0498781640734577E9  1.5040768089942196E7  146488.0  387792.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
1622757.8462771908 0.0 0.0 0.0 45770.91838194197 108765.99589130557 53553.719008264445  5097.164063225497  5097.164063225497 249.54460981145894  1.0185219419896381E9  8.085235028825095E7  146996.0  389053.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
