observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
195117.63465178118 0.0 0.0 0.0 69803.5446517812 128890.91694908273 61487.603305785095  4739.114396913629  4739.114396913629 251.2882445764431  9.32525463065381E8  8.962341648926868E7  124159.0  330558.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
247358.05609922382 0.0 0.0 0.0 52240.42144744264 120524.09063760401 55537.19008264461  5070.057676276969  5070.057676276969 250.58804364555513  8.422810634136329E8  2.5124682788630274E8  124159.0  330558.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
309414.25845960807 0.0 0.0 0.0 62056.202360384246 115573.71567560821 61487.603305785095  5518.974016595146  5518.974016595146 250.16158129527983  9.351584185356823E8  2.551933296775443E8  124666.0  331843.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
326827.1348404495 0.0 0.0 0.0 17412.876380841437 108553.94470028525 19834.710743801657  4597.9366123626905  4597.9366123626905 249.52499904746927  9.075658164010265E8  8.413334149389346E7  125174.0  333139.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
348113.1466065395 0.0 0.0 0.0 21286.01176609002 118806.67272185464 6148.760330578512  4884.523413942103  4884.523413942103 250.44009241228935  9.404373419560313E8  1.130738663766318E8  125681.0  334417.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
378001.4322545408 0.0 0.0 0.0 29888.285648001325 126026.19459688137 17851.239669421488  4817.524103553124  4817.524103553124 251.05738613884128  9.127038633723832E8  1.2635669778911056E8  126189.0  335726.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
392899.30182407255 0.0 0.0 0.0 14897.869569531766 124332.73977292834 11900.826446280991  4690.497947203794  4690.497947203794 250.91614918788147  9.458390272840679E8  6.582408521932046E7  126696.0  337050.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
399446.0138571264 0.0 0.0 0.0 6546.712033053866 116814.34626852798 6148.760330578512  7916.345206875703  7916.345206875703 250.26845850004548  9.48486341572115E8  7.589388661109847E8  127204.0  338343.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
402051.76852467895 0.0 0.0 0.0 2605.7546675525336 108699.43114243478 5950.413223140496  4770.256570505242  4770.256570505242 249.5384538187769  9.20378172523381E8  1.0848756068201919E8  127711.0  339593.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
402095.91909969976 0.0 0.0 0.0 44.150575020828406 100288.92377895841 3689.2561983471073  4765.401740150087  4765.401740150087 248.74435061202044  9.537146827213863E8  7.410394358106051E7  128219.0  340887.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
418888.3385336573 0.0 0.0 0.0 16792.41943395754 108157.27618615511 3966.9421487603304  4957.124878000516  4957.124878000516 249.48831463850505  9.256056782623214E8  1.4356446946765748E8  128726.0  342225.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
468849.47484802024 0.0 0.0 0.0 49961.13631436293 109171.17072215906 43636.36363636363  5310.878141995421  5310.878141995421 249.58208089541841  9.59166296969433E8  1.8630260030592132E8  129234.0  343543.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
504601.75475158344 0.0 0.0 0.0 35752.27990356318 108705.66540053571 31735.537190082654  4482.248035103904  4482.248035103904 249.53903037089944  9.617763706582165E8  4970667.554766107  129741.0  344813.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
673124.1295318394 0.0 0.0 0.0 168522.374780256 187987.852430255 83305.78512396698  5934.402626569893  5934.402626569893 255.62653236815288  8.710645939882091E8  4.088882595509009E8  130249.0  346088.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
715020.6136890864 0.0 0.0 0.0 41896.48415724695 158881.3392282472 65454.54545454542  5548.451904709578  5548.451904709578 253.58495501703902  9.670057394082923E8  2.2970390350801542E8  130756.0  347361.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
732828.7864161844 0.0 0.0 0.0 17808.17272709805 111869.98249535903 59504.13223140493  5315.39722858146  5315.39722858146 249.83167044255612  9.384422840388443E8  2.0800130574158612E8  131264.0  348684.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
731391.1716615616 0.0 0.0 0.0 -1437.614754622764 99241.76350811667 6148.760330578512  5041.843902041082  5041.843902041082 248.6406302999323  9.723428403569151E8  1.1509980477448986E8  131771.0  349959.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
733613.5598897178 0.0 0.0 0.0 2222.3882281562337 86643.90548504906 5950.413223140496  8869.833028083345  8869.833028083345 247.3419889816261  9.434948624263743E8  9.695819557641231E8  132279.0  351230.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
734846.247778321 0.0 0.0 0.0 1232.687888603214 73151.77007984051 6148.760330578512  8576.062963233258  8576.062963233258 245.77039284450936  9.775583427291498E8  8.721571135100324E8  132786.0  352503.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
739969.1837940642 0.0 0.0 0.0 5122.936015743207 66657.6832490645 6148.760330578512  5468.2625159407025  5468.2625159407025 244.94462575277552  9.802769257382828E8  1.9913718746001834E8  133294.0  353828.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
797909.5748780986 0.0 0.0 0.0 57940.3910840343 114009.19681444627 5950.413223140496  4638.464295512032  4638.464295512032 250.02680193094815  9.512550983366059E8  4.918521295733308E7  133801.0  355137.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
838335.916900627 0.0 0.0 0.0 40426.342022528384 109852.08973067014 39669.42148760331  4914.027618701282  4914.027618701282 249.64505315182373  9.856038463052278E8  7.427093279311058E7  134309.0  356424.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
847137.5449946425 0.0 0.0 0.0 8801.628094015576 109540.45068371674 3966.9421487603304  5146.3249922086225  5146.3249922086225 249.61623237618764  9.563664709043467E8  1.5361102363227966E8  134816.0  357707.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
