observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
286600.79667734454 0.0 0.0 0.0 161286.70667734454 189047.58302071734 93223.14049586785  4330.073160759609  4330.073160759609 255.69837850987912  9.328937147646743E8  1031710.7432051369  124159.0  330825.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
463902.22053782805 0.0 0.0 0.0 177301.42386048348 227381.6516855575 134876.03305785116  4091.322137792428  4091.322137792428 258.1431797941475  8.426136778516898E8  3.981708637772988E7  124159.0  330825.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
490921.53409169824 0.0 0.0 0.0 27019.313553870175 172095.6258479454 77355.37190082643  4949.967490656023  4949.967490656023 254.53114343102698  9.353812589748551E8  1.3224515825347537E8  124666.0  332037.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
499386.6984871692 0.0 0.0 0.0 8465.164395470967 116341.8546233142 59504.13223140493  4714.803388697417  4714.803388697417 250.22775453336612  9.07783422116765E8  1.0912197358691013E8  125174.0  333332.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
509604.7451181389 0.0 0.0 0.0 10218.046630969693 115277.11198117456 6148.760330578512  5134.0289425308165  5134.0289425308165 250.13602963311288  9.407009230297517E8  1.6662451622043264E8  125681.0  334625.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
528977.8929203175 0.0 0.0 0.0 19373.14780217862 124205.43274390239 5950.413223140496  4494.413816310309  4494.413816310309 250.90518200757256  9.129837975806615E8  5.638719915816462E7  126189.0  335948.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
531097.8384043694 0.0 0.0 0.0 2119.945484051896 112225.14037000583 6148.760330578512  7951.477527369953  7951.477527369953 249.86451589475686  9.460323630880517E8  7.689703071790749E8  126696.0  337224.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
533277.4635765583 0.0 0.0 0.0 2179.625172188902 102489.89390377545 6148.760330578512  5766.111307840763  5766.111307840763 248.96235478444686  9.486935259325773E8  2.9496166342985165E8  127204.0  338519.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
533267.1839439193 0.0 0.0 0.0 -10.279632639024717 91535.26385729422 5950.413223140496  4993.937190701699  4993.937190701699 247.86771537589146  9.207324316413243E8  1.5637752530862087E8  127711.0  339853.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
538470.8920697056 0.0 0.0 0.0 5203.7081257864 88322.35214952221 3689.2561983471073  4727.363635211306  4727.363635211306 247.52238952595897  9.540686775793365E8  6.554575631903311E7  128219.0  341144.0 1.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
